Subtype	Sample	Kinase	Activity
SI	P001	CHEK2	3.762962952698083e-08
SII	P002	CHEK2	0.007842776225248815
SI	P003	CHEK2	0.00205927136351605
SII	P004	CHEK2	0.035822318775376644
SII	P005	CHEK2	0.1764891638645067
SI	P006	CHEK2	0.00872332359257663
SII	P007	CHEK2	7.711723351079455e-06
SII	P008	CHEK2	0.002232216323241572
SII	P009	CHEK2	0.006223119349116205
SI	P010	CHEK2	0.0843236569343487
SII	P011	CHEK2	0.0024284951346273645
SII	P012	CHEK2	0.019411805412989674
SI	P013	CHEK2	0.019905597730321162
SI	P014	CHEK2	2.524279504497838e-12
SI	P015	CHEK2	1.705606291124521e-06
SI	P016	CHEK2	0.00129038641278016
SI	P017	CHEK2	0.010112681317867958
SI	P018	CHEK2	3.9185852775829086e-07
SI	P019	CHEK2	0.011677777588442382
SI	P020	CHEK2	0.013575783456424734
SI	P021	CHEK2	7.119726389348567e-05
SII	P022	CHEK2	7.776328484081195e-06
SI	P023	CHEK2	0.01742521399328906
SII	P025	CHEK2	0.002458143406036562
SI	P026	CHEK2	3.0213142120176086e-15
SII	P027	CHEK2	0.004742071823016881
SII	P028	CHEK2	0.06851836436795077
SI	P029	CHEK2	0.1238930901976284
SI	P030	CHEK2	0.00015262677808528273
SII	P031	CHEK2	1.3372384155967487e-06
SIII	P032	CHEK2	0.013258332429147054
SII	P033	CHEK2	3.703592258213289e-08
SI	P034	CHEK2	0.011376982626956049
SIII	P035	CHEK2	0.000157222882799316
SI	P036	CHEK2	9.6871530291399e-13
SII	P037	CHEK2	0.00017955433170444373
SII	P038	CHEK2	0.003816046478150362
SI	P039	CHEK2	0.001635858105789172
SI	P040	CHEK2	6.516436583907612e-11
SI	P041	CHEK2	0.00010265387786881641
SII	P042	CHEK2	0.5084011220678186
SII	P043	CHEK2	1.3782211466801014e-06
SII	P044	CHEK2	0.9599152775023179
SI	P046	CHEK2	1.0213235900193117e-20
SI	P047	CHEK2	2.3930651790888656e-05
SI	P048	CHEK2	1.0727039518066495e-05
SI	P049	CHEK2	0.3088035716983193
SI	P050	CHEK2	1.1508942785515824e-06
SII	P051	CHEK2	0.0002021259946177169
SIII	P052	CHEK2	0.01588402577000513
SI	P053	CHEK2	1.2428681198086656e-06
SII	P054	CHEK2	0.04405033447800375
SII	P055	CHEK2	0.053538783768766196
SI	P056	CHEK2	1.63318188356525e-08
SI	P057	CHEK2	0.016163421064756038
SI	P058	CHEK2	0.01193340521503417
SI	P059	CHEK2	0.09673755124082903
SI	P060	CHEK2	5.435198529709277e-07
SII	P061	CHEK2	0.0004947110769216648
SI	P062	CHEK2	4.0603257799371796e-11
SI	P063	CHEK2	3.1566956248234227e-06
SI	P064	CHEK2	1.1113203409999038e-05
SI	P065	CHEK2	1.4985721037737602e-06
SI	P066	CHEK2	5.724918295163303e-06
SI	P067	CHEK2	5.60743989399805e-06
SI	P068	CHEK2	0.001859664793116817
SI	P069	CHEK2	6.089883664467804e-07
SII	P070	CHEK2	0.7454570375103656
SII	P071	CHEK2	0.09508128037082061
SIII	P072	CHEK2	0.9667530618034887
SIII	P073	CHEK2	0.050723845214288674
SIII	P074	CHEK2	0.05234764356725151
SIII	P075	CHEK2	0.6227380294271999
SIII	P076	CHEK2	0.0003754131175792706
SII	P077	CHEK2	0.21768033828629607
SII	P078	CHEK2	0.37845352313690084
SIII	P079	CHEK2	0.30018565852060813
SI	P080	CHEK2	0.0783951221339815
SII	P081	CHEK2	8.181618165208997e-08
SI	P082	CHEK2	2.4303552194969465e-07
SIII	P083	CHEK2	0.046945240728295576
SIII	P084	CHEK2	0.007352693993745976
SIII	P085	CHEK2	0.09348925870214425
SIII	P086	CHEK2	0.7723980311273724
SI	P087	CHEK2	4.3101409124014385e-11
SII	P088	CHEK2	0.0319071699920413
SIII	P089	CHEK2	4.229752811314084e-07
SI	P090	CHEK2	5.660426628346577e-06
SIII	P091	CHEK2	0.06618767835741893
SIII	P092	CHEK2	0.9749923621008573
SIII	P093	CHEK2	0.06273109858857345
SIII	P094	CHEK2	0.015412020578839027
SII	P095	CHEK2	0.8629801106369237
SI	P096	CHEK2	3.190157332039416e-06
SIII	P097	CHEK2	4.428876632576335e-07
SIII	P098	CHEK2	4.218551366318914e-10
SII	P099	CHEK2	0.04737617456729082
SIII	P100	CHEK2	7.807362775107445e-13
SIII	P101	CHEK2	0.00014050479810214265
SI	P102	CHEK2	1.0442884030352042e-06
SI	P104	CHEK2	1.2054551363945842e-09
SI	P105	CHEK2	0.0029312573080518896
SI	P106	CHEK2	1.0287807313342052e-24
SIII	P107	CHEK2	0.21586265329230167
SI	P108	CHEK2	0.00016831728781283682
SII	P109	CHEK2	0.00783688071177487
SII	P110	CHEK2	1.7798193643675067e-07
SI	P111	CHEK2	3.3787596246700198e-09
SIII	P112	CHEK2	0.5476477588442157
SI	P113	CHEK2	1.5645190306643688e-08
SI	P114	CHEK2	2.6531292113087697e-21
