Subtype	Sample	Kinase	Activity
SI	P001	DYRK1A	9.547299143060506e-13
SII	P002	DYRK1A	4.875016607418855e-10
SI	P003	DYRK1A	0.0029893915347275293
SII	P004	DYRK1A	0.00046703979299410185
SII	P005	DYRK1A	0.2597921990194473
SI	P006	DYRK1A	3.9195579991490464e-22
SII	P007	DYRK1A	1.888811533991763e-11
SII	P008	DYRK1A	1.2707111268091755e-18
SII	P009	DYRK1A	0.12403473202551417
SI	P010	DYRK1A	0.048201240527022404
SII	P011	DYRK1A	0.017296026131800413
SII	P012	DYRK1A	0.040572190341239475
SI	P013	DYRK1A	4.532781829141513e-06
SI	P014	DYRK1A	1.5950838288421022e-26
SI	P015	DYRK1A	2.489071075344748e-09
SI	P016	DYRK1A	0.00015693593968596232
SI	P017	DYRK1A	0.0029536060549710586
SI	P018	DYRK1A	2.041554270479578e-11
SI	P019	DYRK1A	4.14590800054549e-05
SI	P020	DYRK1A	1.1308446637770823e-08
SI	P021	DYRK1A	2.629133872744274e-10
SII	P022	DYRK1A	1.2933857107711943e-11
SI	P023	DYRK1A	9.132803616522878e-07
SII	P025	DYRK1A	2.522261470957493e-08
SI	P026	DYRK1A	1.240341970617856e-17
SII	P027	DYRK1A	3.92863905762934e-06
SII	P028	DYRK1A	0.20813039355699975
SI	P029	DYRK1A	1.1215280043353897e-08
SI	P030	DYRK1A	5.354645222482731e-10
SII	P031	DYRK1A	2.122827630509421e-09
SIII	P032	DYRK1A	9.458627985282581e-11
SII	P033	DYRK1A	2.3678448937316744e-06
SI	P034	DYRK1A	2.599511117070534e-13
SIII	P035	DYRK1A	1.1760675597386817e-05
SI	P036	DYRK1A	2.219838562408542e-26
SII	P037	DYRK1A	0.00015345376003708837
SII	P038	DYRK1A	0.002086659415852535
SI	P039	DYRK1A	5.4018127252119296e-08
SI	P040	DYRK1A	2.5659596720570838e-21
SI	P041	DYRK1A	1.4623543121450876e-09
SII	P042	DYRK1A	0.0001686354899716171
SII	P043	DYRK1A	1.2392107847520442e-16
SII	P044	DYRK1A	3.6766571238211744e-08
SI	P046	DYRK1A	1.0409158106071548e-14
SI	P047	DYRK1A	1.4872731512445881e-08
SI	P048	DYRK1A	5.3030178894193e-11
SI	P049	DYRK1A	0.05575006534200728
SI	P050	DYRK1A	1.9116516773842528e-13
SII	P051	DYRK1A	5.228108842655643e-20
SIII	P052	DYRK1A	0.00019630136605899558
SI	P053	DYRK1A	1.8095772845331133e-09
SII	P054	DYRK1A	0.0027356566326865966
SII	P055	DYRK1A	1.176098300980155e-05
SI	P056	DYRK1A	3.3155458473984115e-08
SI	P057	DYRK1A	0.036101419046099974
SI	P058	DYRK1A	0.0004696573104859769
SI	P059	DYRK1A	0.09026977348972813
SI	P060	DYRK1A	5.43841529178737e-18
SII	P061	DYRK1A	0.0002168426269616632
SI	P062	DYRK1A	4.0939714010958787e-10
SI	P063	DYRK1A	1.7435639877738137e-11
SI	P064	DYRK1A	2.792055473336577e-05
SI	P065	DYRK1A	7.387989996042941e-09
SI	P066	DYRK1A	2.378356991989197e-15
SI	P067	DYRK1A	9.594938883787946e-18
SI	P068	DYRK1A	2.481793067391088e-08
SI	P069	DYRK1A	1.910553680404529e-08
SII	P070	DYRK1A	0.004808684930236522
SII	P071	DYRK1A	1.4561129008844546e-06
SIII	P072	DYRK1A	0.01163406161058294
SIII	P073	DYRK1A	0.004817542269471781
SIII	P074	DYRK1A	0.0034844991020344844
SIII	P075	DYRK1A	0.882311428740912
SIII	P076	DYRK1A	2.0730498096754237e-06
SII	P077	DYRK1A	1.689513782518508e-07
SII	P078	DYRK1A	5.477180201757914e-06
SIII	P079	DYRK1A	1.2705632004027736e-07
SI	P080	DYRK1A	5.128698038463913e-06
SII	P081	DYRK1A	2.3156797453736575e-13
SI	P082	DYRK1A	6.876361261395405e-11
SIII	P083	DYRK1A	0.0036916792205035076
SIII	P084	DYRK1A	0.0003700505552399385
SIII	P085	DYRK1A	0.12482299631822948
SIII	P086	DYRK1A	0.4457061613214808
SI	P087	DYRK1A	6.996938358184701e-06
SII	P088	DYRK1A	0.9636252516755607
SIII	P089	DYRK1A	3.192495625549195e-08
SI	P090	DYRK1A	4.7094340388089616e-06
SIII	P091	DYRK1A	4.147301591873186e-08
SIII	P092	DYRK1A	0.05646018749565675
SIII	P093	DYRK1A	0.26831711807520353
SIII	P094	DYRK1A	0.012405170376069512
SII	P095	DYRK1A	0.04108314992907572
SI	P096	DYRK1A	6.575189437515526e-18
SIII	P097	DYRK1A	8.21858855521793e-09
SIII	P098	DYRK1A	7.683478748204048e-14
SII	P099	DYRK1A	0.23406066225285915
SIII	P100	DYRK1A	2.9348707223703832e-05
SIII	P101	DYRK1A	3.420041185669204e-08
SI	P102	DYRK1A	1.3438068579255556e-07
SI	P104	DYRK1A	7.003760075956237e-13
SI	P105	DYRK1A	1.04897901780457e-13
SI	P106	DYRK1A	1.3692632355286614e-11
SIII	P107	DYRK1A	0.09647723486389509
SI	P108	DYRK1A	3.2385359616809275e-05
SII	P109	DYRK1A	0.00010896125252660068
SII	P110	DYRK1A	0.4959830391410749
SI	P111	DYRK1A	6.625775852363249e-11
SIII	P112	DYRK1A	0.831087657013565
SI	P113	DYRK1A	2.847906170516102e-06
SI	P114	DYRK1A	1.4901739288472678e-10
