Subtype	Sample	Kinase	Activity
SI	P001	DYRK1B	8.655572734027074e-13
SII	P002	DYRK1B	4.822868366898979e-10
SI	P003	DYRK1B	0.0029084097625424305
SII	P004	DYRK1B	0.00041807167277826577
SII	P005	DYRK1B	0.2569713443960753
SI	P006	DYRK1B	2.786559352389776e-22
SII	P007	DYRK1B	1.6685358427593173e-11
SII	P008	DYRK1B	1.00996720817366e-18
SII	P009	DYRK1B	0.11934556425690956
SI	P010	DYRK1B	0.04272152093455621
SII	P011	DYRK1B	0.015402010334448303
SII	P012	DYRK1B	0.031077325228042782
SI	P013	DYRK1B	3.6638292549227124e-06
SI	P014	DYRK1B	1.234577830513584e-26
SI	P015	DYRK1B	2.1531166547232566e-09
SI	P016	DYRK1B	0.00014786617381388765
SI	P017	DYRK1B	0.0023464046227542196
SI	P018	DYRK1B	1.4098889522002043e-11
SI	P019	DYRK1B	3.403990169112058e-05
SI	P020	DYRK1B	1.051407109545407e-08
SI	P021	DYRK1B	1.5173041394118254e-10
SII	P022	DYRK1B	8.917072727599954e-12
SI	P023	DYRK1B	5.090445131667415e-07
SII	P025	DYRK1B	2.3884895809673264e-08
SI	P026	DYRK1B	5.777662823142962e-18
SII	P027	DYRK1B	3.843674615069906e-06
SII	P028	DYRK1B	0.2092515605020557
SI	P029	DYRK1B	9.044092263007778e-09
SI	P030	DYRK1B	2.8723830423953536e-10
SII	P031	DYRK1B	1.5447625408347933e-09
SIII	P032	DYRK1B	8.471575144882815e-11
SII	P033	DYRK1B	2.124152564000635e-06
SI	P034	DYRK1B	2.2483835814312972e-13
SIII	P035	DYRK1B	1.1177832702787047e-05
SI	P036	DYRK1B	5.6302026453402e-27
SII	P037	DYRK1B	0.00012402958610478878
SII	P038	DYRK1B	0.0018023574958455312
SI	P039	DYRK1B	4.231283209900006e-08
SI	P040	DYRK1B	1.7121791980498668e-21
SI	P041	DYRK1B	1.3453362485042844e-09
SII	P042	DYRK1B	0.00012145741065933583
SII	P043	DYRK1B	6.521208259902011e-17
SII	P044	DYRK1B	2.5269837523481914e-08
SI	P046	DYRK1B	3.4926198975211694e-15
SI	P047	DYRK1B	9.634766449724713e-09
SI	P048	DYRK1B	2.514835849032241e-11
SI	P049	DYRK1B	0.04970187529628057
SI	P050	DYRK1B	1.0430148291616523e-13
SII	P051	DYRK1B	4.01752869219554e-20
SIII	P052	DYRK1B	0.00017600633861654112
SI	P053	DYRK1B	1.1548534913065707e-09
SII	P054	DYRK1B	0.0025847995395315063
SII	P055	DYRK1B	9.980246706357816e-06
SI	P056	DYRK1B	2.008905177085318e-08
SI	P057	DYRK1B	0.03214430159691179
SI	P058	DYRK1B	0.0004095053265225602
SI	P059	DYRK1B	0.08446921834797358
SI	P060	DYRK1B	1.7249537004626919e-18
SII	P061	DYRK1B	0.00018789858438103752
SI	P062	DYRK1B	2.5769359938876944e-10
SI	P063	DYRK1B	9.805818416659913e-12
SI	P064	DYRK1B	2.4337770156696895e-05
SI	P065	DYRK1B	5.483833018137274e-09
SI	P066	DYRK1B	1.1099735958684058e-15
SI	P067	DYRK1B	4.263257015106557e-18
SI	P068	DYRK1B	1.883121665678034e-08
SI	P069	DYRK1B	1.550022271746857e-08
SII	P070	DYRK1B	0.004795278216118185
SII	P071	DYRK1B	1.0081761186698319e-06
SIII	P072	DYRK1B	0.01083226650854947
SIII	P073	DYRK1B	0.004497516989677536
SIII	P074	DYRK1B	0.003100567798232773
SIII	P075	DYRK1B	0.8812095925530119
SIII	P076	DYRK1B	1.5799361838788108e-06
SII	P077	DYRK1B	1.7561080816220857e-07
SII	P078	DYRK1B	5.284995328600541e-06
SIII	P079	DYRK1B	1.3266155294647527e-07
SI	P080	DYRK1B	4.219573516812182e-06
SII	P081	DYRK1B	1.9518298008849346e-13
SI	P082	DYRK1B	4.879991510789041e-11
SIII	P083	DYRK1B	0.003513813209683936
SIII	P084	DYRK1B	0.0004089972194271615
SIII	P085	DYRK1B	0.12409639600179509
SIII	P086	DYRK1B	0.4376116874522217
SI	P087	DYRK1B	6.1157208259063085e-06
SII	P088	DYRK1B	0.9764217647516183
SIII	P089	DYRK1B	2.8864597899532927e-08
SI	P090	DYRK1B	4.349607263807806e-06
SIII	P091	DYRK1B	2.4826816730013015e-08
SIII	P092	DYRK1B	0.05833074691781074
SIII	P093	DYRK1B	0.265197450355282
SIII	P094	DYRK1B	0.011025906350135012
SII	P095	DYRK1B	0.03531152001608328
SI	P096	DYRK1B	4.702759217097087e-18
SIII	P097	DYRK1B	5.850427251577594e-09
SIII	P098	DYRK1B	6.028778835602942e-14
SII	P099	DYRK1B	0.2253199801516441
SIII	P100	DYRK1B	2.4565067394872323e-05
SIII	P101	DYRK1B	3.1680303015371256e-08
SI	P102	DYRK1B	8.329723273343543e-08
SI	P104	DYRK1B	2.956711130729715e-13
SI	P105	DYRK1B	5.667356628167457e-14
SI	P106	DYRK1B	1.1601434797639823e-11
SIII	P107	DYRK1B	0.09662981017207137
SI	P108	DYRK1B	2.7375724579358276e-05
SII	P109	DYRK1B	0.00010050104637745071
SII	P110	DYRK1B	0.49578854263524474
SI	P111	DYRK1B	5.6186873701838244e-11
SIII	P112	DYRK1B	0.8555373358306364
SI	P113	DYRK1B	2.5932634094014974e-06
SI	P114	DYRK1B	1.1256510122237701e-10
