Subtype	Sample	Kinase	Activity
SI	P001	DYRK3	8.772044574099183e-12
SII	P002	DYRK3	3.367953103936881e-10
SI	P003	DYRK3	0.002333230877285365
SII	P004	DYRK3	0.00010813306154111083
SII	P005	DYRK3	0.16191281504714752
SI	P006	DYRK3	3.1421908243462017e-25
SII	P007	DYRK3	7.656365805215777e-10
SII	P008	DYRK3	1.583372137368826e-14
SII	P009	DYRK3	0.2689728809832429
SI	P010	DYRK3	0.00728830243269523
SII	P011	DYRK3	0.00019575798698362134
SII	P012	DYRK3	0.0028953049124803326
SI	P013	DYRK3	4.5314629661720524e-07
SI	P014	DYRK3	6.322676729121675e-23
SI	P015	DYRK3	8.97119829486201e-08
SI	P016	DYRK3	7.751106300179046e-06
SI	P017	DYRK3	0.00011221530410168601
SI	P018	DYRK3	1.0844027644737408e-11
SI	P019	DYRK3	1.4637764070546581e-05
SI	P020	DYRK3	1.498614676314678e-08
SI	P021	DYRK3	3.9801515590434813e-08
SII	P022	DYRK3	5.218821952540933e-08
SI	P023	DYRK3	3.445273198802862e-06
SII	P025	DYRK3	2.5959987133882648e-06
SI	P026	DYRK3	3.330672442144869e-14
SII	P027	DYRK3	0.0001314871348067054
SII	P028	DYRK3	0.2735514837447114
SI	P029	DYRK3	1.042859159552743e-07
SI	P030	DYRK3	2.538081789287291e-08
SII	P031	DYRK3	2.0887475082949225e-08
SIII	P032	DYRK3	1.0467320221354604e-05
SII	P033	DYRK3	1.110630417246055e-05
SI	P034	DYRK3	4.197148014165236e-11
SIII	P035	DYRK3	3.6661920182359823e-06
SI	P036	DYRK3	1.4584814422381179e-24
SII	P037	DYRK3	0.00010703427313980054
SII	P038	DYRK3	0.00039989266599055513
SI	P039	DYRK3	4.405415782703392e-08
SI	P040	DYRK3	2.183803458796237e-22
SI	P041	DYRK3	7.836199177480372e-07
SII	P042	DYRK3	0.000989675873331693
SII	P043	DYRK3	3.830356296559683e-11
SII	P044	DYRK3	1.6289304025452378e-06
SI	P046	DYRK3	4.0502003328003653e-14
SI	P047	DYRK3	8.200722707645744e-10
SI	P048	DYRK3	8.395410364052349e-10
SI	P049	DYRK3	0.17858622283521836
SI	P050	DYRK3	4.004661395130248e-14
SII	P051	DYRK3	6.518000848082093e-16
SIII	P052	DYRK3	0.0002867484149937579
SI	P053	DYRK3	7.291013056369675e-09
SII	P054	DYRK3	0.003867644819056632
SII	P055	DYRK3	1.2965946721572795e-05
SI	P056	DYRK3	3.6673525908657912e-09
SI	P057	DYRK3	0.006885052879570731
SI	P058	DYRK3	6.067587547850722e-05
SI	P059	DYRK3	0.012448950290151552
SI	P060	DYRK3	1.0396856126719566e-14
SII	P061	DYRK3	0.0007680712872063336
SI	P062	DYRK3	5.909406101528535e-07
SI	P063	DYRK3	1.836161979414647e-10
SI	P064	DYRK3	2.4468820949471364e-06
SI	P065	DYRK3	1.3450653677950655e-10
SI	P066	DYRK3	6.228194802264427e-13
SI	P067	DYRK3	9.598415149161273e-14
SI	P068	DYRK3	5.1080982066912725e-11
SI	P069	DYRK3	7.253033268557028e-08
SII	P070	DYRK3	0.004210587661647874
SII	P071	DYRK3	2.0899243401215877e-07
SIII	P072	DYRK3	2.732185286659792e-05
SIII	P073	DYRK3	0.010034207611674595
SIII	P074	DYRK3	0.00017110038776894175
SIII	P075	DYRK3	0.36964805216365526
SIII	P076	DYRK3	0.0011908116821127363
SII	P077	DYRK3	9.539396844188938e-07
SII	P078	DYRK3	2.9235494491649912e-05
SIII	P079	DYRK3	8.545932178957836e-06
SI	P080	DYRK3	4.922591739447257e-05
SII	P081	DYRK3	2.7391738382955235e-09
SI	P082	DYRK3	3.037075142434448e-11
SIII	P083	DYRK3	0.003608431174262861
SIII	P084	DYRK3	0.0041835867638426154
SIII	P085	DYRK3	0.07991726354763519
SIII	P086	DYRK3	0.7496044665163414
SI	P087	DYRK3	5.924454188447694e-06
SII	P088	DYRK3	0.37318993690904045
SIII	P089	DYRK3	2.7280939648425296e-06
SI	P090	DYRK3	1.0772697301083929e-05
SIII	P091	DYRK3	5.7780906491028166e-08
SIII	P092	DYRK3	0.1029739599814022
SIII	P093	DYRK3	0.19204477772538212
SIII	P094	DYRK3	0.008086220459687137
SII	P095	DYRK3	0.023900083146856342
SI	P096	DYRK3	1.1852699096186862e-12
SIII	P097	DYRK3	2.268128044617769e-08
SIII	P098	DYRK3	8.421577526833648e-13
SII	P099	DYRK3	0.1313706804183351
SIII	P100	DYRK3	0.00019923645227155852
SIII	P101	DYRK3	0.0005662338926504882
SI	P102	DYRK3	2.492460704521371e-07
SI	P104	DYRK3	1.1409094910939119e-12
SI	P105	DYRK3	1.7951173384551416e-13
SI	P106	DYRK3	3.388886283094241e-11
SIII	P107	DYRK3	0.30128087430896877
SI	P108	DYRK3	2.1330066916693652e-06
SII	P109	DYRK3	0.00018915544054237034
SII	P110	DYRK3	0.4636402295241484
SI	P111	DYRK3	1.714258039516604e-08
SIII	P112	DYRK3	0.9921289784326772
SI	P113	DYRK3	1.5031370098426812e-07
SI	P114	DYRK3	5.1743068191026726e-11
