Subtype	Sample	Kinase	Activity
SI	P001	ICK	3.3363348869999266e-09
SII	P002	ICK	1.0525775457085357e-06
SI	P003	ICK	0.12711084610162668
SII	P004	ICK	8.45077268663697e-17
SII	P005	ICK	0.0013576368319148616
SI	P006	ICK	1.1132939163999645e-23
SII	P007	ICK	2.469215586140831e-09
SII	P008	ICK	2.2658743128593696e-12
SII	P009	ICK	0.005250080354392081
SI	P010	ICK	7.201442159286476e-09
SII	P011	ICK	5.637962781009799e-05
SII	P012	ICK	4.434315908740106e-11
SI	P013	ICK	9.421163352378315e-10
SI	P014	ICK	4.3606305840409423e-16
SI	P015	ICK	1.7176532802264436e-14
SI	P016	ICK	3.126034927627534e-05
SI	P017	ICK	6.412820923336084e-05
SI	P018	ICK	2.7902107941027403e-10
SI	P019	ICK	0.0016505730408114495
SI	P020	ICK	1.4078548265947048e-05
SI	P021	ICK	0.001702666096077811
SII	P022	ICK	0.11474200753295795
SI	P023	ICK	0.004290609213465931
SII	P025	ICK	0.001887682339330576
SI	P026	ICK	4.776304147120491e-10
SII	P027	ICK	0.000386603017445987
SII	P028	ICK	0.0012661378780495633
SI	P029	ICK	0.004410814682578521
SI	P030	ICK	0.00016563617049702423
SII	P031	ICK	1.9285351941269773e-05
SIII	P032	ICK	0.15056164020190102
SII	P033	ICK	1.8545346526015432e-07
SI	P034	ICK	0.00016040839945144624
SIII	P035	ICK	0.003167287061202349
SI	P036	ICK	6.777742812818102e-18
SII	P037	ICK	0.24037662370893453
SII	P038	ICK	0.0030243860963000326
SI	P039	ICK	6.812161371944714e-10
SI	P040	ICK	7.582390634753703e-07
SI	P041	ICK	9.209617777339432e-11
SII	P042	ICK	8.452971592239253e-14
SII	P043	ICK	5.911764156408148e-18
SII	P044	ICK	1.730365503275377e-11
SI	P046	ICK	1.2054895521575798e-08
SI	P047	ICK	3.496173154004313e-06
SI	P048	ICK	4.564293035006664e-05
SI	P049	ICK	9.862646814857508e-05
SI	P050	ICK	2.6082679995784397e-05
SII	P051	ICK	8.957789618468672e-05
SIII	P052	ICK	0.3631243896499199
SI	P053	ICK	5.230258993611481e-07
SII	P054	ICK	0.4170541403190954
SII	P055	ICK	0.045839876788082365
SI	P056	ICK	6.5295240855012e-06
SI	P057	ICK	0.026980281150773926
SI	P058	ICK	1.1336197027467426e-07
SI	P059	ICK	0.20815322102025707
SI	P060	ICK	1.564263014846088e-14
SII	P061	ICK	0.06401223395705273
SI	P062	ICK	2.2030614881372934e-05
SI	P063	ICK	8.748999753607416e-05
SI	P064	ICK	5.015058014608844e-26
SI	P065	ICK	0.00010350240726616953
SI	P066	ICK	1.684263825081666e-07
SI	P067	ICK	2.222722874284143e-05
SI	P068	ICK	8.197854629316073e-06
SI	P069	ICK	0.03804511895442874
SII	P070	ICK	0.37410387532514155
SII	P071	ICK	0.0015575084258243408
SIII	P072	ICK	0.3123388105326759
SIII	P073	ICK	0.07748384277036051
SIII	P074	ICK	0.2814682239854645
SIII	P075	ICK	0.6549667093880552
SIII	P076	ICK	0.012242921545937948
SII	P077	ICK	0.0018873707560418083
SII	P078	ICK	6.461632829529414e-06
SIII	P079	ICK	0.019036244293351847
SI	P080	ICK	8.485832624315176e-08
SII	P081	ICK	1.7475281775630348e-18
SI	P082	ICK	2.4393392743861686e-25
SIII	P083	ICK	0.003985085979449466
SIII	P084	ICK	0.45035340448235694
SIII	P085	ICK	0.39049335438432153
SIII	P086	ICK	0.4362321859189069
SI	P087	ICK	0.0003410163177337864
SII	P088	ICK	0.9036758785359553
SIII	P089	ICK	8.906278235492612e-12
SI	P090	ICK	0.18096815191423726
SIII	P091	ICK	3.615300327446052e-06
SIII	P092	ICK	0.7954139570489039
SIII	P093	ICK	0.037642569934169055
SIII	P094	ICK	0.010199644855781861
SII	P095	ICK	0.000273900737110458
SI	P096	ICK	8.856303895276507e-11
SIII	P097	ICK	0.33500625143191515
SIII	P098	ICK	5.717414357870814e-15
SII	P099	ICK	0.22247913674767925
SIII	P100	ICK	0.0016913353881164736
SIII	P101	ICK	0.029909919837208507
SI	P102	ICK	3.346192363535922e-09
SI	P104	ICK	1.0166453738252806e-08
SI	P105	ICK	9.945725237357832e-11
SI	P106	ICK	1.428335250350401e-07
SIII	P107	ICK	0.6446819506266739
SI	P108	ICK	1.8178218105089478e-05
SII	P109	ICK	0.30543998755686835
SII	P110	ICK	0.08709569583294811
SI	P111	ICK	1.8041042668703656e-05
SIII	P112	ICK	0.6915896845307256
SI	P113	ICK	0.1247450416734156
SI	P114	ICK	3.556938562115374e-22
