Subtype	Sample	Kinase	Activity
SI	P001	MAK	1.4650832475450742e-24
SII	P002	MAK	1.389015046300853e-09
SI	P003	MAK	0.2260764458015148
SII	P004	MAK	5.192577214359045e-08
SII	P005	MAK	0.006032236336317094
SI	P006	MAK	2.429115167172855e-19
SII	P007	MAK	6.320530508785613e-17
SII	P008	MAK	2.917224335955822e-13
SII	P009	MAK	0.025629081615829483
SI	P010	MAK	7.040958434312661e-07
SII	P011	MAK	0.002834167040767725
SII	P012	MAK	2.5163706004849618e-09
SI	P013	MAK	1.8977456483321518e-08
SI	P014	MAK	4.425717366683554e-23
SI	P015	MAK	8.992926566091884e-14
SI	P016	MAK	2.5283107724890367e-05
SI	P017	MAK	2.6480638450036898e-05
SI	P018	MAK	1.3638822468263623e-08
SI	P019	MAK	7.32216787170555e-06
SI	P020	MAK	4.5154781143920456e-08
SI	P021	MAK	2.7584346974744156e-08
SII	P022	MAK	0.0002614424259218776
SI	P023	MAK	4.6323156260743106e-08
SII	P025	MAK	1.2702618961236475e-05
SI	P026	MAK	1.1462272540221933e-20
SII	P027	MAK	0.00029250791344193305
SII	P028	MAK	5.4295068393798865e-05
SI	P029	MAK	1.4126763315497322e-05
SI	P030	MAK	8.295026785053779e-17
SII	P031	MAK	4.39154169136975e-09
SIII	P032	MAK	0.026066677303387093
SII	P033	MAK	1.037334102496103e-08
SI	P034	MAK	6.158672317858419e-07
SIII	P035	MAK	0.0012493769097910346
SI	P036	MAK	4.778073961586364e-21
SII	P037	MAK	0.18662606599134612
SII	P038	MAK	0.002681776797437717
SI	P039	MAK	1.4918895557475777e-19
SI	P040	MAK	1.5362353538983973e-06
SI	P041	MAK	4.2487365850183086e-10
SII	P042	MAK	3.564615434413174e-09
SII	P043	MAK	3.0006670612733554e-27
SII	P044	MAK	0.0008436120559908968
SI	P046	MAK	1.531343716711853e-14
SI	P047	MAK	6.233448637189036e-09
SI	P048	MAK	1.7573573356298144e-07
SI	P049	MAK	3.1994343667582436e-07
SI	P050	MAK	1.6042610636071785e-09
SII	P051	MAK	1.982478223294442e-07
SIII	P052	MAK	0.14432312780791018
SI	P053	MAK	2.5942255309519494e-09
SII	P054	MAK	0.42534713830383697
SII	P055	MAK	0.0894437180205455
SI	P056	MAK	4.021164771711991e-13
SI	P057	MAK	5.6639737314744655e-06
SI	P058	MAK	7.667593138029401e-11
SI	P059	MAK	0.06308407197053248
SI	P060	MAK	7.741357174024856e-22
SII	P061	MAK	0.00017738130181396344
SI	P062	MAK	3.9007403680119155e-08
SI	P063	MAK	1.640048350460752e-09
SI	P064	MAK	1.6828052384931209e-18
SI	P065	MAK	1.0996960752006309e-10
SI	P066	MAK	5.223979370592207e-09
SI	P067	MAK	2.0600119163568915e-18
SI	P068	MAK	1.5994142831429666e-07
SI	P069	MAK	4.87224841610761e-08
SII	P070	MAK	0.9766361008408861
SII	P071	MAK	2.771742182312364e-06
SIII	P072	MAK	0.00780175482715203
SIII	P073	MAK	0.0029561975889105373
SIII	P074	MAK	0.2914423949295663
SIII	P075	MAK	0.46294346313387746
SIII	P076	MAK	1.6082280561267452e-06
SII	P077	MAK	0.0013801727302887113
SII	P078	MAK	1.7027434713056347e-08
SIII	P079	MAK	7.367324161179454e-11
SI	P080	MAK	3.351814587629657e-12
SII	P081	MAK	3.975392571515701e-13
SI	P082	MAK	5.908189693716224e-19
SIII	P083	MAK	0.008662832837544945
SIII	P084	MAK	0.006551680005134994
SIII	P085	MAK	0.1850533624800435
SIII	P086	MAK	0.3562621861220172
SI	P087	MAK	5.943194431432036e-07
SII	P088	MAK	0.3918991521764915
SIII	P089	MAK	7.545051088593609e-14
SI	P090	MAK	0.0027473354755215246
SIII	P091	MAK	2.018480369085868e-08
SIII	P092	MAK	0.9919438612165873
SIII	P093	MAK	0.3206212336595063
SIII	P094	MAK	0.05761081442205736
SII	P095	MAK	0.6679323393575927
SI	P096	MAK	1.280078444549246e-06
SIII	P097	MAK	2.8154696027284518e-08
SIII	P098	MAK	6.0021512675110954e-15
SII	P099	MAK	0.2900946315059154
SIII	P100	MAK	1.5736200139157452e-06
SIII	P101	MAK	0.0017211506570729846
SI	P102	MAK	2.2173674037338375e-07
SI	P104	MAK	1.1652996608273868e-12
SI	P105	MAK	3.6493414359841914e-11
SI	P106	MAK	3.6530393474811563e-13
SIII	P107	MAK	0.17915032578221524
SI	P108	MAK	3.2371499586243165e-08
SII	P109	MAK	0.01304232118478926
SII	P110	MAK	0.21449870687372746
SI	P111	MAK	5.5739655673942615e-12
SIII	P112	MAK	0.17683356923487925
SI	P113	MAK	2.7273538408433415e-09
SI	P114	MAK	7.747248501119941e-28
