Subtype	Sample	Kinase	Activity
SI	P001	MTOR	1.0218152156606812e-17
SII	P002	MTOR	1.1012132589566506e-15
SI	P003	MTOR	0.12990149559709321
SII	P004	MTOR	6.811011475617102e-05
SII	P005	MTOR	0.001458060329849816
SI	P006	MTOR	1.0430442385878842e-09
SII	P007	MTOR	3.542589086456573e-14
SII	P008	MTOR	2.17531656479858e-15
SII	P009	MTOR	0.18843063880959018
SI	P010	MTOR	9.960115410401287e-06
SII	P011	MTOR	0.32702594915450445
SII	P012	MTOR	1.642367483579532e-06
SI	P013	MTOR	6.680705665349994e-06
SI	P014	MTOR	5.2044872229890975e-33
SI	P015	MTOR	1.648496498524585e-14
SI	P016	MTOR	9.043913668863876e-07
SI	P017	MTOR	8.323647722755102e-07
SI	P018	MTOR	9.532336266033266e-09
SI	P019	MTOR	1.7742453881409885e-08
SI	P020	MTOR	5.7874772802323156e-09
SI	P021	MTOR	2.7932636331205816e-14
SII	P022	MTOR	7.670216851103088e-11
SI	P023	MTOR	1.5591729891502976e-08
SII	P025	MTOR	0.0008880740122933203
SI	P026	MTOR	1.6833313054517203e-24
SII	P027	MTOR	0.0004064387445078322
SII	P028	MTOR	1.552014636447796e-08
SI	P029	MTOR	1.0199450228243922e-08
SI	P030	MTOR	1.7815990598162083e-21
SII	P031	MTOR	2.1018330745549819e-07
SIII	P032	MTOR	0.48884673945474943
SII	P033	MTOR	2.404123627031046e-06
SI	P034	MTOR	4.328188767190345e-05
SIII	P035	MTOR	0.00011274165216284655
SI	P036	MTOR	1.9402948783345482e-27
SII	P037	MTOR	0.0034005922235193884
SII	P038	MTOR	1.7617943149632157e-06
SI	P039	MTOR	1.0569918316656788e-16
SI	P040	MTOR	3.4930829889270877e-10
SI	P041	MTOR	1.502033696819084e-08
SII	P042	MTOR	2.457622947648122e-11
SII	P043	MTOR	4.0121396640137263e-20
SII	P044	MTOR	4.124553552581059e-07
SI	P046	MTOR	1.470076286469875e-17
SI	P047	MTOR	9.012127619138179e-06
SI	P048	MTOR	1.622571084380187e-08
SI	P049	MTOR	7.744512921147418e-08
SI	P050	MTOR	6.622007191635328e-09
SII	P051	MTOR	6.507077562587357e-22
SIII	P052	MTOR	9.200316131536316e-05
SI	P053	MTOR	3.2094244982440743e-07
SII	P054	MTOR	0.0055170659272367984
SII	P055	MTOR	6.69795069532482e-05
SI	P056	MTOR	7.19096935865565e-10
SI	P057	MTOR	0.00026848321961137935
SI	P058	MTOR	3.3383444294584566e-10
SI	P059	MTOR	4.631748192086119e-05
SI	P060	MTOR	4.330629234055588e-21
SII	P061	MTOR	0.00019326266007384162
SI	P062	MTOR	2.83496023996101e-09
SI	P063	MTOR	1.95746978468158e-09
SI	P064	MTOR	2.0946401966709094e-08
SI	P065	MTOR	3.266309326590358e-12
SI	P066	MTOR	9.223349052047165e-12
SI	P067	MTOR	6.34744755765903e-17
SI	P068	MTOR	1.0157566720152444e-07
SI	P069	MTOR	6.465193007276694e-12
SII	P070	MTOR	0.0013179994406599183
SII	P071	MTOR	1.2624695654604503e-05
SIII	P072	MTOR	0.00024261550187201205
SIII	P073	MTOR	0.1518079992450148
SIII	P074	MTOR	0.12165933822234168
SIII	P075	MTOR	0.30208454579725663
SIII	P076	MTOR	0.002688537262222733
SII	P077	MTOR	0.001331049863359591
SII	P078	MTOR	0.00018485098917549124
SIII	P079	MTOR	2.837707162301845e-06
SI	P080	MTOR	3.19682112854068e-12
SII	P081	MTOR	5.381420972283426e-07
SI	P082	MTOR	2.6752159879158213e-11
SIII	P083	MTOR	0.00922874139950694
SIII	P084	MTOR	0.2031362750894793
SIII	P085	MTOR	0.06469919815964313
SIII	P086	MTOR	0.5975856420716077
SI	P087	MTOR	5.4311705014510785e-08
SII	P088	MTOR	0.011153738732973161
SIII	P089	MTOR	6.64120303414696e-09
SI	P090	MTOR	0.008325362203292134
SIII	P091	MTOR	3.988162049209626e-06
SIII	P092	MTOR	0.2878268738767237
SIII	P093	MTOR	0.07634853586146062
SIII	P094	MTOR	0.11225758602608193
SII	P095	MTOR	0.12676728834668413
SI	P096	MTOR	2.6405325183718653e-07
SIII	P097	MTOR	1.6211823368461318e-09
SIII	P098	MTOR	9.205684894903424e-17
SII	P099	MTOR	0.057454586055134295
SIII	P100	MTOR	1.4889499025897596e-05
SIII	P101	MTOR	1.3692346184134062e-06
SI	P102	MTOR	1.0271623314556153e-06
SI	P104	MTOR	1.5967223473281444e-16
SI	P105	MTOR	1.1768365678487773e-18
SI	P106	MTOR	6.122029757157803e-12
SIII	P107	MTOR	0.08274569850491946
SI	P108	MTOR	1.2849092824695977e-05
SII	P109	MTOR	0.0015912325243793287
SII	P110	MTOR	2.528371358947497e-06
SI	P111	MTOR	3.662116329018953e-11
SIII	P112	MTOR	0.19323120590126364
SI	P113	MTOR	9.476367823132703e-15
SI	P114	MTOR	3.0701318139896143e-22
