Subtype	Sample	Kinase	Activity
SI	P001	PLK2	4.2266627657537264e-05
SII	P002	PLK2	0.003506107372284218
SI	P003	PLK2	0.032243378569652544
SII	P004	PLK2	0.5515545307017159
SII	P005	PLK2	0.002825634090025998
SI	P006	PLK2	9.148758130430003e-08
SII	P007	PLK2	8.109450498048359e-07
SII	P008	PLK2	3.549384218002676e-07
SII	P009	PLK2	0.001532598104463487
SI	P010	PLK2	0.23695768751148216
SII	P011	PLK2	0.08622379164210617
SII	P012	PLK2	0.004612916631437156
SI	P013	PLK2	0.0012605434976422731
SI	P014	PLK2	4.423944952514713e-06
SI	P015	PLK2	0.0005055643442147675
SI	P016	PLK2	0.3184467959480235
SI	P017	PLK2	0.3705177487061082
SI	P018	PLK2	1.639197189100774e-07
SI	P019	PLK2	4.2475403786175917e-07
SI	P020	PLK2	0.01051640475334269
SI	P021	PLK2	2.2824917645697504e-05
SII	P022	PLK2	4.580066474996403e-13
SI	P023	PLK2	7.656435731705875e-08
SII	P025	PLK2	8.80153897766029e-08
SI	P026	PLK2	4.7706600990773605e-06
SII	P027	PLK2	0.0003339352347872934
SII	P028	PLK2	9.395298006834123e-11
SI	P029	PLK2	0.00012112643365267755
SI	P030	PLK2	7.038381206778614e-05
SII	P031	PLK2	0.8363066848670777
SIII	P032	PLK2	1.5684539447661838e-06
SII	P033	PLK2	0.005787232856255775
SI	P034	PLK2	0.5387282152417119
SIII	P035	PLK2	0.10728032609602745
SI	P036	PLK2	4.966488467850135e-14
SII	P037	PLK2	0.007312164027941899
SII	P038	PLK2	0.18690371907710773
SI	P039	PLK2	0.00022154871596502862
SI	P040	PLK2	3.5407745581378473e-06
SI	P041	PLK2	0.0013555617566600514
SII	P042	PLK2	1.2544773088385186e-05
SII	P043	PLK2	8.181077293165687e-08
SII	P044	PLK2	0.03947843466729341
SI	P046	PLK2	5.8432694875625955e-06
SI	P047	PLK2	0.0011526768065391478
SI	P048	PLK2	0.1254331692347537
SI	P049	PLK2	0.09141872311698386
SI	P050	PLK2	0.6600390594817267
SII	P051	PLK2	0.00024354619521782926
SIII	P052	PLK2	0.031555082640538426
SI	P053	PLK2	1.7688275532023595e-11
SII	P054	PLK2	0.020657852557945104
SII	P055	PLK2	0.002442854069226105
SI	P056	PLK2	0.0012621343828503654
SI	P057	PLK2	0.3118970539695175
SI	P058	PLK2	0.6725691609649639
SI	P059	PLK2	0.9506384540536902
SI	P060	PLK2	9.007982994443997e-07
SII	P061	PLK2	0.0012023491610229865
SI	P062	PLK2	0.0002876376308141643
SI	P063	PLK2	0.00029026334878874644
SI	P064	PLK2	2.3661529572669424e-05
SI	P065	PLK2	0.001016178505103267
SI	P066	PLK2	0.0003425905918973386
SI	P067	PLK2	2.1322093759269756e-09
SI	P068	PLK2	1.7334741775909743e-05
SI	P069	PLK2	0.0003041331179124791
SII	P070	PLK2	0.730742216706206
SII	P071	PLK2	0.0023173816715523917
SIII	P072	PLK2	0.6757085760431577
SIII	P073	PLK2	0.40570244481035866
SIII	P074	PLK2	0.03406171932531021
SIII	P075	PLK2	0.18554215357618525
SIII	P076	PLK2	0.21383993336640222
SII	P077	PLK2	0.002002080894186606
SII	P078	PLK2	1.0373552932729255e-05
SIII	P079	PLK2	0.46636263835329483
SI	P080	PLK2	8.112405244603906e-07
SII	P081	PLK2	0.008468636012227962
SI	P082	PLK2	0.8066143226689413
SIII	P083	PLK2	0.022540156954819264
SIII	P084	PLK2	0.8809256494148597
SIII	P085	PLK2	0.271558306378211
SIII	P086	PLK2	0.7206626580691385
SI	P087	PLK2	0.6406551863281089
SII	P088	PLK2	0.665888022555456
SIII	P089	PLK2	2.4155404039980592e-05
SI	P090	PLK2	0.06010441548780662
SIII	P091	PLK2	0.008169040345624434
SIII	P092	PLK2	0.5838693131015299
SIII	P093	PLK2	0.0015010001321467926
SIII	P094	PLK2	0.6514958615319295
SII	P095	PLK2	0.15673197550237736
SI	P096	PLK2	8.679154807541665e-07
SIII	P097	PLK2	0.31063474519391704
SIII	P098	PLK2	9.479965624039238e-07
SII	P099	PLK2	0.12313292048537229
SIII	P100	PLK2	0.015621196397379206
SIII	P101	PLK2	1.369111430000682e-06
SI	P102	PLK2	6.7784623950079634e-06
SI	P104	PLK2	8.202653993081653e-08
SI	P105	PLK2	0.00013465848845366715
SI	P106	PLK2	0.000868068453038042
SIII	P107	PLK2	0.3057533972328825
SI	P108	PLK2	0.46425961396791027
SII	P109	PLK2	0.0923377327693093
SII	P110	PLK2	7.021163803338171e-07
SI	P111	PLK2	0.0009551762003343276
SIII	P112	PLK2	0.02417236057614289
SI	P113	PLK2	1.6490068921105885e-11
SI	P114	PLK2	2.8611309461020972e-12
