Subtype	Sample	Kinase	Activity
SI	P001	SRPK2	4.5406387124106933e-26
SII	P002	SRPK2	1.7685237217466438e-11
SI	P003	SRPK2	0.12768331842387629
SII	P004	SRPK2	1.6382540616201614e-08
SII	P005	SRPK2	0.0019980338852093357
SI	P006	SRPK2	1.986231280005593e-19
SII	P007	SRPK2	4.562374160621668e-18
SII	P008	SRPK2	2.1125667038643691e-13
SII	P009	SRPK2	0.009777805591208135
SI	P010	SRPK2	7.087693353723988e-07
SII	P011	SRPK2	0.0009289067903787431
SII	P012	SRPK2	7.403426539282997e-10
SI	P013	SRPK2	3.2929296102580975e-10
SI	P014	SRPK2	6.112805445470226e-23
SI	P015	SRPK2	1.2411734867293045e-14
SI	P016	SRPK2	6.90978881091584e-06
SI	P017	SRPK2	1.0134602513466589e-05
SI	P018	SRPK2	2.9188945634188152e-08
SI	P019	SRPK2	6.37007353662356e-09
SI	P020	SRPK2	9.119307430518801e-10
SI	P021	SRPK2	4.924236631538471e-09
SII	P022	SRPK2	0.00012247948998191422
SI	P023	SRPK2	1.1899895914829146e-10
SII	P025	SRPK2	3.7438056315829563e-06
SI	P026	SRPK2	1.0192854209682398e-19
SII	P027	SRPK2	0.0005063575760886853
SII	P028	SRPK2	6.005943577904145e-05
SI	P029	SRPK2	4.387094817876815e-06
SI	P030	SRPK2	8.487681136836916e-18
SII	P031	SRPK2	1.1583290848531548e-09
SIII	P032	SRPK2	0.02023707706025571
SII	P033	SRPK2	3.5636966879596514e-09
SI	P034	SRPK2	2.3873415217450276e-07
SIII	P035	SRPK2	0.00044876171862237753
SI	P036	SRPK2	3.9423379813611416e-22
SII	P037	SRPK2	0.18224326334656704
SII	P038	SRPK2	8.228650220385533e-05
SI	P039	SRPK2	1.7770721139242338e-21
SI	P040	SRPK2	5.924304699226877e-07
SI	P041	SRPK2	5.071088889467463e-11
SII	P042	SRPK2	6.726073706876346e-11
SII	P043	SRPK2	1.2465539364483153e-28
SII	P044	SRPK2	0.0008679320066011123
SI	P046	SRPK2	6.014372760106813e-15
SI	P047	SRPK2	2.2860619391372264e-09
SI	P048	SRPK2	6.168352520377328e-08
SI	P049	SRPK2	1.5997097769351648e-07
SI	P050	SRPK2	2.645365471876856e-10
SII	P051	SRPK2	9.71476475955316e-09
SIII	P052	SRPK2	0.05012134825600595
SI	P053	SRPK2	3.422539450220699e-10
SII	P054	SRPK2	0.16469701193437408
SII	P055	SRPK2	0.006520968387066188
SI	P056	SRPK2	2.7450228887640114e-14
SI	P057	SRPK2	1.2164136071793377e-06
SI	P058	SRPK2	1.2297505380014864e-11
SI	P059	SRPK2	0.01585675993681191
SI	P060	SRPK2	5.293672220093284e-23
SII	P061	SRPK2	7.271515186332154e-05
SI	P062	SRPK2	1.1256760934138109e-08
SI	P063	SRPK2	4.040509973690996e-11
SI	P064	SRPK2	5.917729041858346e-19
SI	P065	SRPK2	1.5234877571914898e-11
SI	P066	SRPK2	1.3757144702742412e-08
SI	P067	SRPK2	5.622162471109559e-19
SI	P068	SRPK2	7.784788457670835e-08
SI	P069	SRPK2	4.121044667453466e-09
SII	P070	SRPK2	0.6559415436920006
SII	P071	SRPK2	4.25233952894063e-08
SIII	P072	SRPK2	0.00010737339613834443
SIII	P073	SRPK2	0.00029866887757899795
SIII	P074	SRPK2	0.20162256702477713
SIII	P075	SRPK2	0.20069388966004673
SIII	P076	SRPK2	2.117614357764735e-07
SII	P077	SRPK2	0.0005034166592497429
SII	P078	SRPK2	1.5728281067342273e-11
SIII	P079	SRPK2	1.3459495678676696e-10
SI	P080	SRPK2	8.78309034621332e-14
SII	P081	SRPK2	2.985795591092517e-13
SI	P082	SRPK2	1.5468863513645121e-18
SIII	P083	SRPK2	0.003310707904499102
SIII	P084	SRPK2	0.004617909706425595
SIII	P085	SRPK2	0.1658409027505346
SIII	P086	SRPK2	0.41751882632421977
SI	P087	SRPK2	1.8530980751281513e-07
SII	P088	SRPK2	0.24633754041592282
SIII	P089	SRPK2	1.2406290317196795e-15
SI	P090	SRPK2	0.0007996611828486546
SIII	P091	SRPK2	2.318845310492729e-09
SIII	P092	SRPK2	0.910596251389206
SIII	P093	SRPK2	0.19935668765123604
SIII	P094	SRPK2	0.04403679966541101
SII	P095	SRPK2	0.16526227893129197
SI	P096	SRPK2	5.846939428983757e-06
SIII	P097	SRPK2	1.8682715062465465e-08
SIII	P098	SRPK2	7.631025132883143e-15
SII	P099	SRPK2	0.1544707625480098
SIII	P100	SRPK2	2.476754554032494e-06
SIII	P101	SRPK2	0.0019539005248897733
SI	P102	SRPK2	3.2814035645066616e-08
SI	P104	SRPK2	5.4476873489713433e-14
SI	P105	SRPK2	4.029808016289188e-13
SI	P106	SRPK2	3.0675001120675143e-12
SIII	P107	SRPK2	0.09973818608525975
SI	P108	SRPK2	9.156054427638495e-11
SII	P109	SRPK2	0.006161611909229262
SII	P110	SRPK2	0.1981542100004591
SI	P111	SRPK2	5.058404789265878e-13
SIII	P112	SRPK2	0.13446568500199257
SI	P113	SRPK2	6.221256019972655e-10
SI	P114	SRPK2	9.125947489870865e-30
