Uniprot ID	Kinase	Activity
Q9NYV4	CDK12	0.0
P49336	CDK8	0.0
Q14004	CDK13	0.0
Q96Q40	CDK15	0.0
B4DK03	CDK18	0.0
P24941	CDK2	6.2198855874078814e-248
Q00536	CDK16	0.0
P50613	CDK7	0.0
P50750	CDK9	0.0
Q8IZL9	CDK20	0.0
Q00537	CDK17	0.0
P11802	CDK4	0.0
Q00534	CDK6	5.28167617910506e-114
O94921	CDK14	5.28167617910506e-114
Q59FC5	CLK3	0.0
B4DH08	CDKL2	0.0
B4DFW7	CLK1	0.0
Q2NME9	CDKL4	0.0
Q9UPE1	SRPK3	0.0
Q00532	CDKL1	0.0
P49760	CLK2	0.0
P20794	MAK	0.0
Q9HAZ1	CLK4	0.0
O76039	CDKL5	0.0
C9JQJ0	SRPK2	0.0
O96017	CHEK2	0.0
Q9UPZ9	ICK	0.0
P42345	MTOR	0.0
Q9NYY3	PLK2	1.6088931451475943e-197
Q13237	CHEK1	9.183208882283211e-101
Q9Y463	DYRK1B	0.0
Q13627	DYRK1A	0.0
Q86Z02	HIPK1	0.0
Q8NE63	HIPK4	0.0
O43781	DYRK3	0.0
Q9H2X6	HIPK2	0.0
P53350	PLK1	0.0
