label	C9	KLKB1	SERPIND1	LBP	PROCR
0	-1.847247362	-1.427866638	-1.32144478	-1.563480616	-1.854934186
0	-2.34624505	-1.693030894	-2.0290858	-1.94329989	-0.39482528
0	-2.420424342	-2.081455946	-1.927318633	-1.721889257	-1.268308789
0	-1.798125625	-1.260570288	-2.045482278	-1.349735498	0.384113908
0	-1.597262979	-1.272354841	-1.037278175	-1.553979516	-0.971771508
0	-1.957053781	-1.974212289	-1.139051273	-1.448750257	-2.693615556
0	-2.394288301	-2.155640721	-1.999065131	-1.935908198	-1.769328237
0	-2.850097656	-1.986708485	-2.003966734	-2.512208581	-1.564836174
0	-2.812007189	-2.648137033	-2.314576	-2.687134147	-0.912960559
0	-1.578660965	-1.180675149	-1.593086511	-1.682565808	-0.580999151
0	-1.859732389	-1.220630467	-1.655401692	-1.546495259	0.172319174
0	-2.183151782	-1.537637711	-1.754837304	-1.827343822	-1.193291664
0	-1.402257681	-0.68009758	-0.787450433	-0.689745903	-0.690096676
0	-1.55301249	-1.159293473	-1.265986681	-1.094228983	-1.321460545
0	-1.757763743	-0.929905057	-1.171568871	-1.006127834	-1.120404899
0	-2.780037045	-1.883368969	-2.43801111	-2.51604557	-0.898919314
0	-2.026261806	-1.496713817	-2.082265019	-1.768676758	0.76213932
0	-1.111526847	-1.770923495	-1.418465823	-1.074106574	-0.201059282
0	-1.81378293	-1.922513008	-1.804470509	-1.312391162	-2.059368074
0	-3.075564981	-2.041069388	-2.863600817	-2.604241729	-1.398266077
0	-2.621783614	-2.261982322	-2.723122954	-1.730882406	-1.260647833
0	-2.455506757	-2.224514097	-2.458377659	-1.179197848	-0.694140598
0	-1.661040068	-1.46728313	-1.686093092	-0.636456251	-1.756493866
1	-0.737958789	-0.740598917	-0.999324381	-0.336995661	-0.328598633
0	-2.282231271	-1.654473096	-1.613975123	-1.460778505	-1.62765497
0	-2.200431883	-1.570971698	-1.261899352	-2.54413414	-1.233722091
0	-2.713380873	-2.022052526	-0.96955201	-3.44731617	-0.265059233
0	-2.222662091	-1.803773358	-1.365087554	-3.076143503	-0.865671426
0	-2.10027802	-2.025006115	-1.888011456	-3.053958416	-1.297960699
0	-2.539739192	-2.205378592	-2.192772403	-3.590882778	-1.061016887
0	-3.25548479	-2.320585698	-1.958343506	-3.117734089	-1.328986943
1	-1.418615699	-1.000603914	-1.379442453	-1.55401814	-0.553286508
0	-2.211103499	-1.512613773	-1.42006886	-2.103141546	-1.361160174
0	-2.16894865	-2.253006697	-2.197403669	-2.263863564	-0.55093056
1	-1.344739914	-0.805918097	-1.155752063	-1.461962581	-0.148050904
0	-2.154678255	-1.776887409	-1.752392769	-2.564482689	-1.708630383
0	-1.098917603	-1.274499595	-1.185066342	-1.246194363	-1.587524444
0	-1.799920082	-1.813109994	-1.91539979	-2.308455944	-2.618145466
0	-2.026513577	-1.543009758	-1.478715837	-1.226951599	-0.444974214
0	-1.657726169	-2.41933763	-2.474997878	-2.342454433	-2.104467034
0	-1.278808355	-0.72077322	-1.007022619	-1.159587383	-0.338464081
0	-1.964988351	-1.514200449	-1.285594821	-1.840589166	-0.784135073
0	-2.390443206	-2.195492268	-2.18483901	-2.412171721	-2.18070519
0	-2.535888433	-2.496131539	-3.029576004	-1.930935621	-0.697535396
0	-2.467430592	-1.810795993	-1.965820909	-2.905551434	-3.078542113
0	-1.568547606	-1.513552785	-1.54407686	-1.600953341	-0.807835937
0	-2.012053609	-1.595507383	-2.03008616	-1.749875784	-1.258718848
0	-3.098904014	-2.068589419	-2.275776833	-3.335260034	-1.952604175
0	-2.243747592	-1.718450755	-2.123126313	-2.256380439	-0.964057561
0	-2.551235199	-1.990017772	-1.810355008	-2.204392195	-0.98999247
1	-1.094512463	-1.117589593	-0.766743243	-1.088073254	-0.786757678
0	-1.377481535	-2.138898253	-1.561348349	-2.195132256	-1.539882749
0	-1.48584944	-1.572390079	-1.008017063	-1.594187379	0.019455671
0	-1.371066332	-1.271782041	-0.772671223	-1.336969852	-1.158110589
0	-1.778869271	-1.997956157	-1.400570035	-1.445624948	-1.639672756
0	-3.101073861	-1.803122759	-1.668569848	-2.616994858	-0.402614117
0	-3.011181474	-1.247654438	-1.423460931	-2.362200141	-1.350391835
0	-1.946896553	-1.60694623	-1.281250626	-1.552512527	-0.766502798
0	-1.878806949	-1.510164261	-1.233783245	-1.926593184	-1.264251381
0	-1.598413825	-0.649665296	-1.440735638	-1.812324703	-1.555863202
0	-1.420855045	-1.312926978	-2.178835094	-1.817181408	-1.373367906
0	-1.255897641	-0.638588667	-0.865012169	-0.676470399	-0.30691421
0	-1.157431602	-0.792283773	-1.01436767	-1.658894658	-0.716584086
0	-2.031672001	-1.69082205	-2.177655146	-1.728436381	-0.887663782
0	-1.694562197	-2.032452941	-1.832665145	-1.530265212	0.045480967
0	-1.184319139	-1.022877753	-0.837243259	-1.389598787	0.066105604
0	-2.519682467	-2.686724603	-1.926770575	-2.439701974	-1.006037951
0	-1.520409107	-1.519883215	-1.234186932	-1.417463779	0.94265902
0	-1.866110802	-1.62679112	-1.497355744	-1.810144782	1.598905802
0	-2.329284549	-1.505577147	-1.666898146	-1.597690642	-0.527733564
1	-0.986772299	-0.508284092	-0.132717729	-0.682774067	-0.108253241
1	-1.06532681	-0.686709642	-0.762604237	-0.873156786	0.445429802
1	-1.600425124	-1.120155454	-0.57360439	-1.342071533	0.971077204
1	-1.206510067	-0.868731022	-0.495953113	-1.234657228	-0.338988662
1	-1.23747921	-1.039053798	-0.754243135	-0.902689219	0.011864334
0	-1.760159254	-0.943777084	-1.18327713	-1.613461733	-0.642834187
0	-2.150670648	-1.137152195	-0.890033245	-0.79485175	-0.246910498
1	-2.069089055	-0.807556391	-0.654878139	-0.919330835	-0.231618136
0	-2.593292594	-1.452723265	-1.647375047	-2.741284966	-0.548689604
0	-3.073917985	-1.937534332	-2.397552148	-2.488796175	1.092528343
0	-2.080595076	-1.550930858	-1.490983754	-1.550162107	0.18106246
1	0.489888906	-0.266530514	-0.15231967	-0.147433519	1.291398764
1	-0.193676353	-0.485028505	-0.326474547	-0.158322692	-0.423550963
1	-0.934613943	-0.432035446	-1.308465898	-0.496142983	-0.261935472
1	-0.199060678	-0.320898652	-0.170416236	-0.351451874	0.037891626
0	-1.403859138	-1.815158606	-1.687400222	-0.652086854	0.538060308
0	-1.995245099	-1.532988161	-1.524233699	-1.429329276	-0.415316746
1	-1.114195466	-0.308795452	-0.239411831	-0.879794002	-0.995105684
0	-1.782542348	-1.630658507	-1.431623578	-0.765784264	-0.187430501
1	-1.069699049	-0.887642622	-1.021547347	-0.175261736	-0.72825253
1	-1.356472611	-1.064252496	-0.460314065	-0.936540306	-0.351619244
1	-1.616262436	-1.149332404	-0.79731904	-0.965670347	-0.255796909
1	-1.579717875	-1.503702819	-1.624636829	-1.083653927	-0.09389782
0	-1.963841677	-1.63704288	-1.446184874	-1.788759351	-1.60900493
0	-1.274892569	-0.874646068	-0.968902767	-1.707790017	-1.86202535
1	-0.825455546	-0.305274785	-0.571443677	-1.323548436	-1.196386516
0	-0.143437862	0.331399202	0.024596751	-0.539714575	-2.370127261
0	-2.241937995	-1.505920112	-0.844703197	-1.644371092	-0.105949223
1	-0.959829569	-0.893181801	-0.971681714	-1.001986027	-0.454654932
1	-0.905014992	-1.231903434	-0.745146632	-0.707476616	-1.228905708
0	-1.369299054	-1.734655023	-0.564954042	-1.455868006	-0.644897044
0	-1.979887009	-1.721551657	-1.133242905	-2.237086296	-1.119651586
0	-2.013243914	-1.366501629	-1.337614745	-1.947670817	-0.795365185
0	-1.331831336	-1.47426267	-1.854085803	-1.905252934	-1.542563051
1	0.024692774	-0.196322441	0.294662833	0.167121172	-0.635964513
0	-1.497777939	-1.909166217	-1.860692933	-1.850799561	-1.014874727
0	-1.396979094	-1.674278557	-1.528692231	-1.692979336	-0.794841826
0	-1.250075579	-1.521340847	-1.590993404	-1.55013299	-1.297142744
0	-1.874318838	-2.259629905	-2.477714688	-1.879375458	-1.605741397
1	-0.531350017	-0.685037613	-0.422827363	-0.392861605	-0.738800272
0	-2.054241896	-1.386654615	-1.926787734	-1.746000648	-0.495490707
0	-2.009370744	-1.395796478	-2.096095443	-1.722403765	-0.438336551
