label	CP	C5	IGHG4	GSN	SERPINA2
0	-2.287567258	-1.171913147	-2.044172764	-1.320878029	-1.391331196
0	-2.21186626	-1.964612901	-1.609169751	-1.352032781	-2.350365996
0	-2.441126823	-1.840526164	-1.162748456	-0.910067797	-1.298728704
0	-1.996124268	-1.005150795	-3.794528246	-1.015291929	-1.533965468
0	-1.383191109	-0.890955687	-1.902911425	-0.650605559	-1.769333124
0	-2.159773827	-1.897497416	-2.158069789	-1.245307446	-2.033769548
0	-2.247668147	-2.169867694	-3.06522274	-0.21890521	-2.034677446
0	-2.257871747	-2.353748083	-1.134524226	-1.488485694	-1.646250397
0	-2.850515485	-2.436562479	-3.056315064	-1.095678806	-2.408052236
0	-1.814921796	-1.405955434	-2.131528914	-1.248406708	-1.398173571
0	-2.177466869	-1.410465598	-0.732596219	-0.788809776	-1.303444743
0	-2.469454527	-1.587423325	-2.335456848	-1.035648286	-1.54892242
0	-0.928124905	-0.807246923	-0.834488034	-1.291617453	-0.979318261
0	-1.717440844	-1.262002826	-1.514368773	-0.801980257	-1.318370104
0	-1.468684196	-1.082275629	-1.060417652	-1.482348084	-0.740001857
0	-2.63193655	-1.952483892	-2.909211189	-1.111030698	-2.071828783
0	-2.37586832	-1.616038382	-2.683550805	-0.911489725	-1.975027561
0	-1.857428432	-1.225311875	-2.198986053	-0.958064675	-1.018710375
0	-2.623856068	-2.074155271	-1.746136907	-0.768035769	-1.820501924
0	-2.454626977	-2.25748555	-0.867948599	-0.947405815	-1.982613489
0	-2.388309479	-2.232265711	-2.516495109	-1.427837133	-2.044038773
0	-2.580832809	-2.187347084	-2.069013238	-1.096770763	-1.950512767
0	-1.899460793	-1.345450222	-2.654065132	-1.297725916	-1.522006273
1	-0.867190957	-0.586465061	-0.581046343	-0.174804688	-0.648126841
0	-2.069994926	-1.281283736	-2.749471307	-1.593999267	-2.062431276
0	-1.970509529	-1.791441709	-1.58319217	-2.195721149	-1.606855929
0	-2.915352523	-2.023361742	-3.545828223	-0.315466404	-2.484650075
0	-2.259545803	-1.656277299	-2.266442776	-1.250272274	-1.830326438
0	-2.057465553	-2.008550048	-1.818431139	-0.641216755	-0.911833048
0	-2.47526449	-2.067771882	-1.975414276	-0.983418703	-2.205162823
0	-3.059461534	-2.570476636	-1.390457869	-1.23656249	-2.363656074
1	-1.508406639	-1.143708587	-1.149818003	-0.604713321	-1.394736171
0	-1.936883092	-1.528519392	-1.716650069	-0.984367013	-1.910226524
0	-2.25189662	-1.883138657	-2.415921658	-1.352662563	-1.264603287
1	-1.253310204	-1.026410937	-1.641949534	-0.821241975	-0.851450801
0	-2.303604156	-1.828589857	-1.456997454	-1.405252099	-1.12503475
0	-1.449031591	-0.916318059	-1.027761012	-0.91354382	-1.059877753
0	-2.130791664	-1.908758998	-1.879932344	-0.386064529	-1.756957293
0	-2.008744359	-1.479636669	-1.449123144	-1.274594903	-1.916368663
0	-2.155929565	-2.111861825	-1.074165262	-0.311577082	-1.382837296
0	-1.57209301	-0.693550348	-1.027320862	-1.372971058	-1.609468102
0	-1.953694224	-1.524614096	-2.285608888	-0.548179507	-1.928971291
0	-2.782226563	-2.108999729	-2.572355181	-0.365515471	-2.079584956
