label	HRG	DAG1	ITPR1	COLEC12	SERPINA10
0	-1.836373687	-1.038471073	-1.474114507	-0.725635052	-1.438447595
0	-2.374934673	-1.194395691	-0.711873502	-1.303097874	-2.45465225
0	-2.429665089	-0.686255336	-1.465692788	-1.140034914	-2.268844128
0	-1.395674467	-0.942530304	-0.807054877	-1.675583601	-1.040721059
0	-2.291510224	-0.428082854	-0.386211038	-0.860856414	-1.020356536
0	-2.560819149	-1.421400219	-0.8481986	-0.438312531	-1.493262053
0	-2.843067646	-1.62855947	-0.277009308	-0.744565547	-2.451792359
0	-2.736061037	-1.968525082	-0.655938469	-1.419315517	-2.698523879
0	-2.853423059	-0.538938925	-0.320241529	-1.629833281	-2.485439718
0	-1.686295152	-0.845225617	-0.68338865	-2.010095328	-1.34215641
0	-1.718875289	-0.715185329	-0.530190796	-1.823757499	-1.332338572
0	-2.074606538	-0.812388197	-0.648563281	-0.454914033	-1.962175965
0	-0.878819942	-0.938647568	-0.740211904	-0.233410954	-1.574965715
0	-1.527446032	-1.514648765	-1.007986516	-0.58573401	-1.112068892
0	-1.341890454	-1.762873165	-1.543338716	-0.922556162	-1.433607101
0	-1.879820585	-1.779632688	-1.159816504	-2.250662327	-0.104264975
0	-1.71029973	-1.250382394	-1.128259242	-1.674825817	0.700318575
0	-1.770881414	-1.036700845	-0.769007325	-0.226123691	0.189454913
0	-2.211504936	-0.924283385	-1.099326104	-1.380599022	-0.629304171
0	-2.226226449	-1.237697717	-1.208769131	-2.629829705	2.10953027
0	-2.644862413	-1.716151118	-0.47037375	-1.992962241	-1.58937645
0	-2.975320637	-1.800139844	-0.304001868	-2.470778108	-2.014804244
0	-1.372280717	-1.511616975	-0.294070125	-1.194220901	-0.680603027
1	-0.887250423	0.312477112	-0.094067812	0.984191537	-0.387619495
0	-2.239008904	-1.364499718	-0.056139946	-1.346482635	-1.210826397
0	-1.740237355	-2.676216066	-1.18161571	-1.450138867	-1.805230677
0	-3.099900901	-1.417917266	-0.202522635	-0.956488617	-1.916831255
0	-2.233620167	-1.868496031	-0.502123117	-1.656722814	-1.693030715
0	-2.174916267	-1.643117249	-0.794576585	-0.993173003	-2.242719173
0	-3.081186175	-2.237321317	-0.49779759	-0.786048684	-2.183594227
0	-2.912047744	-0.77399087	-0.704152435	-1.596891522	-2.111319065
1	-1.303598046	-0.561095357	-0.190565288	-0.393514395	-1.335520267
0	-2.433685303	-1.540462539	-0.613474295	-1.153170466	-0.869793773
0	-2.432117939	-0.335260928	-1.055726379	-1.593375862	-2.141051412
1	-1.324121237	-0.857645124	-0.502784684	-0.65054822	-0.99538219
0	-2.594243526	-1.90233624	-1.428299606	-1.218684018	-1.599469662
0	-1.065996885	-1.027748287	-0.781747371	-1.306683302	-1.064970493
0	-1.872382164	-2.308534265	0.466267914	-0.952626467	-1.760156393
0	-1.984162807	-2.297478929	-1.285422564	-1.305866882	-2.023844361
0	-2.247975945	-1.609237492	-0.795085639	-1.679118156	-2.824790239
0	-0.697286367	-1.978248358	-0.903880984	-0.176647425	-0.973564148
0	-1.490657687	-2.227042109	-0.537033528	-1.36591506	-1.454566598
0	-2.108792126	-2.308340833	-1.08991421	-0.092073202	-2.480976701
0	-2.476679564	-2.09949778	-0.030364633	-1.775536656	-3.457067013
0	-2.142206311	-2.162025761	-1.143063068	-1.528792758	-1.745076418
0	-1.524309874	-0.930690408	-1.083706349	-1.120808065	-0.966528893
0	-1.82475853	-1.496595562	-0.675011128	0.003595829	-1.848174095
0	-2.695481896	-2.097540677	-0.661413491	-1.280289114	-3.16090399
0	-1.694329619	-1.098078191	-0.770814121	-0.689296991	-1.730559707
0	-2.201996088	-2.405359879	-0.298463881	-0.816802144	-2.349464297
1	-0.94884038	-1.167141557	-0.335058838	-8.9e-05	-1.260860682
0	-1.574148655	-1.517044466	-0.944576383	-0.886898369	-1.286714792
0	-1.663352489	-0.570117831	-0.425109863	-0.865637958	-0.953796327
0	-1.085902214	-1.191808343	-0.516022474	-0.853386007	-0.968234539
0	-1.572363734	-1.513149954	-0.747994855	-1.585995972	0.111232877
0	-2.896116018	-1.474790961	-1.166557431	-1.777867138	0.396247149
0	-1.819107234	-1.888126671	-1.119172812	-3.332692802	0.575581312
0	-1.971675456	-1.510982111	-0.613849074	-2.313737869	0.614205956
0	-1.44006443	-1.60043532	-0.989998892	-1.350098252	0.446254134
0	-1.695837021	-1.168705225	-0.678728759	-0.378246069	-1.390747428
0	-1.915532231	-1.246298552	-0.642540351	-0.551519632	-2.199766159
0	-0.920226216	-1.759387285	-1.221982241	-1.511739552	-0.33076787
0	-0.773975492	-1.061765343	-1.196816027	-1.245280355	-0.21645689
0	-2.402206302	-1.190405011	-0.526300415	-1.032137632	-2.69799602
0	-1.990373731	0.019130349	-0.588050142	-0.48807013	-2.143583953
0	-1.176804781	-0.864061832	-0.959033117	-0.473518312	-0.985859275
0	-2.405469239	-1.189023256	-0.723128915	-1.100545675	-1.482602715
0	-1.953942895	-1.352304786	-0.712774456	-1.155759841	-1.200514317
0	-1.804907084	-0.800719142	0.264706314	0.483727872	-0.946459174
0	-2.246113539	-0.633285195	-0.688921809	0.614244461	-1.2505126
1	-0.475174427	-0.932074606	0.062256515	0.873723626	-0.024909019
1	-0.811976194	-0.450579047	-0.177610233	-0.018039823	0.134957075
1	-1.347725272	-0.887905017	-0.292045474	0.207686543	-0.80565238
1	-1.232084394	-0.740990758	-0.197716117	0.481823087	-0.732987404
1	-1.153985977	-1.138069689	-0.994394541	-0.508515179	-1.076378822
0	-1.761364698	-1.309515119	-0.425802767	-1.056028724	-0.868039131
0	-1.901434541	-0.604906112	-0.696669951	-0.854099467	-0.931544542
1	-1.263884902	-1.514038563	-0.362444937	-0.077397346	-0.90380311
0	-1.46334362	-0.669460177	-0.881892368	-1.963981152	-1.612106919
0	-2.810163498	-2.006081268	-0.808988437	-1.23568666	-3.457524657
0	-1.786641598	-1.929081902	-0.465779796	-1.626173258	-1.871376276
1	-0.35780859	-0.32042563	-0.194844097	0.696364641	-0.287060499
1	-0.299732447	-1.052869081	-0.123457253	0.394015551	-0.224387407
1	-1.28472352	-0.503615558	-0.269221798	-0.374258518	-1.033892155
1	-0.397003651	-0.204130054	0.011292458	0.183597326	-0.155502915
0	-1.99922657	-1.061687976	0.089393064	-0.784952044	-1.856864691
0	-2.413687825	-1.165016919	-0.792937934	-2.405064344	-1.665498257
1	0.423592091	-2.012314498	-1.085261762	-0.204285264	0.633216858
0	-1.876728535	-1.129640847	-0.441541597	-0.579347432	-1.37371999
1	-1.349439383	-0.84730795	-0.54606083	-1.123633116	-0.255933642
1	-1.533728361	-0.057368636	0.13393186	0.569479942	-0.776518583
1	-1.59300971	-0.73837465	-0.297933102	-0.022586226	-1.214031339
1	-1.858474493	-0.277685374	-0.155209303	-0.28559196	-1.536729693
0	-1.491360426	-1.625375688	-0.691960812	-1.874627858	-0.804217339
0	-1.356950164	-1.874626726	-0.915413678	-1.125170827	-1.430604577
1	-0.71974206	-1.85560593	-1.212003306	0.277762651	-0.470804214
0	0.472485781	-1.349984527	-1.52160947	-0.441632748	0.501291752
0	-2.228418052	-0.769471049	-0.397858903	-0.955693543	-1.686231971
1	-1.138431072	-0.912994981	-0.594472826	-0.414209127	-0.832042813
1	-1.099915028	-0.851764113	-0.353813589	0.504395485	-0.684504032
0	-1.40269351	-0.917965263	-1.175584197	-3.929002121	-1.205892086
0	-1.851968169	-1.76501286	-1.055651158	-2.250328064	-1.63918671
0	-1.518206477	-1.322650447	-0.859856784	-1.097429037	-1.478864908
0	-1.652136326	-1.29539521	-0.877431333	-1.200983435	-1.53715378
1	-0.140156984	-0.187704563	-0.092862427	1.809368551	0.042339563
0	-2.018072128	-0.940903395	-0.496478707	-0.602428526	-1.382874906
0	-1.744236827	-1.287484258	0.133258037	-0.067900717	-0.70275569
0	-1.667629957	-2.417030513	-0.131032288	-1.294917792	-1.292920589
0	-1.980053186	-1.659629315	-0.499693416	-1.700040221	-2.362423301
1	-0.812828004	-0.420991212	0.162467629	0.04631573	-0.336844206
0	-2.120310843	-1.211965144	-0.793267801	-2.16380471	-1.827355981
0	-1.795357406	-1.578135073	-1.284467936	-2.510877356	-2.317715645
