label	IGHV3-43	NRP1	APCS	SERPINF2	DAG1
0	-1.704728365	-1.231848955	-1.934682518	-1.518851757	-1.038471073
0	-1.764557362	-1.220778912	-0.969989236	-2.3019135	-1.194395691
0	-1.205109119	-0.785530686	-4.160495162	-2.273090184	-0.686255336
0	-2.861512661	-0.742383361	-1.114428923	-1.123087764	-0.942530304
0	-0.791316509	-0.77086401	-0.812974751	-0.998354912	-0.428082854
0	-1.824609935	-0.518415451	-2.531931162	-2.602143824	-1.421400219
0	-1.738891721	-0.489909768	-3.533661991	-2.278606564	-1.62855947
0	-0.979752898	-1.195808053	-1.887880445	-1.91757071	-1.968525082
0	-2.306001127	-0.831242561	-2.274206161	-1.873370171	-0.538938925
0	-2.184940517	-1.634363413	-2.56018734	-1.73873055	-0.845225617
0	-2.135529637	-0.522702217	-0.971353672	-1.839235067	-0.715185329
0	-2.375051618	-1.214612842	-0.97446765	-1.971808136	-0.812388197
0	-0.432652473	-0.290920615	-2.713476896	-1.251365542	-0.938647568
0	-1.068437338	-0.982450485	-0.975771613	-1.422805548	-1.514648765
0	-0.903654575	-0.916539907	-1.748890989	-1.163040996	-1.762873165
0	-0.415240526	-0.481682539	-1.969823897	-2.395167947	-1.779632688
0	0.210231781	-0.60244298	-1.385017514	-2.386032224	-1.250382394
0	1.225715756	-0.330078125	-1.956211567	-1.632914782	-1.036700845
0	0.46238029	-0.999708772	-3.05658567	-2.419207931	-0.924283385
0	-0.315342426	0.075862944	-2.828696489	-2.537018597	-1.237697717
0	-2.214029074	-1.113519549	-2.906325936	-2.541607141	-1.716151118
0	-1.961941719	-1.183602273	-1.64554479	-2.281915784	-1.800139844
0	-1.564644694	-0.768421292	-2.744342625	-1.765384018	-1.511616975
1	-0.57133925	-0.157479882	-1.354829133	-0.872538149	0.312477112
0	-2.592333615	-0.7082268	-1.530686535	-2.144061506	-1.364499718
0	-1.893019676	-1.107562065	-2.60900557	-1.68451193	-2.676216066
0	-2.507557154	-0.661430597	-2.472660162	-2.242097318	-1.417917266
0	-2.535505176	-1.226933241	-1.444521427	-1.97226274	-1.868496031
0	-1.323375702	-1.121634245	-3.811034918	-1.397691429	-1.643117249
0	-1.938695014	-0.98936367	-3.630201936	-1.976130232	-2.237321317
0	-0.435857654	-0.62379396	-2.445411801	-3.081044614	-0.77399087
1	-0.244799137	-0.262040973	-1.568340063	-1.297378421	-0.561095357
0	-0.926949002	-0.380526543	-1.399629354	-2.633983374	-1.540462539
0	-0.359450012	-0.989594102	-2.544024944	-2.508006692	-0.335260928
1	-0.998437002	-0.388994813	-1.930819511	-0.992439508	-0.857645124
0	-1.164874673	-1.122855544	-4.405206397	-1.783980042	-1.90233624
0	-1.759220213	0.060044646	-1.978170156	-0.901331782	-1.027748287
0	-1.98909235	-1.013417602	-3.468651533	-1.660373092	-2.308534265
0	-1.59769094	-0.466377378	-2.142785192	-1.519136965	-2.297478929
0	-1.632214844	-0.78092134	-2.869216025	-2.02830708	-1.609237492
0	-0.857622743	-0.639105082	0.786953449	-1.474328279	-1.978248358
0	-1.955953956	-0.957439542	0.536127448	-2.339130461	-2.227042109
0	-2.751083732	-1.244966745	0.64017427	-1.791902184	-2.308340833
0	-2.246070385	-1.622917414	0.345404387	-2.717751503	-2.09949778
