label	KNG1	MFAP4	CFHR1	NRIP2	FETUB
0	-1.794691384	-2.896241546	-1.377747178	0.365708232	-2.423493728
0	-2.257678151	-3.663318455	-1.459552169	0.372774839	-2.500680715
0	-2.364424109	-2.666018307	-1.733137846	0.640041232	-2.201679647
0	-1.91509366	-2.617576122	-0.915091753	0.229562044	-1.489223599
0	-1.753280044	-1.829538405	-0.699091554	0.004148483	-1.127571106
0	-2.1846596	-4.098774195	-1.743175149	-1.206779525	-2.14177531
0	-2.219732463	-3.748538613	-1.591255426	-0.838217378	-2.243938088
0	-2.127704322	-3.432760596	-2.359962821	-1.274689943	-2.375703394
0	-2.385890901	-1.891124964	-1.940138936	-0.315477192	-2.569765747
0	-1.460607648	-1.806551337	-2.03356576	-1.277978823	-1.654747248
0	-2.086456776	-1.252014756	-2.075963497	-0.982085347	-1.441776156
0	-2.030784786	-2.478036284	-1.899886549	-0.79738009	-1.724215865
0	-0.908401132	-2.53063798	-1.531975508	-1.638946772	-0.90397954
0	-1.76819849	-2.517971992	-1.401418924	-1.391558647	-1.266084909
0	-1.343931675	-1.278728962	-2.146536469	-1.535116315	-1.556508899
0	-2.732542813	-3.554713011	-2.361078382	0.399755485	-2.445828259
0	-2.197994947	-3.159249246	-1.62007916	-0.922239363	-2.078086495
0	-1.68872273	-1.183104038	-1.033994198	0.676980615	-1.472442091
0	-2.393091142	-3.1555022	-1.649624825	-0.096023247	-2.174046397
0	-2.191117764	-3.384814858	-2.88028264	-1.522718787	-2.220570128
0	-2.551969647	-2.762887955	-1.803653479	-2.255649686	-2.054413676
0	-2.665449321	-2.727406457	-2.361383915	-2.081656575	-2.614967622
0	-1.633229256	-2.739823505	-1.373831511	-1.71286273	-1.107343137
1	-0.898177266	-0.249165297	-0.525978565	1.074738503	-0.656957686
0	-2.148892343	-2.839408882	-1.629286885	-1.411612988	-2.05979991
0	-2.016332746	-2.65090394	-2.388242483	0.889226317	-1.702395558
0	-2.865149379	-1.868646502	-2.710329413	0.366455555	-2.205597401
0	-2.322009683	-1.724399924	-2.004458427	0.66219604	-2.13725996
0	-1.848980665	-1.731376767	-1.753678799	0.91465652	-1.812610984
0	-2.418647826	-1.43592016	-2.708956003	-0.176755667	-2.057408959
0	-2.544076234	-2.520224303	-3.480806708	1.096416354	-1.84573032
1	-1.392456293	-1.939638853	-1.309023857	0.30853796	-1.144079328
0	-1.815082312	-2.911684841	-2.073887348	0.246466994	-1.822643936
0	-2.088595971	-1.674553305	-2.509086847	0.690335751	-1.302146956
1	-1.595064044	-1.326666474	-1.050085068	-0.830003262	-0.835708618
0	-2.235338211	-2.618654132	-1.76712279	0.197658658	-1.405972533
0	-1.713409185	-3.468921542	-0.743876874	1.299446821	-0.99911502
0	-2.491066813	-3.755241513	-1.500398517	0.619792104	-1.615782678
0	-2.205990672	-4.403152704	-0.521626651	-0.154985189	-1.481344879
0	-2.12393856	-2.595457554	-1.387939483	0.976911187	-1.581738204
0	-1.226252317	0.531317115	-0.427905798	0.020494387	-1.338888884
0	-2.013615847	0.825880408	-0.921197653	-0.450384974	-2.462570012
0	-2.218500614	0.890601873	-0.971626997	-0.728274018	-3.487522364
0	-2.2757231	0.366598845	-2.883872986	-1.065590456	-1.902281463
0	-2.33393091	-2.542646289	-1.498247147	-1.201036766	0.524325728
0	-1.701593876	-2.211299777	-1.472706914	-1.052566141	0.581691384
0	-1.947878897	-2.455406666	-1.536980391	-0.254876077	-0.196402669
0	-2.254355341	-2.687972307	-2.783465743	0.010051757	0.696025014
0	-1.864713341	-1.447057486	-2.094577551	-1.451820791	0.084129333
0	-2.283838272	-2.820079207	-1.803644419	-0.329584002	-2.513026327
1	-1.114249468	-1.873431921	-0.712510824	-0.871210814	-1.316570133
