label	LAMA5	AGT	SERPINA7	C1S
0	-1.820239961	-1.278171211	-1.718550805	-0.210071325
0	-1.361851454	-1.44010523	-1.991179705	-1.720001459
0	-2.319022298	-1.994173169	-1.7962116	-0.773237467
0	-0.617687225	-1.520877078	-1.651633859	-0.897391796
0	-0.4332304	-1.140097588	-1.695899844	-1.196341038
0	-1.592780948	-2.114069462	-1.888232052	-1.125869274
0	-1.447753012	-2.010863304	-1.996447355	-1.831884742
0	-1.56541115	-1.512924522	-1.924941927	-1.873980284
0	-0.280659437	-2.016065568	-2.374973863	-2.311927438
0	-1.158148706	-1.477081656	-1.465324104	-1.611101091
0	-0.864148676	-1.800795674	-1.949278057	-1.112422228
0	-1.21328181	-2.047920346	-1.816318929	-1.814638793
0	-1.501344442	-1.290454626	-0.972531199	0.323566914
0	-1.235778868	-1.518381357	-1.42685473	-0.856807709
0	-2.034120858	-1.248047113	-0.972390532	-0.331262827
0	-0.123578906	-2.435031474	-2.766296923	-2.390557885
0	-0.46082443	-2.128372312	-1.891801476	-1.20342505
0	-1.257531524	-1.48297745	-1.290901661	-0.949914217
0	-0.590349913	-1.749593049	-1.696221948	-1.871847749
0	-1.855116248	-1.812928796	-2.135893106	-2.371181309
0	-1.290342152	-2.300655127	-1.964465618	-1.546270251
0	-1.769251287	-2.200806022	-1.999553204	-2.570105612
0	-0.543015242	-1.428904533	-1.382552087	-1.179525137
1	0.236382365	-0.915464044	-0.668545246	-0.693769455
0	-0.204947889	-1.918258309	-2.102490544	-2.108767629
0	-1.889547914	-2.044584364	-1.293233424	-2.28783381
0	-0.554149985	-2.482498765	-2.605567276	-2.324222624
0	-1.168790907	-2.202087104	-1.918115422	-1.926112056
0	-1.47096315	-1.693930686	-1.339138985	-0.949179411
0	-1.291514292	-2.240272999	-1.754961997	-2.389439523
0	-0.553062618	-1.789817363	-2.447654665	-1.272161961
1	-0.313318372	-1.46500659	-1.379360199	-0.584992647
0	-0.68940708	-1.145128429	-2.02702868	-1.175110579
0	-1.245734006	-0.973131895	-1.595836401	-1.421679974
1	-0.645129323	-0.504558951	-1.11286962	-1.112092376
0	-2.193790428	-2.049364388	-1.425754964	-1.696120143
0	-0.02986753	-1.499980927	-1.15838325	-1.039726257
0	-0.603116691	-2.014078617	-1.743988037	-1.490455151
0	0.756708741	-2.206880748	-1.731037617	-0.993212581
0	-1.480569601	-2.139124393	-1.246583819	-1.784677386
0	-0.630071998	-1.465811431	-1.337551713	-0.415094137
0	-1.100237176	-2.094982266	-1.831744194	-1.212724566
0	-1.105117276	-2.111857951	-2.194493458	-1.798241258
0	-2.473572373	-2.500393748	-1.437322795	-1.848838687
0	-1.201605394	-2.31396699	-2.258572459	-1.290978968
0	1.324148893	-1.691924095	-1.400115192	-0.908705354
0	-0.981515586	-2.032812953	-1.737085819	-0.721712768
0	-1.036268413	-2.126872122	-1.688224047	-1.617613912
0	-0.954144269	-2.199188352	-1.667759717	-1.007955551
0	-0.873049438	-2.427501023	-2.032388687	-1.650196552
1	-0.470469415	-1.180529118	-1.233717859	-0.443240404
0	-1.225309432	-2.087067842	-1.504715204	-2.051593542
0	-0.39790839	-1.339384019	-1.520860553	-1.093689203
0	-0.514545262	-1.158542275	-1.295973897	-0.103236675
0	-0.832946539	-1.642513335	-1.870575964	-0.850703239
0	-0.721495986	-2.558459342	-2.290107965	-1.58398205
0	-0.586098552	-1.742240906	-1.805353582	-0.887415886
0	-0.620735943	-1.539744794	-1.767976165	-0.699976563
0	-1.342689216	-1.366182148	-1.543816268	-1.31163305
0	0.024348497	-1.551580071	-1.350628078	-0.541734934
0	-1.419655442	-1.883293033	-1.759820282	-1.233985186
0	-1.11979039	-0.889419794	-1.267473757	-0.116832733
0	-0.637698293	-1.328122139	-0.6025213	-1.598964095
0	-0.833984166	-2.039109051	-1.915908217	-1.722869158
0	-1.245266527	-1.883854508	-1.357545495	-1.731637001
0	-1.457390517	-1.18904078	-1.358533978	-1.442156792
0	-1.523117527	-2.895423889	-2.117606223	-2.133594751
0	-0.61841327	-1.686060905	-1.626047313	-1.275151253
0	0.592242181	-2.503361583	-2.284294963	-1.237779975
0	-0.332861841	-2.488042831	-1.627624869	-1.31471619
1	1.116000652	-1.220622301	-1.048642874	-0.309844255
1	0.10140717	-0.939134002	-0.762001872	-0.425662875
1	-0.131468534	-1.785215735	-1.119892359	-0.71291399
1	0.24422425	-1.626915753	-0.572383165	-0.664893091
1	0.5400998	-1.549934864	-1.497487545	-0.930629969
0	-1.975744963	-1.808685184	-1.232162833	-0.045947552
0	-1.304592133	-1.718738973	-1.183468938	-0.457036257
1	-0.058539748	-1.664528131	-1.239894271	-0.012012959
0	-0.748189569	-2.577486768	-2.302019835	-1.390825629
0	-2.091505408	-2.617665052	-1.345846593	-1.961847067
0	-1.597857654	-1.958161771	-1.253742695	-1.393054008
1	-0.201314688	-0.368438005	-0.581316233	-0.17437458
1	0.207375288	-0.457871914	-0.257751584	-0.139062166
1	-0.787082374	-0.407031655	-0.13743186	-1.136623859
1	0.311776578	-0.499920368	-0.356812716	-0.210751295
0	-1.098296463	-2.380547523	-1.815348566	-1.42853713
0	-0.087615132	-2.107611895	-1.482938111	-0.305955172
1	0.83156383	-1.378435135	-0.983964443	-1.009243369
0	-0.132822633	-2.361856341	-1.840956569	-0.79930234
1	-0.838748336	-1.353514433	-1.257777154	-0.92840457
1	-0.182977557	-1.840647221	-1.200990975	-0.788901448
1	0.622860789	-1.720357895	-1.30884546	-0.289970756
1	-0.106737912	-2.009172678	-1.011913449	-1.313726306
0	-1.24522537	-1.697748184	-1.022492111	-0.858484983
0	-2.036071956	-1.026858926	-0.609958798	-0.213801861
1	-1.113311887	-0.496699214	-0.231676519	0.334955692
0	-1.073167801	0.201631784	0.145157814	-0.067447305
0	-0.394390047	-1.984314144	-1.975863859	-1.480631351
1	-0.471552253	-0.926567316	-0.732200384	-0.744458437
1	-1.077691078	-1.150370002	-1.084730506	-0.386916637
0	-1.611519903	-1.432494879	-0.919928432	-1.399434686
0	-0.880325794	-1.546536803	-2.039077759	-1.787256837
0	-0.628714561	-2.115659475	-1.617588133	-0.993690848
0	-0.842096746	-1.412015796	-1.050391436	-0.612985015
1	0.274850726	-0.216598511	-0.330985546	-0.265473604
0	-0.679900706	-2.33911401	-1.787823856	-1.483225167
0	-0.229905009	-2.498191118	-2.189253032	-0.606413603
0	-0.446670473	-1.498099089	-1.620334625	-0.955772877
0	-1.478713959	-2.134196401	-1.645709872	-1.493629813
1	-1.107574046	-0.545029521	-0.2337327	-0.347929835
0	-1.846489251	-1.650237858	-1.670650363	-1.05633831
0	-1.129142404	-1.494846344	-1.471095383	-1.164676309
