label	SERPINC1	SERPINA7	DPP4	STXBP1	COLEC12
0	-2.02015996	-1.718550805	-0.880995333	-1.186654806	-0.725635052
0	-2.158886611	-1.991179705	-1.992424935	-1.485455036	-1.303097874
0	-2.839087486	-1.7962116	-0.798416317	-1.013943255	-1.140034914
0	-1.616883159	-1.651633859	-1.313223362	-0.368760705	-1.675583601
0	-1.260263205	-1.695899844	-2.101500809	-0.771671504	-0.860856414
0	-2.155345201	-1.888232052	-1.365184955	-1.412093699	-0.438312531
0	-1.938714027	-1.996447355	-0.931282699	-1.37352252	-0.744565547
0	-2.074314356	-1.924941927	-1.19136107	-1.803128898	-1.419315517
0	-2.266146779	-2.374973863	-2.19153887	-0.11126852	-1.629833281
0	-1.595635414	-1.465324104	-1.278189287	-0.536376238	-2.010095328
0	-1.810025811	-1.949278057	-0.984191149	-0.478748918	-1.823757499
0	-2.128463149	-1.816318929	-1.488607422	-1.103358448	-0.454914033
0	-1.594702005	-0.972531199	-1.150196582	-1.297112972	-0.233410954
0	-1.712800384	-1.42685473	-0.929925531	-0.882779777	-0.58573401
0	-1.568797946	-0.972390532	-1.016548395	-0.726764739	-0.922556162
0	-2.27156949	-2.766296923	-0.875287294	-1.216606706	-2.250662327
0	-1.91437006	-1.891801476	-1.03700304	-1.078274786	-1.674825817
0	-1.803942919	-1.290901661	-1.182329714	-0.206078589	-0.226123691
0	-1.978710055	-1.696221948	-1.06584388	-0.782472253	-1.380599022
0	-2.532278001	-2.135893106	-0.632269442	-0.560765907	-2.629829705
0	-2.624909043	-1.964465618	-0.474638104	-0.600556761	-1.992962241
0	-2.689983428	-1.999553204	-1.033403844	-0.708079576	-2.470778108
0	-1.696392655	-1.382552087	-1.06933099	-0.851184726	-1.194220901
1	-0.710456014	-0.668545246	-0.825377226	0.064147055	0.984191537
0	-1.909318924	-2.102490544	1.518420815	-1.094768256	-1.346482635
0	-1.963320017	-1.293233424	-2.26194635	-1.414230585	-1.450138867
0	-2.730678916	-2.605567276	-1.689226508	-1.023815572	-0.956488617
0	-2.266330957	-1.918115422	-1.871987343	-0.473809525	-1.656722814
0	-2.456968546	-1.339138985	-2.000557184	-0.622317731	-0.993173003
0	-2.698367238	-1.754961997	-1.855384171	-0.945933044	-0.786048684
0	-2.336382151	-2.447654665	-1.898864031	-1.341549158	-1.596891522
1	-1.200936437	-1.379360199	-0.719283342	-0.972851098	-0.393514395
0	-2.065480411	-2.02702868	-1.700710952	-1.234035313	-1.153170466
0	-1.891049683	-1.595836401	-1.855417371	-0.206025928	-1.593375862
1	-1.100432634	-1.11286962	-1.214563608	-0.865411818	-0.65054822
0	-2.115432024	-1.425754964	-2.120356441	-1.165438563	-1.218684018
0	-1.074836969	-1.15838325	-2.049968421	-0.570583403	-1.306683302
0	-2.386829853	-1.743988037	-1.722140372	-0.867984653	-0.952626467
0	-2.109939694	-1.731037617	-0.74042803	-1.506437123	-1.305866882
0	-2.323613644	-1.246583819	-1.340951085	-1.368239671	-1.679118156
0	-1.358980179	-1.337551713	-0.159422398	-0.734191716	-0.176647425
0	-1.999460101	-1.831744194	-1.485330075	-1.634307504	-1.36591506
0	-2.672944903	-2.194493458	-2.250292391	-0.353603959	-0.092073202
0	-3.412879229	-1.437322795	-2.317999303	-0.107225537	-1.775536656
0	-2.57125634	-2.258572459	-1.847331345	-1.844457805	-1.528792758
0	-1.640311241	-1.400115192	-1.045731306	0.004783034	-1.120808065
0	-1.785476685	-1.737085819	-1.193075657	-0.346391439	0.003595829
0	-2.516333908	-1.688224047	-1.55198282	-0.6198349	-1.280289114
0	-2.074721575	-1.667759717	-1.537517786	-0.951431155	-0.689296991
0	-2.477113366	-2.032388687	-0.362863302	-0.543388635	-0.816802144
1	-1.145745516	-1.233717859	-0.403815746	-0.555384457	-8.9e-05
0	-1.939880043	-1.504715204	-1.134222299	-1.13630873	-0.886898369
0	-1.463948071	-1.520860553	-1.317159027	-0.794258595	-0.865637958
0	-1.341058016	-1.295973897	-0.171742737	-0.784934014	-0.853386007
0	-2.708984375	-1.870575964	-1.232884884	-1.243363857	-1.585995972
0	-4.122089028	-2.290107965	-1.344240129	-1.02476719	-1.777867138
0	-2.818291426	-1.805353582	-1.157198995	-1.616764724	-3.332692802
0	-2.780321836	-1.767976165	-1.092722833	-0.587764502	-2.313737869
0	-2.217944622	-1.543816268	-0.495018572	-1.088750869	-1.350098252
0	-1.728205353	-1.350628078	-0.979681253	-0.891750455	-0.378246069
0	-1.901627183	-1.759820282	-0.991774201	-1.125820428	-0.551519632
0	-1.397723317	-1.267473757	-1.431715071	-1.408441305	-1.511739552
0	-0.8542068	-0.6025213	-1.203241348	-0.733684301	-1.245280355
0	-2.115618035	-1.915908217	-0.762204051	-1.478239805	-1.032137632
0	-2.150971532	-1.357545495	-0.820185676	-0.128636241	-0.48807013
0	-1.254307032	-1.358533978	0.03241837	-0.84915629	-0.473518312
0	-2.911132276	-2.117606223	-1.599970162	-1.085130453	-1.100545675
0	-1.821183085	-1.626047313	-1.004197776	-0.488645673	-1.155759841
0	-2.190842152	-2.284294963	-0.80732131	-0.668851018	0.483727872
0	-1.548205197	-1.627624869	-1.604228675	-0.971664429	0.614244461
1	-0.938060999	-1.048642874	-1.567820132	-1.107583404	0.873723626
1	-0.831798196	-0.762001872	-0.6609869	-0.535148174	-0.018039823
1	-1.226248264	-1.119892359	-1.375344515	-0.874437928	0.207686543
1	-0.879697084	-0.572383165	-0.875475526	-1.113579035	0.481823087
1	-1.368484855	-1.497487545	-0.740438581	-0.632530332	-0.508515179
0	-1.465246201	-1.232162833	-1.609655917	-0.800791383	-1.056028724
0	-1.707521975	-1.183468938	-1.331703842	-1.172543705	-0.854099467
1	-1.084468603	-1.239894271	-0.397942901	-1.017492235	-0.077397346
0	-1.786438406	-2.302019835	-0.00979352	-1.324448645	-1.963981152
0	-2.915557981	-1.345846593	-0.706121802	-0.810889482	-1.23568666
0	-2.18531549	-1.253742695	-0.577214122	-1.16668573	-1.626173258
1	-0.366930962	-0.581316233	-0.429591894	-0.011987209	0.696364641
1	-0.579421163	-0.257751584	-0.176444054	-0.513060808	0.394015551
1	-1.077978849	-0.13743186	-1.226740122	-0.317240521	-0.374258518
1	-0.240972519	-0.356812716	-0.984521866	-0.111181378	0.183597326
0	-1.860283136	-1.815348566	-1.20751065	-0.314792514	-0.784952044
0	-2.127761126	-1.482938111	-1.380595028	-1.043054283	-2.405064344
1	-0.821815968	-0.983964443	-0.092028618	-0.882726789	-0.204285264
0	-2.15988791	-1.840956569	-0.695523143	-0.554481924	-0.579347432
1	-1.323770761	-1.257777154	-1.310869575	-0.770940542	-1.123633116
1	-1.48065114	-1.200990975	-0.460324824	-0.512697875	0.569479942
1	-1.545777321	-1.30884546	-0.512818217	-0.66615501	-0.022586226
1	-1.443451881	-1.011913449	-0.818268776	-0.442500532	-0.28559196
0	-1.895710111	-1.022492111	-1.716763556	-1.119570851	-1.874627858
0	-1.812009811	-0.609958798	0.170256019	-0.797695428	-1.125170827
1	-1.34924531	-0.231676519	-0.724507213	-1.113496602	0.277762651
0	-0.502188206	0.145157814	-0.041322649	-1.504690409	-0.441632748
0	-2.067107439	-1.975863859	-1.15552941	-0.980078593	-0.955693543
1	-0.963404894	-0.732200384	-0.562369585	-0.785183191	-0.414209127
1	-1.241611838	-1.084730506	-0.057755351	-0.679195404	0.504395485
0	-1.225626469	-0.919928432	-2.019241288	-1.027558774	-3.929002121
0	-1.538187861	-2.039077759	-1.815127417	-1.102215767	-2.250328064
0	-2.037007213	-1.617588133	-1.123753265	-1.587619752	-1.097429037
0	-1.69805932	-1.050391436	-0.825848073	-0.881792009	-1.200983435
1	-0.147113323	-0.330985546	-0.434060872	-0.269845903	1.809368551
0	-1.555846334	-1.787823856	-1.516880155	-0.585125893	-0.602428526
0	-2.286981225	-2.189253032	-0.600723982	-0.07629621	-0.067900717
0	-1.439706326	-1.620334625	-1.032535553	-0.427064955	-1.294917792
0	-2.284757495	-1.645709872	-0.386675775	-0.970703423	-1.700040221
