label	COCH	COX7A2	S100A10	PPA1	D2HGDH
0	-0.377392501	1.064143419	0.240585387	0.033961773	0.670638442
1	-3.299834758	0.140273824	-0.542335376	1.046199478	0.483147025
0	0.320289314	1.203898191	0.971143901	0.646148682	0.790184617
1	-1.837113962	0.574707806	0.678054214	0.972061843	1.052922726
1	-2.092483155	0.489705592	-1.277561456	0.341167629	0.746376276
0	-2.021131575	0.717174649	-0.918403625	0.93950969	-0.821506761
1	-1.423232526	0.982387364	-0.301330239	0.761550248	-0.91663456
1	-2.646383703	1.12662375	-1.177572668	1.41261372	-0.985532671
1	-2.209799601	1.678357512	-0.574301496	0.730918504	-0.638472106
0	0.103929967	1.225555062	0.626640737	0.221476138	-0.259493813
1	0.079418778	0.570912898	-0.746708758	0.495889217	-0.845324896
1	-0.301436424	1.514312208	0.367921948	0.295999661	-1.441438735
0	-0.135377645	-0.079742223	-0.10363701	0.152781844	-0.909559838
0	0.188653827	0.352976263	-0.182770133	0.818142518	-0.627604157
0	1.063715696	0.770620644	0.143287778	0.934685022	-0.005797088
0	-1.315743275	1.430617183	0.080200195	0.688162565	0.342556953
0	-0.778576627	-0.024852544	0.185368776	0.196649641	0.550142407
0	-4.069496959	0.518352836	0.179347992	0.5431858	1.060836911
0	-0.496119931	1.077086911	0.738490582	0.645564184	0.040180922
0	-1.102039929	2.000281811	0.13855052	2.08225894	0.898624897
0	-0.402108997	1.691117287	-0.206435859	0.961650252	-0.326272011
1	-1.812837392	1.59035784	-0.857323401	1.21340394	-0.519228868
0	-1.815848112	0.681522071	-0.803264648	0.553228416	0.138525844
0	-2.505142525	0.394634739	-0.43605417	-0.196652442	-0.287745267
1	-2.420168102	1.485942394	-1.45154389	1.034381002	-0.698288709
0	-1.33782351	0.725729406	-0.298965991	1.399009436	0.65346992
1	-1.101087503	-0.133809447	-2.400378227	1.270796537	0.469304919
1	1.336614847	0.911860406	-1.336602032	0.403384149	0.483172894
0	-0.810573369	0.41312027	-0.403156355	0.85661298	0.873266935
