label	COCH	POLD2	GPD1L	GSTK1
0	-0.377392501	0.843208954	-2.004416823	0.644778132
1	-3.299834758	0.505099043	-0.32170568	1.742627263
0	0.320289314	0.097234368	-0.848301888	1.922952175
1	-1.837113962	0.300184518	-0.990451634	1.532780111
1	-2.092483155	0.770995434	-0.10737142	0.885245919
0	-2.021131575	1.106701426	-1.252884418	0.366255939
1	-1.423232526	0.542211533	-0.817802906	1.152606249
1	-2.646383703	0.3183465	0.042400911	0.68138957
1	-2.209799601	0.579045147	0.57068032	1.131572098
0	0.103929967	0.399071515	-0.316870809	0.801606774
1	0.079418778	0.434402227	-0.136023045	0.81804657
1	-0.301436424	0.371319413	0.17595844	0.992876887
0	-0.135377645	0.44232402	-1.173032343	0.663806885
0	0.188653827	0.305522084	-1.614266843	0.819968581
0	1.063715696	0.535959899	-1.013510711	1.39285028
0	-1.315743275	0.825841755	-0.476621062	0.375632226
0	-0.778576627	1.406291112	-1.236627519	0.195721805
0	-4.069496959	0.659966111	-1.723169863	0.715557456
0	-0.496119931	1.438266367	-0.228254199	0.528466135
0	-1.102039929	0.067673445	2.064326704	0.553634465
0	-0.402108997	1.209204555	-0.187464505	0.987870932
1	-1.812837392	1.116203759	-0.057039455	1.127605617
0	-1.815848112	1.21865765	-1.131298453	0.056621581
0	-2.505142525	0.245052949	-0.051444173	0.272611916
1	-2.420168102	0.464869738	-0.348543406	1.580566853
0	-1.33782351	0.713092595	-0.961964726	1.242077649
1	-1.101087503	-0.355440378	0.741966724	0.330107331
1	1.336614847	0.682101846	0.579565644	1.004928887
0	-0.810573369	0.518363386	-1.029698253	0.132529676
0	-1.025575817	0.747267514	-0.71983391	0.641805828
1	-3.007346749	0.493507236	-0.719454914	1.382816017
0	-1.11701566	0.946741045	-0.506746769	0.97694549
1	-1.124606431	0.577374995	-0.599191815	0.644137323
0	-1.642238379	1.07145448	-0.817349553	0.390577674
0	-1.314809546	0.565568328	-0.355794996	0.500035167
