label	RBM47	COCH	KIF11	FERMT1	HTATIP2
0	1.797397137	-0.377392501	1.269926071	0.78891933	0.609160006
1	0.563108921	-3.299834758	1.09462285	-0.633958608	0.57519871
0	2.290022135	0.320289314	1.121918321	0.440137744	0.059735596
1	-0.196758509	-1.837113962	0.32140851	0.719603181	1.59554863
1	0.505089641	-2.092483155	1.374748051	0.028551579	0.705148548
0	0.647744477	-2.021131575	1.394455105	1.461754084	0.456525832
1	1.207578063	-1.423232526	0.01686275	-0.098128825	0.546639264
1	1.438348174	-2.646383703	0.426693559	0.836948693	0.044801585
1	1.10394609	-2.209799601	0.380609393	0.550022006	-0.013591615
0	0.712664127	0.103929967	-0.437627554	1.559160829	0.22644648
1	0.735430479	0.079418778	0.903848231	0.646033436	0.541213408
1	0.805341244	-0.301436424	0.011215806	-0.492916938	0.848802567
0	1.362343192	-0.135377645	1.546638608	0.426099479	0.760022633
0	0.324378371	0.188653827	0.23564446	0.038123511	1.05811286
0	1.451910198	1.063715696	0.482268333	1.810565233	1.092849314
0	0.78221786	-1.315743275	0.812794924	1.389108211	0.766049773
0	0.205391169	-0.778576627	1.434046447	0.947429657	1.268930197
0	0.454292059	-4.069496959	0.926391721	0.361737311	0.589854479
0	-0.013799191	-0.496119931	0.924937248	1.025323808	0.444307044
0	1.400119185	-1.102039929	-0.481765747	-0.323341798	0.554972302
0	-0.184950113	-0.402108997	0.094257236	1.012954593	0.177010238
1	0.115090013	-1.812837392	0.249144316	0.709024251	0.585863709
0	0.135945797	-1.815848112	1.115088642	0.640922576	0.262958184
0	-0.472717166	-2.505142525	0.357639551	0.06602633	-0.036289267
1	0.112402916	-2.420168102	0.007472873	0.32651794	-0.402560622
0	0.884419322	-1.33782351	0.772767305	1.291133583	1.038504183
1	1.333471656	-1.101087503	-0.717223644	-1.271074191	0.776744008
1	2.043936491	1.336614847	0.433556914	0.098586321	1.19238168
0	0.307312489	-0.810573369	0.933763802	0.401051223	0.864575863
0	1.045473814	-1.025575817	0.613119364	0.734613299	1.112328053
1	0.083987117	-3.007346749	-0.258733392	1.250799835	0.062794954
0	0.264963627	-1.11701566	0.509016991	0.104975224	-0.07863903
1	0.370117784	-1.124606431	0.66117847	0.411061466	0.911884069
0	0.993962765	-1.642238379	0.132791698	2.466018438	-0.102885455
0	0.63758564	-1.314809546	0.439613342	0.235294715	1.444974795
0	0.505747318	-1.519698203	0.926039994	0.755350828	1.129294813
1	0.08283186	-0.527267784	0.839600921	-0.114783049	1.247460127
1	-0.425800681	-0.438296348	0.075037241	-0.269946218	0.904950321
0	0.207547545	-0.372250497	0.614231348	1.589470148	0.775762498
0	-0.658527017	-1.051563233	0.582765579	0.132264495	0.917399839
0	0.12639308	-2.079426616	0.059943676	1.408021927	0.957974076
1	0.701181054	-2.813378543	-0.041882038	1.097166181	0.815255851
1	0.784327149	-2.437362634	0.519998401	-0.429110534	0.630270422
1	-0.120214224	-3.062958777	0.171244383	-0.27240178	1.082223833
0	0.963954568	0.072316885	1.180711269	1.437884986	0.680249274
0	0.543529272	0.298911333	0.001566172	1.771102428	1.023068964
0	0.527586579	-0.199032903	-0.02194047	1.155829191	0.386293828
0	0.732748508	1.061626673	1.398193449	0.265750647	0.655270427
0	0.923975527	-0.996942639	0.684738636	0.856775582	0.918319046
1	0.563464463	-3.213578194	0.075779319	-0.41014266	-0.173412025
0	0.25778383	-2.634418786	0.390149593	-0.052997768	-0.253314316
0	0.842740476	-1.244159281	1.030838013	0.051305234	0.423186421
1	0.176430583	-2.308449533	0.377699137	0.009545803	-0.17451185
1	-0.196640611	-2.098777711	0.209977508	0.758849025	-0.568746313
0	0.829250127	0.474635601	0.956401467	0.635552227	1.06646955
0	0.332213521	-0.056731939	1.42131573	1.749775976	1.10407716
0	0.876652598	0.146620035	1.106833696	1.120186031	0.765147418
0	-0.170911074	-0.189118862	0.085326195	0.419241875	0.7452043
0	0.840686083	0.022500277	1.140036643	-0.038713366	1.049857765
1	0.866800487	-0.276322722	0.302969575	0.028046936	0.387172759
0	0.470598459	1.42095089	-0.172609568	0.648321837	1.009411246
0	0.638923913	1.137621522	0.920280218	1.688777983	1.146377504
0	1.09071368	0.15420866	0.779556036	0.215809166	1.263636768
0	1.11686042	0.380880833	0.49767065	0.789770037	0.546392113
0	-0.496049643	-0.223878741	0.440530479	0.500620842	0.912780762
0	0.9105528	-0.777114987	0.046272635	0.150302112	0.960435897
0	0.135158181	0.980445981	0.46815455	0.788997769	0.735721707
0	0.35340178	0.646874428	0.371734023	1.141151249	0.739036739
1	-0.033562779	-0.231921911	-0.134147048	-0.464517802	0.88731122
1	1.304525375	-2.697740316	0.657667637	-0.49486351	0.72810331
0	0.826747537	-2.255413651	0.052767634	0.201812983	0.655311882
0	0.324615598	-1.570568323	0.24976027	-7.38e-05	0.129716158
0	-0.40784514	-2.445013463	0.511906505	0.346847057	0.861945689
0	-0.153949618	-2.170970321	0.512900352	0.103269219	0.538011372
0	0.768444538	-2.292427242	0.566389561	1.360138476	0.722959757
1	0.315091133	-1.574799716	0.355584145	0.826006413	-0.108822286
1	1.118577719	-3.353770286	-0.108396411	0.252835035	0.808071196
0	0.531188607	-2.19869937	0.063925862	0.208272278	0.271671399
0	0.048880219	-0.8926842	0.85243082	1.208977252	0.391912073
1	1.479800165	-1.574400589	-0.225059092	-0.135494411	1.183489531
0	1.302570283	-1.510677025	1.218237415	0.254671931	0.884215266
0	0.242759645	-0.913452864	0.147506118	-0.067211896	-0.057151943
0	0.43099159	-0.637069196	0.424988627	0.462068796	-0.119274616
0	0.458927572	-0.237449288	0.313361287	0.452073574	0.245386347
0	0.268398762	-0.041457295	0.393332124	-0.035390258	0.261521548
0	0.317481518	-2.298992962	0.586170197	1.117297888	0.696019053
1	-0.193111062	-0.066295922	0.479133606	0.676394641	0.984623954
0	1.618911684	-1.218799233	0.335875869	-0.046805471	0.545147538
0	-0.301436543	-2.330205262	0.531718373	1.395626187	0.499851227
0	-0.068733573	-1.399062037	-0.046714783	0.812828958	0.781321794
0	0.007148743	-0.941382632	1.119275391	0.047288537	-0.329768211
0	-0.03375113	-1.164921552	0.545779705	0.079219282	-0.130388603
0	0.2275635	-2.098334908	0.84035635	-0.511889637	0.125360101
1	0.971476555	-4.215618342	0.619934678	0.738288641	1.571977675
0	2.086310953	-0.258844703	0.348493457	0.432518244	1.2167992
0	1.543793857	-0.480220795	0.507978559	0.553370118	0.954955854
0	2.241440415	0.03503406	0.819935799	1.630421877	1.141843393
1	-0.34107399	-1.933754623	1.302956045	0.895280838	-0.026919395
0	0.991508484	-0.384050131	0.417583466	0.353133142	0.115938395
0	0.863376141	-2.584205389	-0.146749377	0.490627587	0.268795311
0	0.647247791	-2.874459296	1.599118888	1.944796771	0.4598234
0	1.07143259	-0.722140819	1.182643533	0.330947757	0.37614733
0	1.475729376	-0.300607622	0.834611058	0.713582873	2.004024655
0	0.750011265	-0.146653175	0.980320454	1.551828027	0.453291625
0	0.946359515	0.069245756	0.129671812	-0.163227022	-0.22797823
0	0.714187026	-1.512312055	0.138301373	0.552526742	0.422903657
1	0.332293987	-2.122021034	0.148739696	-0.30938375	0.263166368
1	1.071627498	-2.523508728	-0.25878346	0.90474689	0.964603841
0	1.295454383	-1.515085369	0.047280192	0.024848193	0.224170834
0	0.554209709	-0.414154738	-0.05747366	0.408622622	-0.397385091
0	0.904007345	-1.013224944	0.128136277	0.762363344	0.352962717
0	1.056109548	-0.604395092	-0.124676943	1.89680773	1.509521365
