label	SPINT1	COCH	CTSB	ERP29	POLE2
0	0.959338725	-0.377392501	0.586267829	-0.011663035	1.216411516
1	0.846619844	-3.299834758	0.665315866	0.562848985	0.008391261
0	0.862244129	0.320289314	1.166432619	1.177156806	0.144648314
1	0.988760114	-1.837113962	0.599416137	0.316077828	0.490339279
1	0.159970403	-2.092483155	0.179721355	0.433914304	1.505211323
0	0.194375396	-2.021131575	0.44084084	0.164849147	1.141126096
1	0.498855352	-1.423232526	1.392491996	0.845861793	0.736656487
1	1.043384671	-2.646383703	1.260029912	1.420479476	0.406889439
1	0.891966224	-2.209799601	1.095030308	0.284511209	0.821283847
0	0.73657155	0.103929967	0.751610875	0.642401636	-0.717888772
1	0.136729956	0.079418778	-0.574077129	0.242342353	1.126782894
1	1.077299356	-0.301436424	-0.113100886	1.015482366	1.251064301
0	0.803554654	-0.135377645	0.72121942	0.297640681	0.243443131
0	0.649518251	0.188653827	1.137675047	1.32856369	-0.025785685
0	1.734424353	1.063715696	0.756893039	1.409750372	0.791373253
0	1.682649076	-1.315743275	1.340786457	1.044721574	1.649984032
0	0.57465595	-0.778576627	0.028844237	-0.173879057	0.980212748
0	0.763596117	-4.069496959	0.327360511	0.403684467	0.898459196
0	1.554220557	-0.496119931	-0.320361257	0.178943276	1.403152939
0	1.119998574	-1.102039929	0.772731364	1.113457561	-0.252763987
0	0.937916994	-0.402108997	1.458756208	0.406083047	0.812064409
1	0.727148175	-1.812837392	0.873806059	0.661857784	0.756921828
0	1.464301109	-1.815848112	1.210002244	0.102633268	1.372884393
0	-0.357256174	-2.505142525	0.219391465	0.080687612	0.527160645
1	1.32166338	-2.420168102	0.775561929	0.808399469	1.417479515
0	1.052151203	-1.33782351	1.586996615	1.1193313	0.386725187
1	0.416936636	-1.101087503	0.185268879	1.192892909	0.558619976
1	0.50948	1.336614847	-0.620105267	1.118193507	-0.021882772
0	1.259413004	-0.810573369	1.18433708	0.160282776	1.055566072
0	1.086316586	-1.025575817	1.291844428	0.754995942	0.397732735
1	0.453131676	-3.007346749	0.313465118	0.911797404	0.728427768
0	-0.111674309	-1.11701566	0.237071037	0.373372495	0.477117181
1	0.60459125	-1.124606431	0.237659097	0.520958364	0.929795384
0	1.521371722	-1.642238379	0.724123061	1.134415835	1.101150542
0	0.529736161	-1.314809546	1.180734754	0.618786529	1.620326564
0	1.285675764	-1.519698203	0.98962009	1.094126374	1.688733801
1	1.440630913	-0.527267784	0.566045165	0.8699857	1.044963032
1	-0.334305882	-0.438296348	1.062520862	0.696902215	-0.024156094
0	0.71868968	-0.372250497	1.417649627	0.705744386	1.229609966
0	0.619355798	-1.051563233	1.164647937	0.714273781	1.282010227
0	0.564126849	-2.079426616	0.97226119	1.189085722	0.237731338
1	0.587296605	-2.813378543	1.438772202	1.231059074	0.613932133
