label	A2ML1	CALML3	DSG3	SERPINB5	PKP3
1	-0.519227296	0.428795144	-0.483610213	1.706432316	1.294827998
0	-3.071758945	-1.677018404	-2.106888354	-0.485489145	-0.343015432
1	2.076156795	2.094045639	2.910556316	1.900743663	1.144177973
0	-1.047714472	1.84763813	0.637875795	2.219818711	1.212770224
0	-3.14235574	-0.412558198	-0.526599884	0.256707419	0.275111914
1	-0.573828101	0.536288261	2.541122198	1.070170403	1.769626498
0	0.525265813	1.261764467	1.224731565	-0.079744101	0.015771002
0	-2.210269928	-0.44131887	-0.11606288	0.513877183	0.721059203
0	-2.846654644	-1.786542445	0.080716491	-0.346148238	-0.293802321
1	-0.091187835	0.898416519	0.454271078	2.164050519	1.890976131
0	-3.009405643	-0.420322418	0.91985631	-0.025773704	0.56889832
0	0.933859825	1.410393953	0.521981955	1.027838647	0.83640492
1	-0.463379167	2.102725059	2.097880363	2.382509589	1.493448585
1	-0.731882073	1.947466671	-0.178397894	1.084837586	1.293181837
1	-0.384636343	1.109436035	1.259634554	3.84218061	2.37732476
1	-0.199989855	1.399806261	1.20027113	1.646218985	0.817284703
1	-1.582461119	0.679811716	1.624999642	1.360879064	1.40442276
1	-2.431696892	0.264055252	1.566560388	1.305070102	0.640335679
1	1.053710222	1.65696907	1.475238562	1.306034684	1.470535934
0	-0.456793964	1.857056081	-0.60472776	-0.542130232	0.834825873
1	0.114803791	1.91384238	1.089404583	2.384609461	1.553997755
0	-0.888949394	-0.516847372	-0.060406923	0.885911703	1.391022325
1	-1.126208246	0.770608664	1.219861269	0.980870545	1.041879654
0	-1.561609507	-1.239761829	-0.012135863	0.035156488	-0.124319077
0	-3.009395421	-3.424622975	-1.744197637	-1.236758947	0.350643873
1	-1.406944275	0.294142723	1.978101134	1.265497983	1.127762496
0	-3.361914709	-3.847576991	-2.363614306	-2.336938202	-0.233733594
0	-2.833548695	-2.941731095	-1.607290491	-0.645544499	0.701403022
1	0.35488987	3.32497251	1.815707684	2.824027061	1.779781044
1	0.440050483	0.248852491	1.752881885	1.85044837	0.849429905
0	-2.981620118	-1.643028259	-1.40708518	0.432549238	0.841880798
0	-3.736734599	-2.735104024	-1.881394982	-1.726791978	-0.940291643
0	-2.577934891	0.039775133	0.731190324	0.37068671	0.260869384
1	-1.960894287	1.939714074	0.607409954	0.952412218	1.360870838
0	-0.629931182	1.098574519	0.302443862	0.409054726	0.609746858
1	0.441355109	1.340406746	2.033243418	1.898093224	2.375994802
0	-3.163352817	0.240630269	0.293099642	0.350020647	0.063062668
0	1.928178966	1.159613967	1.139908791	0.54295221	2.187679172
1	-1.765431941	-0.342822269	0.677258611	0.953701198	1.012644291
1	0.293259501	2.249649048	2.149644852	3.015759468	1.224850297
1	-0.034840703	1.015352011	1.699789762	1.094406575	1.460477114
0	-0.833588839	-0.024215221	1.439425826	0.601833999	0.616354227
0	-0.675642669	0.028505445	-1.929889113	-1.114267707	1.766938031
0	-0.695407093	1.352869391	0.115466714	1.508527875	1.592483759
1	1.406250358	2.743221402	2.137399077	2.252481401	2.106754839
1	1.131575704	2.220630109	0.960737288	1.840859532	2.199376404
1	-0.060083032	1.340453863	1.342624426	1.698933005	0.503868103
1	-0.283937931	1.019081831	1.4614048	1.624916404	0.271377206
1	0.333821774	0.839386463	0.366604447	1.859421492	1.038091481
0	-1.599308103	-1.197075188	-1.657413602	0.545808047	-0.049902737
0	-2.073831886	0.288236856	-0.352874875	0.069621503	-0.110256016
1	0.036391735	1.101002932	1.059557676	0.843191981	1.452325344
0	-2.314365149	-1.893249989	0.426048517	0.930120289	0.381604433
0	-1.098233014	-0.724660635	0.806874275	1.434852004	-0.340842605
1	-0.144628525	1.32157886	1.39477402	0.613685131	0.523809731
1	-0.305823952	2.775104195	1.081878841	2.367776871	1.161666572
1	0.994099259	0.434770763	1.700033933	2.032102585	1.830625474
1	1.816826463	1.487055123	0.967748046	1.289223969	0.965526044
1	1.378383636	1.377083898	2.371924162	1.93284142	2.17039603
0	-1.353905767	-0.133306742	-1.169141591	-0.771184921	-0.4609375
1	3.0451594	0.867273688	2.221120775	1.684366286	1.444208026
1	0.30076766	2.387022972	1.905450106	2.308403969	2.205420554
1	2.216768771	1.638022721	2.02156496	1.786506414	1.077630162
1	-0.801663026	-0.61057508	0.154816091	0.869189538	0.790554136
1	0.874945641	1.122909904	1.384138823	2.444369078	1.523359299
1	0.550928354	0.964416295	0.527861834	1.455285966	0.92656374
