label	A2ML1	SPRR2B	SERPINB5	PKP1	S100A14
1	-0.519227296	-0.952074111	1.706432316	0.290713519	1.292497814
0	-3.071758945	-3.705765843	-0.485489145	-1.19463259	0.668084145
1	2.076156795	0.017756104	1.900743663	1.730605781	2.908003658
0	-1.047714472	-2.363664746	2.219818711	1.580429733	1.888611794
0	-3.14235574	-1.979799509	0.256707419	-0.057921171	-1.031695843
1	-0.573828101	-0.738362074	1.070170403	1.843903303	0.599074602
0	0.525265813	-1.199598432	-0.079744101	0.478324771	0.364431024
0	-2.210269928	-1.914436102	0.513877183	-0.469224095	-1.060701728
0	-2.846654644	-1.654750943	-0.346148238	0.228264451	-0.502763033
1	-0.091187835	-0.625379682	2.164050519	1.654772758	1.208342791
0	-3.009405643	-2.258195639	-0.025773704	0.648549795	0.390812874
0	0.933859825	-2.607627362	1.027838647	1.884347677	2.461983204
1	-0.463379167	0.409606695	2.382509589	1.637882978	1.84906137
1	-0.731882073	-0.633731365	1.084837586	0.229952902	1.239110887
1	-0.384636343	1.149140418	3.84218061	1.117016315	3.36048919
1	-0.199989855	0.51493749	1.646218985	1.617194653	1.08198458
1	-1.582461119	-0.014925361	1.360879064	1.88283658	1.515425861
1	-2.431696892	-1.264785528	1.305070102	-0.296149135	0.38898176
1	1.053710222	0.806484058	1.306034684	1.192121089	1.1319841
0	-0.456793964	-0.660128355	-0.542130232	-0.557534546	-0.314523757
1	0.114803791	0.226379752	2.384609461	0.259915113	0.830790192
0	-0.888949394	-0.545261621	0.885911703	-0.331456125	1.174748778
1	-1.126208246	0.84854579	0.980870545	1.12665081	0.371507823
0	-1.561609507	-2.460913777	0.035156488	0.66155076	-0.036684096
0	-3.009395421	-3.359703772	-1.236758947	-1.412727445	-0.53973496
1	-1.406944275	0.312360287	1.265497983	0.655043125	0.953562975
0	-3.361914709	-3.342329979	-2.336938202	-2.417874783	-2.30986844
0	-2.833548695	-3.300673299	-0.645544499	-1.365741193	0.583651543
1	0.35488987	0.709402204	2.824027061	1.762071013	1.517763376
1	0.440050483	-1.322468042	1.85044837	1.041969955	1.281191111
0	-2.981620118	-3.569370031	0.432549238	-1.478426337	-0.542914748
0	-3.736734599	-3.480082393	-1.726791978	-1.90912962	-0.888134241
0	-2.577934891	-3.805721879	0.37068671	-0.047917366	0.229021907
1	-1.960894287	-2.507916689	0.952412218	0.176473022	0.882448673
0	-0.629931182	-0.988466144	0.409054726	0.752721786	0.580044121
1	0.441355109	0.361666799	1.898093224	2.001672983	0.8849895
0	-3.163352817	-2.643066466	0.350020647	0.017227888	-0.483705282
0	1.928178966	0.212772161	0.54295221	0.566933155	0.662514329
1	-1.765431941	0.639556527	0.953701198	0.542781353	-0.445971012
1	0.293259501	-0.239251524	3.015759468	2.0256567	1.554280639
1	-0.034840703	1.90725112	1.094406575	0.963230491	1.698916554
0	-0.833588839	-1.324041039	0.601833999	0.310989857	1.097942114
0	-0.675642669	-0.728212178	-1.114267707	0.637656987	-0.748005986
0	-0.695407093	-0.773516193	1.508527875	0.246286511	0.99348259
1	1.406250358	0.487154722	2.252481401	1.261848927	2.218274534
1	1.131575704	0.234785557	1.840859532	1.142283171	1.36210072
1	-0.060083032	0.783685923	1.698933005	0.961452365	0.513710499
1	-0.283937931	1.562026739	1.624916404	1.843541622	1.703371048
1	0.333821774	-0.311770141	1.859421492	0.491096258	1.771551371
0	-1.599308103	-1.14914155	0.545808047	-0.661966801	-0.746441603
0	-2.073831886	-1.993608952	0.069621503	0.201288104	-0.775306225
1	0.036391735	-0.500374794	0.843191981	0.759458899	1.127040625
0	-2.314365149	-3.34874779	0.930120289	0.25846529	-0.644115448
0	-1.098233014	-0.775516868	1.434852004	0.680844426	0.047770023
1	-0.144628525	1.275014043	0.613685131	1.102307081	1.081137896
1	-0.305823952	0.670366466	2.367776871	1.938560605	3.599804997
1	0.994099259	0.298607051	2.032102585	2.072766662	1.661855996
1	1.816826463	0.334625721	1.289223969	1.272317052	0.647395879
1	1.378383636	0.57227236	1.93284142	1.795845628	2.215591908
0	-1.353905767	-1.817957938	-0.771184921	-0.834868431	-1.599740326
1	3.0451594	-0.118440866	1.684366286	1.386689126	1.481716216
1	0.30076766	1.336201727	2.308403969	2.092680275	2.06574285
1	2.216768771	2.282634497	1.786506414	2.548617244	2.454967201
1	-0.801663026	-0.633370578	0.869189538	-0.110107064	-0.820298582
1	0.874945641	1.491883278	2.444369078	1.425661922	1.717984915
1	0.550928354	1.82938686	1.455285966	0.75943476	0.26951015
1	0.61676842	-0.813788772	2.513972282	1.039400101	0.971306026
1	2.042984009	-0.69755419	2.749450088	2.525497675	0.867920816
0	-2.930451572	-3.03133598	-1.770889103	-2.169772208	-1.844853759
0	-1.996506989	-0.161917925	0.016551197	-0.189922512	0.543936014
0	-2.252101153	-0.930370688	-0.185026824	-0.449490279	-2.154752016
0	-0.928707719	-0.733809888	-0.51033771	0.121861517	-0.285665035
0	-2.550850511	-2.77546382	-1.106131703	0.312350631	-1.60533452
0	-2.808123022	-2.651014566	-0.391178489	0.335314751	-1.55967474
0	-0.568754673	2.302135706	2.121315658	1.91594243	0.376101017
0	-2.326507449	-2.3439219	-0.20225805	0.585303545	0.301450729
0	-1.103647351	-1.40164271	-0.003445804	-0.797341228	-0.305382013
0	-2.780059934	-1.14231652	0.288388073	-0.534245253	-0.708778262
