label	CALML3	DSG3	SERPINB4	FABP5
1	0.428795144	-0.483610213	0.308475733	0.465803385
0	-1.677018404	-2.106888354	1.634066582	-2.090046644
1	2.094045639	2.910556316	-0.724257529	3.686155081
0	1.84763813	0.637875795	1.307971239	1.69528079
0	-0.412558198	-0.526599884	-1.053096771	-2.69905138
1	0.536288261	2.541122198	1.909211874	2.109665632
0	1.261764467	1.224731565	1.50195682	-0.133449376
0	-0.44131887	-0.11606288	1.095560312	0.036796451
0	-1.786542445	0.080716491	-1.672869802	-2.192299366
1	0.898416519	0.454271078	-0.559728026	0.741912335
0	-0.420322418	0.91985631	0.481163621	0.576065779
0	1.410393953	0.521981955	-1.488453165	-0.707996964
1	2.102725059	2.097880363	2.83888799	2.407748938
1	1.947466671	-0.178397894	0.365399599	0.008258745
1	1.109436035	1.259634554	1.13394177	0.998939574
1	1.399806261	1.20027113	0.948533297	0.970056176
1	0.679811716	1.624999642	1.149113178	1.809932351
1	0.264055252	1.566560388	1.152989626	0.539206266
1	1.65696907	1.475238562	-0.736447081	1.151837885
0	1.857056081	-0.60472776	-1.185512908	-0.737944633
1	1.91384238	1.089404583	1.875115633	1.073315859
0	-0.516847372	-0.060406923	3.142593265	-0.846910059
1	0.770608664	1.219861269	1.708980858	1.180856943
0	-1.239761829	-0.012135863	-0.661698312	-0.211714745
0	-3.424622975	-1.744197637	-1.233161032	-2.225254446
1	0.294142723	1.978101134	1.773128986	1.2000525
0	-3.847576991	-2.363614306	-1.370253906	-2.151802897
0	-2.941731095	-1.607290491	-1.577266097	-1.158706635
1	3.32497251	1.815707684	1.379589081	1.927068681
1	0.248852491	1.752881885	0.655503035	1.939780354
0	-1.643028259	-1.40708518	-1.243025661	-1.742456257
0	-2.735104024	-1.881394982	-1.353174925	-2.253160119
0	0.039775133	0.731190324	0.024871349	0.815464973
1	1.939714074	0.607409954	-2.550504588	0.717109203
0	1.098574519	0.302443862	-0.680844039	0.067436889
1	1.340406746	2.033243418	0.567795277	2.469475299
0	0.240630269	0.293099642	-2.524552345	0.982037067
0	1.159613967	1.139908791	3.738250375	0.562218904
1	-0.342822269	0.677258611	1.166075706	-0.418890715
1	2.249649048	2.149644852	-1.057044223	1.969500631
1	1.015352011	1.699789762	1.337819576	0.997610986
0	-0.024215221	1.439425826	3.105189323	0.805923939
0	0.028505445	-1.929889113	-2.249796629	-0.676442087
0	1.352869391	0.115466714	2.176980138	0.841144919
1	2.743221402	2.137399077	4.849359095	1.812758088
1	2.220630109	0.960737288	0.92661351	2.596666038
