label	CLIC3	DSG3	SPRR2B	SERPINB4
1	0.507692069	-0.483610213	-0.952074111	0.308475733
0	-1.456158072	-2.106888354	-3.705765843	1.634066582
1	2.263078451	2.910556316	0.017756104	-0.724257529
0	0.128677189	0.637875795	-2.363664746	1.307971239
0	-1.207784653	-0.526599884	-1.979799509	-1.053096771
1	-0.592974536	2.541122198	-0.738362074	1.909211874
0	0.780017734	1.224731565	-1.199598432	1.50195682
0	-0.698643386	-0.11606288	-1.914436102	1.095560312
0	-1.75874567	0.080716491	-1.654750943	-1.672869802
1	0.220679551	0.454271078	-0.625379682	-0.559728026
0	-2.246162772	0.91985631	-2.258195639	0.481163621
0	0.738965988	0.521981955	-2.607627362	-1.488453165
1	-0.455600739	2.097880363	0.409606695	2.83888799
1	1.607382312	-0.178397894	-0.633731365	0.365399599
1	2.683986127	1.259634554	1.149140418	1.13394177
1	1.134454936	1.20027113	0.51493749	0.948533297
1	-0.857570112	1.624999642	-0.014925361	1.149113178
1	-0.974727362	1.566560388	-1.264785528	1.152989626
1	0.022616923	1.475238562	0.806484058	-0.736447081
0	-0.517687798	-0.60472776	-0.660128355	-1.185512908
1	0.634682387	1.089404583	0.226379752	1.875115633
0	0.316210687	-0.060406923	-0.545261621	3.142593265
1	-0.468226761	1.219861269	0.84854579	1.708980858
0	-0.681811057	-0.012135863	-2.460913777	-0.661698312
0	-1.735081106	-1.744197637	-3.359703772	-1.233161032
1	-1.637854397	1.978101134	0.312360287	1.773128986
0	-2.813785434	-2.363614306	-3.342329979	-1.370253906
0	-2.175297141	-1.607290491	-3.300673299	-1.577266097
1	1.447838306	1.815707684	0.709402204	1.379589081
1	1.00747329	1.752881885	-1.322468042	0.655503035
0	-0.740635723	-1.40708518	-3.569370031	-1.243025661
0	-2.073837191	-1.881394982	-3.480082393	-1.353174925
0	-1.14087911	0.731190324	-3.805721879	0.024871349
1	-0.852991737	0.607409954	-2.507916689	-2.550504588
0	-0.229458094	0.302443862	-0.988466144	-0.680844039
1	0.759871632	2.033243418	0.361666799	0.567795277
0	-1.926264852	0.293099642	-2.643066466	-2.524552345
0	-0.238291889	1.139908791	0.212772161	3.738250375
1	0.052170515	0.677258611	0.639556527	1.166075706
1	-0.771839559	2.149644852	-0.239251524	-1.057044223
1	0.625593901	1.699789762	1.90725112	1.337819576
0	-0.149474859	1.439425826	-1.324041039	3.105189323
0	0.598654389	-1.929889113	-0.728212178	-2.249796629
0	0.986175656	0.115466714	-0.773516193	2.176980138
1	0.114760488	2.137399077	0.487154722	4.849359095
1	0.427263215	0.960737288	0.234785557	0.92661351
1	-0.479991406	1.342624426	0.783685923	1.887116671
1	-0.564765032	1.4614048	1.562026739	-0.166443825
1	-0.563075244	0.366604447	-0.311770141	3.128442287
0	-0.633909553	-1.657413602	-1.14914155	0.413874358
0	-1.340666652	-0.352874875	-1.993608952	-0.205036908
1	-0.195181429	1.059557676	-0.500374794	0.195170343
0	-1.285954639	0.426048517	-3.34874779	1.241312563
0	-1.130349308	0.806874275	-0.775516868	1.60436064
1	-0.712985635	1.39477402	1.275014043	0.195974141
1	0.587533236	1.081878841	0.670366466	3.296761304
1	0.837006867	1.700033933	0.298607051	3.777880907
1	0.441491693	0.967748046	0.334625721	2.032237291
1	1.280651778	2.371924162	0.57227236	3.014682204
0	-1.254696071	-1.169141591	-1.817957938	-0.542529553
1	1.207246214	2.221120775	-0.118440866	3.679253727
1	-0.508959562	1.905450106	1.336201727	2.546434879
1	1.011118233	2.02156496	2.282634497	1.569285572
1	-0.411922783	0.154816091	-0.633370578	2.157671034
1	0.380793631	1.384138823	1.491883278	2.163787484
1	-0.368806869	0.527861834	1.82938686	2.313893586
1	-0.347832799	0.250195384	-0.813788772	1.757111549
1	-0.778537154	2.022496104	-0.69755419	-0.03668651
0	-1.691404343	-2.260929883	-3.03133598	-2.858861685
0	-1.342425361	-0.532941461	-0.161917925	1.358902693
0	-1.069979995	-0.911929697	-0.930370688	-1.259673297
0	-0.229673564	-0.317775011	-0.733809888	0.57925868
0	-1.521578908	-0.041139603	-2.77546382	-1.899142981
0	-1.382248223	0.244779587	-2.651014566	-1.064633131
0	0.797682524	1.21116519	2.302135706	0.530489087
0	-1.459664315	-0.262428761	-2.3439219	0.105816364
0	0.267881215	-1.428212717	-1.40164271	-1.041116178
0	-0.829783887	-1.209443212	-1.14231652	0.515372515
1	0.316918731	1.604264915	2.09771204	1.965155125
0	-0.859875083	-1.297131464	-2.154346049	1.693470478
1	-0.710753888	2.802070618	-1.215102822	2.232047856
0	-0.9928011	-0.412802339	-0.946532547	-0.42730853
0	-1.758393526	-0.278241515	-1.947260804	-1.047003046
0	-0.317719698	-0.025918961	-1.258525625	-0.696179271
0	-1.220595628	-0.685311794	-1.262845755	-0.5763942
1	0.228488326	0.991188765	1.287776828	3.084423065
0	-0.518900692	0.095634609	-0.896458983	-0.512161553
0	0.300196171	-0.264776826	0.063188672	0.698658407
1	-0.936262101	1.612497091	1.983648062	0.707707524
0	-1.775227547	1.934806466	1.839734554	0.23050499
0	-2.808141306	-0.74237597	-3.139059708	-1.234574199
0	-1.93134737	0.264504194	-1.41732356	-1.781122521
0	0.281358421	1.023282647	0.476600885	1.04011476
0	-1.059668675	-0.982160211	-0.766852736	1.366678357
1	-0.387273669	0.55191803	2.434230715	1.877553225
0	0.097294688	1.68628788	1.719737947	2.952236563
0	1.286926627	-0.507246256	-0.059397221	0.168502271
0	-2.917782128	1.04515028	-3.721434236	1.144091129
0	-0.391228199	1.779273331	-0.039341807	2.365661561
0	-0.138382196	0.113221765	-0.630370617	0.018703461
1	-0.167804152	1.085137546	1.525888562	2.310014755
1	-0.543618381	1.279882908	3.861295581	1.691977501
1	-1.246924609	0.082717061	-2.602385521	-0.444535494
1	0.03130281	1.964669228	-1.867234349	0.669344425
0	-1.904670894	-0.476208001	-1.072552562	-1.506990343
1	-0.613386363	1.175967813	1.322675467	1.837423325
0	-0.07835488	-1.443200108	-1.490204155	-0.383212328
0	-0.549355268	-0.052042961	0.628674269	-0.170610189
1	-0.231444478	1.491725802	-1.002629042	0.280876279
0	-0.814092368	-0.087209463	-1.721084595	-0.319777489
1	-0.451295361	0.521040112	-1.730209559	0.498624563
1	-0.646381699	0.783881187	-1.9151842	2.830023527
