label	CLIC3	SPRR2D	SFN	S100A14
1	0.507692069	-0.952074111	0.372834325	1.292497814
0	-1.456158072	-3.705765843	0.032854617	0.668084145
1	2.263078451	0.017756104	1.593216717	2.908003658
0	0.128677189	-2.363664746	1.160134912	1.888611794
0	-1.207784653	-1.979799509	-0.075924873	-1.031695843
1	-0.592974536	-0.738362074	1.130896389	0.599074602
0	0.780017734	-1.199598432	0.369844601	0.364431024
0	-0.698643386	-1.914436102	0.324090719	-1.060701728
0	-1.75874567	-1.654750943	-0.2392658	-0.502763033
1	0.220679551	-0.625379682	1.211598814	1.208342791
0	-2.246162772	-2.258195639	0.939800739	0.390812874
0	0.738965988	-2.607627362	0.776186943	2.461983204
1	-0.455600739	0.409606695	1.780589312	1.84906137
1	1.607382312	-0.633731365	0.811196506	1.239110887
1	2.683986127	1.149140418	2.812763274	3.36048919
1	1.134454936	0.51493749	1.87161231	1.08198458
1	-0.857570112	-0.014925361	1.424340665	1.515425861
1	-0.974727362	-1.264785528	0.578458726	0.38898176
1	0.022616923	0.806484058	1.114175826	1.1319841
0	-0.517687798	-0.660128355	0.383900702	-0.314523757
1	0.634682387	0.226379752	0.957009971	0.830790192
0	0.316210687	-0.545261621	1.193112433	1.174748778
1	-0.468226761	0.84854579	1.552187026	0.371507823
0	-0.681811057	-2.460913777	0.191190124	-0.036684096
0	-1.735081106	-3.359703772	0.026708722	-0.53973496
1	-1.637854397	0.312360287	1.720071316	0.953562975
0	-2.813785434	-3.342329979	-0.577687562	-2.30986844
0	-2.175297141	-3.300673299	-0.688526593	0.583651543
1	1.447838306	0.709402204	1.113697499	1.517763376
1	1.00747329	-1.322468042	1.272102356	1.281191111
0	-0.740635723	-3.569370031	0.666897535	-0.542914748
0	-2.073837191	-3.480082393	-0.986832738	-0.888134241
0	-1.14087911	-3.805721879	0.65151906	0.229021907
1	-0.852991737	-2.507916689	0.471834898	0.882448673
0	-0.229458094	-0.988466144	1.657620728	0.580044121
1	0.759871632	0.361666799	1.48029685	0.8849895
0	-1.926264852	-2.643066466	0.154090881	-0.483705282
0	-0.238291889	0.212772161	0.214891255	0.662514329
1	0.052170515	0.639556527	0.766698956	-0.445971012
1	-0.771839559	-0.239251524	1.184272051	1.554280639
1	0.625593901	1.90725112	0.745462716	1.698916554
0	-0.149474859	-1.324041039	1.329150081	1.097942114
0	0.598654389	-0.728212178	-0.829657376	-0.748005986
0	0.986175656	-0.773516193	0.54533267	0.99348259
1	0.114760488	0.487154722	1.616670668	2.218274534
1	0.427263215	0.234785557	2.339477599	1.36210072
1	-0.479991406	0.783685923	0.768280864	0.513710499
1	-0.564765032	1.562026739	0.710885227	1.703371048
1	-0.563075244	-0.311770141	1.231623888	1.771551371
0	-0.633909553	-1.14914155	0.522376657	-0.746441603
0	-1.340666652	-1.993608952	0.318227708	-0.775306225
