label	KRT4	KRT20	LY6D	ANXA8L1	RHCG
1	0.440530896	-0.189360201	2.229443043	2.152563781	-0.149635017
0	-3.696130514	-4.693581842	-1.011914372	0.064382032	-0.919730663
1	2.237044573	1.76798439	3.977820218	1.82384555	2.338716745
0	-2.277212024	-3.407200694	0.214514375	1.442026973	0.840420246
0	-1.482191622	-3.333491921	-2.4759866	-0.379934639	-3.013056576
1	-1.585430264	0.970612288	1.519205332	1.069950044	-1.39914012
0	0.522880793	0.389320135	0.749922991	1.155746281	0.057042599
0	-0.40730083	-0.873212576	-0.095790029	0.89870894	-0.712642431
0	-1.566969454	-2.613679916	-1.161988616	0.000899315	0.016535044
1	-3.727814972	-1.145806313	2.162387848	0.966902673	0.441083431
0	-0.801666915	-2.783936918	1.929045737	1.357782304	-2.426571906
0	1.33813405	0.511495352	-0.829415381	0.596423805	-0.802741051
1	-0.258309126	0.98926264	1.488320857	0.440456033	-0.066648133
1	-0.052750945	-0.212672561	-0.285155535	1.033109486	0.141769171
1	2.122593641	1.244938612	2.53586179	2.543960333	1.704595208
1	-0.33694306	2.149188399	1.762576103	1.901974916	-0.381125927
1	-0.42550683	-1.20544374	0.230834246	1.576873362	-1.060762763
1	-1.515766978	-3.081721783	2.486315966	1.065000236	0.399062157
1	1.379085004	0.244598269	-0.227913737	1.419411361	-0.927282572
0	-0.779513478	-0.076617658	-1.894133419	0.057245791	-0.451939404
1	0.373264074	1.328257322	-0.431145906	1.737686038	-0.729613125
0	-1.423523068	-2.212710083	0.564066052	1.081008494	-0.635326624
1	-2.751341343	-0.593065977	1.161606193	1.082329273	-1.041738093
0	0.973888278	-1.162555277	0.387769461	-0.290534884	-0.7829476
0	-1.227049023	-2.87884742	-2.883634686	-2.368001163	-1.41629488
1	-2.641674042	-2.330246329	-0.128041267	2.066679001	-1.598071992
0	-4.433693945	-3.714558363	-1.707206212	-2.189207673	-0.711454868
0	-2.057345986	-1.858700037	-1.879860729	-1.967750996	-1.346716166
1	-0.327564538	-0.674669921	2.584935427	2.446082771	-0.038491488
1	-0.37341404	-0.33533895	1.274094105	2.367308199	-0.853852272
0	-3.372616112	-2.729613543	-1.113625884	2.049441874	-2.200573415
0	-3.126722693	-3.47889702	0.099218845	-0.885735855	-2.715950213
0	-2.930502191	-1.760877848	1.529510021	0.73146078	-1.57869637
1	-1.479769699	-1.961293757	1.936183214	1.710070521	-0.124959588
0	-0.800270379	0.265008569	-1.886133283	1.223374844	-0.958715171
1	1.624398112	1.076780081	2.385414362	2.341788918	0.85223788
0	-1.322872922	-0.24575758	-0.055205822	0.50734365	-0.784264684
0	0.869817257	1.95731914	2.230288982	0.043731004	1.490938693
1	-0.883091211	0.020743251	2.773608685	1.696421027	-1.357647613
1	-1.0924685	-1.627589211	2.333485603	1.095934033	0.784044623
1	-0.879149407	-0.182015777	1.029548883	0.989674389	-0.475568056
0	-2.384652615	-1.027129173	0.633264661	1.98285687	-0.118614912
0	-0.449883401	-1.297167093	-0.26692754	-1.248894095	0.029901505
0	0.128518581	-0.087052524	0.177924395	1.141376317	0.434200406
1	2.777027309	2.327340722	2.546853662	1.758810937	0.932015061
1	0.416035622	-0.139509439	2.136191845	2.076690793	0.777395487
1	-1.67874378	-0.416099787	1.784170628	0.656615674	0.940148234
1	1.444501936	0.623877525	1.02388978	1.350852102	0.505316496
1	1.222815335	0.427579761	2.28467083	0.246559203	-0.238435984
0	-2.8867158	-1.595513463	0.059544563	0.585407525	-1.137764335
0	0.014795423	-0.935772181	-0.187888861	0.469647884	-1.340937227
1	-3.164181322	-1.888150454	1.260034084	0.265501752	0.933226347
0	-1.318293333	-1.685661376	0.554247379	0.913227797	-2.499903515
0	-2.721511349	-1.789462507	1.654075146	0.733376771	-1.389596343
1	0.794260859	0.255648017	2.215470016	1.022500098	0.29523623
1	-1.130578995	-1.16303426	2.440931231	3.237715006	0.529772282
1	0.579853445	0.823418021	3.615054846	1.198001347	-0.042491555
1	-0.387137055	-0.195276797	3.369802117	0.768680632	-0.657662153
1	1.617078692	0.186360955	2.43839407	2.279652834	0.262784243
0	-0.722721875	-0.805155516	-1.06323719	-1.23263365	0.900118828
1	3.214283824	2.134910792	0.063787937	1.300913483	0.791875601
1	0.834326304	0.754458427	2.615634441	2.774557889	1.230272532
1	2.640566111	2.714166462	0.273398042	1.263697028	0.172688246
1	-0.827581286	-0.446738526	2.317819625	2.050172657	0.656892896
1	1.269014835	0.214813411	2.282841086	1.394273162	-0.214458942
1	-0.321823709	0.659497023	1.532729506	0.855912745	-0.215576172
1	1.798367679	0.407495856	3.622035086	1.647563934	-1.729306936
1	-0.775133312	1.089772701	1.47421062	2.130878925	-1.029198408
0	-2.665358543	-2.995444	-1.78941226	-1.630682945	0.090681553
0	-1.943315625	-0.974329263	-0.197404206	-0.555418462	-2.116545618
0	-2.002464235	-1.291519344	-1.260608703	-0.229507327	-1.900087833
0	-1.911533296	-0.799305439	0.095990121	-0.134584993	-0.746001959
0	-2.412556589	-3.728803694	-0.45040226	-0.89443022	-1.22177279
0	-1.107192397	-2.776928723	-0.267478824	-0.414107919	-1.73747766
0	0.902835727	1.244941235	2.479910851	1.068223476	-0.699493766
0	-4.489645243	-2.862985134	0.129255772	0.237275422	-0.264314681
0	-0.171652138	-1.509792328	0.353270769	-0.085266471	-0.611670911
