label	KRT4	SPRR2D	SFN	DSG3
1	0.440530896	-0.952074111	0.372834325	-0.483610213
0	-3.696130514	-3.705765843	0.032854617	-2.106888354
1	2.237044573	0.017756104	1.593216717	2.910556316
0	-2.277212024	-2.363664746	1.160134912	0.637875795
0	-1.482191622	-1.979799509	-0.075924873	-0.526599884
1	-1.585430264	-0.738362074	1.130896389	2.541122198
0	0.522880793	-1.199598432	0.369844601	1.224731565
0	-0.40730083	-1.914436102	0.324090719	-0.11606288
0	-1.566969454	-1.654750943	-0.2392658	0.080716491
1	-3.727814972	-0.625379682	1.211598814	0.454271078
0	-0.801666915	-2.258195639	0.939800739	0.91985631
0	1.33813405	-2.607627362	0.776186943	0.521981955
1	-0.258309126	0.409606695	1.780589312	2.097880363
1	-0.052750945	-0.633731365	0.811196506	-0.178397894
1	2.122593641	1.149140418	2.812763274	1.259634554
1	-0.33694306	0.51493749	1.87161231	1.20027113
1	-0.42550683	-0.014925361	1.424340665	1.624999642
1	-1.515766978	-1.264785528	0.578458726	1.566560388
1	1.379085004	0.806484058	1.114175826	1.475238562
0	-0.779513478	-0.660128355	0.383900702	-0.60472776
1	0.373264074	0.226379752	0.957009971	1.089404583
0	-1.423523068	-0.545261621	1.193112433	-0.060406923
1	-2.751341343	0.84854579	1.552187026	1.219861269
0	0.973888278	-2.460913777	0.191190124	-0.012135863
0	-1.227049023	-3.359703772	0.026708722	-1.744197637
1	-2.641674042	0.312360287	1.720071316	1.978101134
0	-4.433693945	-3.342329979	-0.577687562	-2.363614306
0	-2.057345986	-3.300673299	-0.688526593	-1.607290491
1	-0.327564538	0.709402204	1.113697499	1.815707684
1	-0.37341404	-1.322468042	1.272102356	1.752881885
0	-3.372616112	-3.569370031	0.666897535	-1.40708518
0	-3.126722693	-3.480082393	-0.986832738	-1.881394982
0	-2.930502191	-3.805721879	0.65151906	0.731190324
1	-1.479769699	-2.507916689	0.471834898	0.607409954
0	-0.800270379	-0.988466144	1.657620728	0.302443862
1	1.624398112	0.361666799	1.48029685	2.033243418
0	-1.322872922	-2.643066466	0.154090881	0.293099642
0	0.869817257	0.212772161	0.214891255	1.139908791
1	-0.883091211	0.639556527	0.766698956	0.677258611
1	-1.0924685	-0.239251524	1.184272051	2.149644852
1	-0.879149407	1.90725112	0.745462716	1.699789762
0	-2.384652615	-1.324041039	1.329150081	1.439425826
0	-0.449883401	-0.728212178	-0.829657376	-1.929889113
0	0.128518581	-0.773516193	0.54533267	0.115466714
1	2.777027309	0.487154722	1.616670668	2.137399077
1	0.416035622	0.234785557	2.339477599	0.960737288
1	-1.67874378	0.783685923	0.768280864	1.342624426
1	1.444501936	1.562026739	0.710885227	1.4614048
1	1.222815335	-0.311770141	1.231623888	0.366604447
0	-2.8867158	-1.14914155	0.522376657	-1.657413602
0	0.014795423	-1.993608952	0.318227708	-0.352874875
1	-3.164181322	-0.500374794	0.772562742	1.059557676
0	-1.318293333	-3.34874779	0.235700011	0.426048517
0	-2.721511349	-0.775516868	0.790586829	0.806874275
1	0.794260859	1.275014043	1.246452093	1.39477402
1	-1.130578995	0.670366466	2.546575338	1.081878841
1	0.579853445	0.298607051	2.331899524	1.700033933
1	-0.387137055	0.334625721	2.149779499	0.967748046
1	1.617078692	0.57227236	1.939265013	2.371924162
0	-0.722721875	-1.817957938	-0.185207307	-1.169141591
1	3.214283824	-0.118440866	1.549844116	2.221120775
1	0.834326304	1.336201727	2.098931044	1.905450106
1	2.640566111	2.282634497	2.082354337	2.02156496
1	-0.827581286	-0.633370578	1.41959402	0.154816091
1	1.269014835	1.491883278	1.288813353	1.384138823
1	-0.321823709	1.82938686	0.908878833	0.527861834
1	1.798367679	-0.813788772	1.980955243	0.250195384
1	-0.775133312	-0.69755419	2.009723902	2.022496104
0	-2.665358543	-3.03133598	-1.29019928	-2.260929883
0	-1.943315625	-0.161917925	0.402288556	-0.532941461
0	-2.002464235	-0.930370688	-0.851661026	-0.911929697
0	-1.911533296	-0.733809888	0.265455365	-0.317775011
0	-2.412556589	-2.77546382	0.404316187	-0.041139603
0	-1.107192397	-2.651014566	-0.281241298	0.244779587
0	0.902835727	2.302135706	1.771300197	1.21116519
0	-4.489645243	-2.3439219	-0.155535936	-0.262428761
0	-0.171652138	-1.40164271	-0.303904399	-1.428212717
0	-2.248289585	-1.14231652	-0.196117163	-1.209443212
1	-0.627152443	2.09771204	2.229964703	1.604264915
0	-0.953782797	-2.154346049	0.519681394	-1.297131464
1	-2.172538698	-1.215102822	1.406152338	2.802070618
0	-0.371461242	-0.946532547	-0.056817621	-0.412802339
0	0.223472178	-1.947260804	-1.064471483	-0.278241515
0	-1.761191532	-1.258525625	0.684954882	-0.025918961
0	-1.061474204	-1.262845755	-0.71299243	-0.685311794
1	0.96888715	1.287776828	1.523272157	0.991188765
0	0.439273804	-0.896458983	1.105039358	0.095634609
0	0.069790363	0.063188672	0.526872337	-0.264776826
1	-2.021119535	1.983648062	1.374692023	1.612497091
0	-1.626488954	1.839734554	1.54832536	1.934806466
0	-3.582060099	-3.139059708	-1.058586657	-0.74237597
0	-2.18482399	-1.41732356	0.111250281	0.264504194
0	0.054764867	0.476600885	0.423099995	1.023282647
0	-2.620278001	-0.766852736	1.762894481	-0.982160211
1	0.052137911	2.434230715	1.205795139	0.55191803
0	-0.432586372	1.719737947	1.54114151	1.68628788
0	1.290563226	-0.059397221	-0.043048114	-0.507246256
0	-3.338381767	-3.721434236	0.883332491	1.04515028
0	1.200040072	-0.039341807	0.763042927	1.779273331
0	-0.72601819	-0.630370617	0.01051718	0.113221765
1	-0.115901619	1.525888562	2.100074261	1.085137546
1	-1.748148382	3.861295581	1.891909897	1.279882908
1	0.492860675	-2.602385521	0.618128955	0.082717061
1	-1.469066441	-1.867234349	1.128002644	1.964669228
0	-1.947705448	-1.072552562	-0.601915061	-0.476208001
1	-0.873693705	1.322675467	1.206590742	1.175967813
0	0.625733405	-1.490204155	-0.393315911	-1.443200108
0	-0.766051769	0.628674269	0.811410904	-0.052042961
1	-1.472057462	-1.002629042	0.953647971	1.491725802
0	-0.089925617	-1.721084595	-0.068879843	-0.087209463
1	-0.662711263	-1.730209559	1.72582078	0.521040112
1	-0.79675293	-1.9151842	2.528450996	0.783881187
