label	ABRACL	MCM3	HIST1H2BK	OCIAD2	U2AF1L5
0	-1.097851396	-1.480299711	-0.164985657	-1.235901117	-1.034664392
1	-1.534842014	0.272854954	0.316794366	0.970464885	-0.04157871
0	-0.452114105	-1.157233	0.172495127	-1.016220808	-0.926841736
1	0.342035115	-0.593898237	0.288588405	1.48278749	-0.693199754
0	-1.132570148	-1.384581447	0.162769556	-1.79041183	-0.683196425
1	0.407378435	-0.328319609	1.029663563	0.500713825	-0.351504922
0	-0.637234807	-1.247452736	-0.226208329	-0.557671785	-0.855626822
1	0.26733613	-0.485148162	-0.594847918	2.258792639	-0.772431254
0	-0.448744446	-1.325376034	-0.347945243	-0.312721997	-0.870489001
1	0.761379778	0.160648137	0.18728289	1.675366282	0.01212718
0	-2.188530445	-0.767164886	-0.304979265	0.137041271	-1.843842506
1	-1.746964574	0.235517681	0.162937284	-0.11044354	-0.678335249
0	-2.640209913	-0.949138999	0.417231441	-0.30404067	-1.564423084
1	-2.20525074	-0.382871032	0.453620315	0.366795301	-0.702669442
0	-2.564245701	-1.029073715	-0.340891778	0.000310123	-1.654803276
1	-1.905795217	0.0931205	0.468584865	0.381907523	-0.657999694
0	-2.134262562	-0.844292164	-0.271045536	-0.39732185	-1.951632142
1	-1.968154311	0.302067339	0.901332855	0.734054446	-0.514539182
0	-2.153026104	-0.850053728	0.487888813	-0.102546632	-1.687730074
1	-1.27117455	-0.224250808	0.124592908	1.759076715	-0.256027341
0	-0.409318686	-1.192556381	-1.873948812	-0.391295731	-1.507590771
1	1.530005693	0.038115509	-1.928508282	0.783035696	-0.223932296
0	-0.308844328	-1.14489913	-0.526216567	-0.772269547	-1.702558756
1	1.587429166	0.117468476	-1.017196655	0.887089193	-0.439439535
0	-1.998013854	-1.194360852	-0.281628221	-0.98111701	-1.598562121
1	0.517839968	0.092469297	-1.710598826	0.795662463	-0.529768825
0	-0.349137962	-1.171896458	-2.79175663	-1.108512402	-2.004395723
1	1.854008317	-0.455299735	-1.177991867	0.013050742	-0.839952409
0	0.250323534	-1.180390239	-0.417362571	-0.383489847	-1.866721749
1	1.654626727	-0.012800626	-0.714575052	0.963316977	-0.706646144
0	0.00089553	-1.006943583	-1.752330184	-0.04943797	-0.85766542
1	1.491032243	0.1668704	-0.636413991	1.273130774	-0.291597962
0	0.40343982	-1.041958094	-1.950058699	-0.089469492	-0.739925921
1	-0.033250596	0.276840687	-1.776988029	2.296308756	0.064139359
0	0.189293802	-1.279806972	-1.247322917	-0.435073614	-0.906680465
1	0.726184487	-0.671197891	0.579316139	0.607767463	-0.573856533
0	0.357454926	-0.95987916	-1.750870228	-0.034158513	-0.550143361
1	0.754841447	0.37432915	-0.936886847	0.460168779	-0.383603841
0	-0.099467814	-1.45653677	-0.604309916	-0.581253529	-0.829834819
1	1.674294233	-1.745903373	-1.105531693	2.642161846	-0.351510644
0	-0.969596505	-1.808247328	-1.625501633	-0.800789118	-1.572793722
1	0.886360168	-0.247598499	-1.829444647	1.202231407	-0.258647293
0	-0.849417508	-1.498035669	-1.917439103	-1.016468525	-1.744758844
1	0.633120656	0.055489842	-2.058572054	0.788358152	-0.309995711
0	-0.119199276	-1.880973816	-2.166855812	-0.814409196	-1.143795013
1	1.493405342	0.093617499	-1.457430601	1.05449903	-0.169426024
0	0.239001557	0.059428409	-1.327235341	0.548456788	-0.944333613
1	0.342664182	-0.401094288	-1.416526079	0.477272362	-0.108568609
0	0.059160978	-1.791166663	-2.326699257	-0.811341047	-1.690881133
1	1.384197116	-1.031638265	-1.724532962	1.281887889	0.256469101
0	-0.045471609	-1.574149132	-1.626930475	-0.260341108	-1.639717817
1	1.082114935	0.022705361	-0.667745292	1.928452253	-0.084294349
0	0.304560065	-1.642643929	-1.513640881	-0.951011658	-1.209630251
1	1.938823819	-2.19528389	0.000161685	3.86460948	-0.617571414
0	0.356445968	-1.429507971	-1.363092422	-0.035948634	-1.18287611
1	0.480339795	-0.030556276	-0.542699218	3.272366524	-0.16537261
0	0.133152068	-1.571196556	-1.836563587	-0.131670296	-1.087438345
1	1.256152868	-0.121836036	-0.754432499	1.505615711	-0.523499012
0	0.311901927	-1.491089821	-1.613826513	-0.052490294	-0.853976429
1	1.203617454	0.231880426	-1.189556479	1.665232539	-0.506447434
0	0.079630852	-1.445527077	-2.435973883	0.116785824	-1.845182657
1	1.208835959	-0.047273755	-5.403249741	0.697913885	-0.532359838
0	0.416501641	-1.391731262	-1.487957478	0.127274871	-1.26455617
1	1.119982243	-0.161001772	-0.591923594	1.296871543	-0.151473641
0	0.131790519	-1.315660357	-3.062414646	0.226427853	-1.747624516
1	1.393009543	0.472657025	-0.216689751	1.439111352	-0.502388477
0	0.651573181	-1.185646057	-1.76224947	0.382189423	-1.910619736
1	0.568243563	0.36959821	-0.950770915	0.508413851	-0.248544455
0	0.606393516	-1.029780746	-1.835333586	0.645221889	-1.465522051
1	1.905219555	-0.367915899	-1.350034475	1.835660696	-1.311113
0	-0.563596845	-1.181124449	-1.125122547	-0.266518325	-1.922893286
1	1.215643167	0.490459144	-1.59758091	1.958654404	-0.331721604
0	0.065576851	-0.886033475	-1.972736597	0.188464224	-1.447657347
1	0.974258184	0.131824389	-1.006476045	0.963472724	-0.236893743
0	-0.248360097	-0.949578822	-2.317173243	-0.083965123	-1.472687721
1	0.662213385	-0.563698053	-0.784714341	0.416052133	-1.064473271
0	-0.665345788	-1.225110531	-3.14352107	-0.149873495	-1.21764946
1	1.29048419	-0.09772788	-0.677037001	1.52886045	-1.344163418
0	-0.911530733	-1.078226447	-1.004589558	0.516555548	-1.582289577
1	1.224552035	0.066226505	-0.642899156	1.784143329	-0.539768338
0	0.003922939	-1.128246307	-1.415819883	0.047433853	-1.893901348
1	1.087367773	-0.775929749	-0.598080337	1.03651011	-2.11163497
0	-0.253960729	-1.262141585	-1.273477197	0.117897332	-1.68055737
1	1.62635684	-0.068779081	-0.601583123	0.855817556	-0.59060061
0	-0.50980866	-1.000022292	-1.637116551	0.089312494	-1.535915494
1	1.839411378	0.873086691	-2.361039639	0.677820444	-0.401357263
0	0.219797611	-0.6956743	-1.583170414	1.050057173	-1.329288006
1	1.386705399	-0.216691151	-0.688210249	0.69266057	-0.976372123
0	-2.659194946	-1.104052782	-1.300892591	-1.029550076	-1.821863413
1	-2.071214914	0.014569851	-0.208778784	0.419159353	-0.367382735
0	-2.181191444	-1.022212267	-0.860747695	-0.476959825	-1.388047576
1	-1.858948946	-0.157775015	-0.361183316	0.15495117	-0.406777054
0	-2.134624481	-1.03516233	-0.874021769	-0.543532968	-1.729690194
1	-2.345528841	-0.346528888	-0.257084787	0.745298564	-0.577589631
0	-2.279163837	-1.101238966	-1.20389092	-0.504157901	-1.961184382
1	-1.822035789	0.085051686	0.174589574	0.18812488	-0.518863976
0	-2.125148535	-1.351489782	-1.305131435	-0.866920114	-2.227538347
1	-1.497716427	-0.136593625	-0.392113924	0.970001996	-0.905542672
0	0.031933576	-1.133406758	-2.807479143	-0.415420681	-2.537662983
1	1.722119808	-0.336576283	-1.269316912	-0.011560708	-1.684704781
0	-0.071148574	-1.05734539	-1.936519146	-0.55915159	-1.959558249
1	1.341997862	-0.380635083	-1.091322541	0.071210131	-1.425027728
0	-0.059364736	-1.212908506	-1.568245888	-0.326688349	-2.78098774
1	0.356451601	-0.294151127	-0.878830492	-0.021582533	-0.683795631
0	0.013712704	-1.38848424	-2.631593704	-0.417405725	-2.521709442
1	0.789576232	0.118723363	-0.890326381	0.008014225	-0.665134668
0	0.27806434	-1.258946538	-3.017925739	-0.483498603	-1.66953671
1	1.171353698	-0.031736203	-1.713120103	-0.248045981	-0.981616735
0	-0.536497474	-1.111076593	-1.112448931	-0.506065369	-1.331712008
1	1.506386757	0.449137926	-0.932670474	0.801344991	-0.617124796
0	-0.582511783	-0.954001069	-1.317466736	-0.198867351	-1.306116104
1	1.177190781	0.057248443	-0.150212914	0.567514241	-0.747813642
0	-0.406359076	-1.114673257	-0.632563949	-0.151465237	-0.978239775
1	1.414769053	0.595617771	-0.386469811	0.983790576	-0.554197133
0	-0.558942556	-1.04598403	-0.652130127	0.059910178	-0.767255306
1	1.67839849	-0.13903001	0.720621824	0.144162446	-0.272512794
0	-0.682234406	-0.906353831	-1.590478897	0.005877048	-1.790626287
