label	DHCR24	SLC16A3	SERPINB5	RBM8A	EPCAM
0	-1.067121863	-1.536771059	-1.658306599	-0.7588346	0.852270544
1	0.76159668	0.463872641	0.048125718	-0.034982309	2.337362051
0	0.12304616	-1.270289898	0.245356023	-0.856811643	0.548537195
1	0.946491122	0.74800545	-0.240133122	0.288354516	3.118878126
0	0.665543973	-1.499666333	-1.402361274	-0.579491973	1.052882791
1	1.276758313	-0.864126205	0.49838239	-0.201224566	0.654760003
0	0.610385895	-1.062702894	-1.131072998	-0.916383862	0.550387383
1	1.282496929	0.880085468	1.088745713	-0.371675998	0.8269099
0	0.42924878	-1.305795908	-0.195057243	-0.683193564	0.630975187
1	1.265788674	-1.162561178	0.061650176	0.141099036	3.110882998
0	-0.636996686	-2.438726187	-0.385618746	-1.131187916	0.05790621
1	1.562328577	-0.731601655	0.684551656	-0.062096216	0.94622606
0	-0.837081194	-2.313897848	-0.383656979	-1.020977736	-0.772719145
1	0.912831664	-1.473182082	-0.463401079	-0.159744591	0.337395459
0	-0.295887172	-2.455238104	-0.29166609	-1.184147358	0.005644023
1	0.692365706	-0.9808442	0.222211093	-0.22231099	1.115105987
0	-0.159037441	-2.322238922	0.44272238	-1.100931883	-0.829155922
1	0.748034537	-0.941823721	0.096574143	0.194775611	1.832253695
0	-0.112281382	-2.283572197	-0.456602752	-0.773348749	-0.026153266
1	-0.684601545	-0.121969476	1.707447767	-0.100261435	1.109224796
0	-0.988313675	-1.640543461	0.56211406	-0.649878144	0.920775056
1	0.424760163	-1.181398749	0.536340356	0.09952534	1.139745593
0	-0.531195462	-1.577895403	-0.188189387	-0.733976185	0.64899528
1	1.857248783	-0.671861947	0.83964926	0.072728351	2.189287424
0	-1.142487764	-1.995851636	-1.370850801	-0.644744992	0.923835993
1	2.081412315	-0.95847559	1.011658788	-0.249446601	0.700383663
0	-1.439193249	-2.014825344	-1.284925461	-0.931042373	1.014451265
1	0.324237615	-0.699646235	-0.200087875	-0.246564656	1.235992908
0	-1.211071253	-2.225615501	-1.458284974	-0.855444551	1.134480238
1	0.527099192	-0.43885228	2.383895636	-0.124904595	0.803182662
0	-0.496153504	-1.888878703	-0.08886978	-0.605518222	1.277132154
1	2.306386709	-0.3390944	1.557349205	0.301501989	2.982284069
0	-0.281395853	-0.845258415	-0.000431657	-0.673307359	1.088856816
1	0.914044678	-0.194477096	1.360447407	0.525075138	1.800601602
0	-0.758615613	-1.54468286	0.054786742	-0.833953977	0.109421372
1	0.203183651	-1.12676084	1.359856844	-0.386144578	2.444643974
0	-1.008601069	-1.628704309	-0.294563413	-0.611962199	0.329336166
1	1.022504568	-1.208714724	1.011471272	0.223645285	2.56826067
0	-1.211307764	-1.670570135	-0.559792519	-0.850711823	-0.197763681
1	-1.247440219	-1.94475472	-1.10192275	0.177195936	4.402994156
0	-0.807393074	-2.601583719	-1.278793573	-0.814007401	0.975355148
1	-0.0718849	-1.529804587	1.105815887	-0.0174658	2.826983213
0	-0.451259434	-1.946839809	-0.123326957	-1.056062937	1.227909327
1	1.176841021	-1.018983126	0.762584746	0.142130107	2.949364185
0	-0.711241186	-2.653764009	0.012016177	-1.017472982	1.162020683
1	1.616833091	-0.055262364	0.992886722	-0.028003849	3.54838109
0	0.139616266	-1.941518784	0.402885556	-0.494684875	2.863224506
1	0.243492678	-1.53136766	0.438042045	-0.122631878	3.249899387
0	-0.356022865	-2.015247822	0.332760572	-0.997131228	0.785546064
1	0.742404938	-0.722587347	-0.903998375	-0.057755671	6.369147778
0	-1.800042152	-1.746563435	-0.24754256	-1.000196218	-0.188356757
1	0.62874651	-0.119621605	1.017955422	0.280918539	0.714542389
0	-1.075872183	-1.193826199	0.223895848	-1.772066355	0.493056118
1	-2.729212284	-1.477335811	-2.113042355	-0.092360899	2.51779604
0	-0.722849548	-1.473489285	0.183143437	-0.847748339	-0.801674068
1	0.199000061	-0.728720427	-0.462401062	0.06785208	4.759131432
0	-1.451342583	-1.261878014	-1.598722696	-0.989438474	0.532596707
1	-0.286112189	-0.660265744	1.225304365	-0.234163165	0.612661004
0	-1.183814526	-1.408418179	-0.989709675	-1.035231829	0.075341582
1	0.548290551	-0.888385475	0.860738695	0.22892569	0.083137363
0	-0.124851465	-2.144895792	0.526927233	-1.189286947	0.565838099
1	-0.04813382	0.09393923	0.959476471	0.146810561	1.531976938
0	-0.248578548	-2.085962296	0.995373964	-0.86644125	0.561845779
1	0.36239934	-0.971087813	-0.731418014	0.203866526	2.047052145
0	-0.071733952	-2.33409071	0.305085301	-0.982788801	0.907076776
1	0.607988298	-1.347282171	0.675772011	0.036102787	1.781214476
0	-0.130163997	-1.947398901	0.225551516	-0.965146542	0.423506111
1	0.814546764	-0.880654752	1.177963734	-0.479878455	0.974420249
0	-0.193830773	-1.599072218	-0.554401577	-0.907562196	0.812657118
1	0.18864803	-0.689409494	-0.14534685	0.041248575	1.363267064
0	0.140214592	-2.88928628	-0.648348212	-0.814187169	-1.95160532
1	0.794687688	-0.983203351	1.249745011	0.278695792	-1.666210055
0	0.395938188	-2.667274952	0.902040601	-0.591189206	-1.76262331
1	1.15093255	0.011568546	1.252061248	0.09330906	-1.293219924
0	-0.245009243	-1.630800009	-0.610815823	-0.953243554	-2.201089621
1	0.558801532	-1.130806923	-0.067863613	-0.20182851	-2.272991896
0	-0.259834409	-3.697708845	-0.349250436	-0.686793566	-2.724973679
1	0.976311684	-0.247505918	0.604450762	-0.071314409	-2.613862038
0	-0.18537727	-3.421278954	-0.630140781	-1.279657245	-2.353335381
1	0.62314719	-1.917249322	2.385618687	0.270572484	-1.9362849
0	-1.087702751	-1.13515687	-0.844457388	-1.003205538	-2.381685972
1	-0.503153145	-0.892645538	0.249949187	-0.072272718	1.547655344
0	-0.890403867	-0.986646056	0.063286483	-0.936279416	0.274522483
1	0.422562659	-0.73934114	0.665120482	0.173880473	-0.845778108
0	-1.091794133	-0.905613184	-0.630465388	-0.85628438	0.355624259
1	-1.292190313	-1.762974381	-1.744733095	0.093856335	3.460019588
0	-0.357124805	-0.825888395	-0.503007889	-0.726800323	0.7092641
1	0.374498069	-0.48835963	1.005519986	-0.061221644	1.985033154
