label	GBP1	BRI3BP	OCIAD2	DTX3L
0	0.767071903	-0.235621095	-1.235901117	0.462467074
1	1.176950574	0.015274372	0.970464885	1.666729689
0	0.203032136	-0.195445418	-1.016220808	0.565215349
1	0.784135342	0.543339968	1.48278749	1.724406958
0	0.258509576	-0.371394038	-1.79041183	0.360195488
1	1.408113003	0.464950114	0.500713825	1.498321772
0	0.180800915	-0.481837153	-0.557671785	0.811957717
1	2.049754381	0.489353508	2.258792639	2.081010818
0	0.459969938	-0.37647	-0.312721997	1.010343552
1	1.276972771	0.462444127	1.675366282	1.724770784
0	0.023370981	-1.430465937	0.137041271	0.524522603
1	0.960369051	0.17353934	-0.11044354	2.692616463
0	0.416831017	-1.372219801	-0.30404067	1.105986357
1	1.92988205	-0.143261611	0.366795301	1.751673341
0	-0.012371004	-0.627830207	0.000310123	0.713970184
1	1.34366715	0.440558553	0.381907523	1.765798688
0	0.374094844	-0.820967793	-0.39732185	1.036262989
1	1.158710957	0.519503534	0.734054446	1.789129496
0	0.340140879	-0.827096879	-0.102546632	0.891756833
1	0.311990201	-0.122925863	1.759076715	0.845739424
0	-0.248088181	-0.504627228	-0.391295731	0.677837253
1	1.932089806	0.320651621	0.783035696	1.789987445
0	-0.090892732	-0.783097446	-0.772269547	0.869705677
1	0.346094489	1.339546084	0.887089193	1.840376973
0	0.151439369	-0.65904057	-0.98111701	0.525262713
1	1.220188379	-0.523910403	0.795662463	2.064773321
0	0.617067575	-0.703101695	-1.108512402	0.940486729
1	2.497301817	0.467015892	0.013050742	1.769390821
0	0.295507699	-0.683115363	-0.383489847	0.574569643
1	1.086338282	0.741181135	0.963316977	1.430922508
0	0.929452538	-0.61601305	-0.04943797	1.096585274
1	2.45225668	1.536605835	1.273130774	2.102397919
0	0.870500565	-0.510350049	-0.089469492	1.359298706
1	1.881033659	0.328060389	2.296308756	2.243407249
0	0.155358374	-0.92298162	-0.435073614	0.97987479
1	1.578558922	0.155942455	0.607767463	2.02685833
0	0.895848393	-0.455829978	-0.034158513	1.349777818
1	2.015826941	0.658993959	0.460168779	2.448174
0	0.325206339	-0.737073898	-0.581253529	0.690112114
1	0.182355344	0.262508541	2.642161846	1.295906901
0	0.159992993	-0.667892575	-0.800789118	0.243237793
1	1.526186824	0.073557049	1.202231407	2.006075859
0	0.147196531	-0.515180171	-1.016468525	0.495112091
1	2.575728416	0.613389671	0.788358152	2.327829838
0	-0.014840484	-0.641736686	-0.814409196	0.420841098
1	0.249522388	0.678164124	1.05449903	0.929441392
0	1.321973085	-0.364675879	0.548456788	1.444922924
1	0.321648866	0.278053701	0.477272362	1.022480965
