label	GINS3	STAT1	DNAJB11	EXOSC1	DSG2
0	-2.170417547	0.097767651	-0.511299968	-1.742693186	-0.305529237
1	-1.46378684	1.773054719	1.015688896	-0.39316541	1.325640321
0	-1.670683861	0.297798812	-0.127277255	-1.982925177	0.234257817
1	-0.852084041	1.050207019	1.133652568	-0.407090217	1.119364381
0	-1.410257697	-0.09841311	-0.585806012	-1.52810204	-0.270558715
1	-1.113691807	1.090641737	0.665145814	-0.984496951	-0.308179438
0	-1.408259392	0.106029809	0.07879132	-1.728275061	-0.209790826
1	-1.836484432	1.801517844	1.375538945	-1.403127313	1.765385509
0	-1.930271626	0.490628242	0.070192605	-1.313779831	0.009177953
1	0.28224045	1.176905155	1.140146732	-0.347727686	1.350577712
0	-1.856581926	0.02584213	-0.550750077	-1.237978935	-0.150830805
1	-1.158821106	1.622996449	0.893025994	-1.143333554	1.016896605
0	-1.851315498	0.371633708	-0.184871435	-1.377514601	-0.152759194
1	-1.21434176	1.757753372	1.272669315	-0.910690784	-0.432926536
0	-2.15115881	0.070108116	-0.03174907	-1.458093405	-0.198784769
1	-0.825548947	1.350774765	1.438106894	-1.01185298	1.273464918
0	-2.063761711	0.485020518	0.143277913	-1.298285365	-0.046463281
1	-0.297013909	0.34365648	0.598695457	-0.227697924	1.613749743
0	-1.825030088	0.364710301	-0.120876789	-1.026774406	-0.079323351
1	-1.23600769	0.227240548	0.224127769	-0.531950176	2.130873919
0	-1.675221205	0.123364091	0.448390454	-1.824102163	-0.640863538
1	0.270724088	1.91262579	0.653880477	-0.668038607	0.369033128
0	-1.833217621	0.388488412	0.299010694	-1.773679495	-0.737461388
1	-0.447849333	0.539048135	1.081592798	-0.862036288	1.34218967
0	-2.153413296	0.167286456	-0.352875262	-1.527625918	-1.04348278
1	-1.183722496	1.211644411	0.851765573	-0.989308238	0.355653048
0	-2.052108049	0.609559953	-0.201023042	-2.077043772	-0.966256559
1	-0.936053813	2.222038984	1.100483656	-1.151540399	-0.234403104
0	-1.994258285	0.260511041	-0.485291362	-2.238423824	-1.24414885
1	0.432296187	1.659455657	0.660624683	-0.989336073	0.514907062
0	-0.830855727	0.333365113	0.30393821	-1.653847814	0.418278217
1	0.455572277	1.203464746	1.092948556	-1.312315345	1.422097087
0	-1.192413807	0.296621442	0.287848681	-1.756193638	0.601849675
1	0.16877687	0.905656159	0.453165501	-0.635495722	1.551748753
0	-1.46758163	0.026038945	-0.404098153	-1.877668738	0.199233055
1	-0.344810784	0.551323414	0.407610834	-1.446828604	0.068382233
0	-1.366363525	0.466833681	0.242705896	-1.522213578	-0.082721666
1	-0.832449436	1.066351056	0.643834949	-1.058239698	1.045116544
0	-2.038235664	-0.018070817	-0.085064471	-1.831038475	-0.017306983
1	-1.174304366	0.019843999	0.991173446	-1.263538718	1.043718815
0	-1.215861917	0.619589746	-0.053300858	-2.114846468	-0.529073477
1	-0.054042578	1.541324854	0.507055759	-1.32796371	0.464214623
0	-0.822791398	0.755884767	0.133656323	-2.130481958	-0.275734127
1	-0.381917953	2.249076366	0.574853241	-0.735001445	0.795284748
0	-0.993833959	0.401887327	-0.132510781	-1.598714113	-0.305426538
1	0.25924179	0.258257002	0.625240982	-0.967863262	0.833160818
0	-0.471843898	1.481085539	0.503335834	-1.393436432	-0.388647318
1	0.12071462	0.552336514	0.377410382	-1.293293357	-0.123971686
0	-0.737923026	0.726505816	-0.094799131	-1.892668128	-0.133400291
1	-0.457472384	1.931566477	0.580533922	-1.150107503	2.060972452
0	-1.261551619	0.009116054	-0.445976675	-2.618715525	-0.399764359
1	-0.062666774	1.703987598	0.696611881	-1.230098486	0.487232149
0	-0.976230383	0.120046258	-0.43544507	-2.083054781	-0.351320148
1	-1.755233884	-0.187044516	0.908349872	-1.450570822	1.25303936
0	-1.055378199	0.130618334	-0.029756904	-2.240230322	-0.316078365
1	-0.119913161	0.083466381	1.323528528	-0.843106627	1.798892736
0	-1.168786287	0.265187323	-0.018374205	-2.366565228	-0.432751358
1	-0.413176775	2.230764866	0.591688514	-1.12160635	0.55396378
0	-1.063302755	0.653573394	0.01227957	-2.181861877	-0.469170868
1	0.31211102	2.531243563	0.668105543	-0.778083682	-0.108358786
0	-2.273108721	0.27067095	-0.271472931	-1.789251566	-0.409205079
1	-0.26692602	1.998877406	0.569160461	-1.317825794	1.622325063
0	-2.866641045	0.26216647	-0.133663893	-1.730653524	-0.074775279
1	-0.388483614	1.761872172	0.762222648	-0.855286002	0.69702059
0	-2.132846355	0.262556493	-0.333120704	-1.75140202	-0.302095532
1	0.247022063	1.142248273	0.724641025	-0.807734013	0.844869137
0	-2.498030901	0.48311922	-0.080250889	-1.960098982	-0.386292428
1	0.06801419	1.170747399	0.981953561	-1.011738539	0.980456829
0	-2.479240179	0.478350341	0.445171773	-1.85137558	-0.618242323
1	-0.582174897	2.025834084	1.117236495	-1.270199418	0.758047938
0	-1.341458321	0.233646125	-0.717605114	-2.656724691	-1.481980324
1	0.180348277	2.250475645	0.969284654	-1.224540949	-0.012711078
0	-0.846856415	0.272690207	0.065442324	-1.874995232	-0.844953239
1	0.107952461	1.035056114	1.025164723	-0.425713748	0.191337287
0	-0.975291312	0.39555645	0.197218776	-2.865427017	-0.693023622
1	-0.61453402	2.100514889	1.187666774	-1.831767321	-0.429692358
0	-1.117136002	0.057738304	-0.611163378	-2.378469229	-1.141780615
1	-0.830059171	0.684571564	1.026202321	-1.362368822	0.180140704
0	-1.226651549	0.397018641	-0.83610785	-3.358861923	-0.744514346
1	-0.457947463	0.945644975	0.292640358	-1.303358793	0.416164637
0	-2.072636843	0.202566683	-0.264479876	-1.027461529	-0.383405685
1	-1.166373968	0.82053262	0.994720399	-0.744021595	-0.087901056
0	-1.928312659	0.176832318	-0.286459684	-1.446281791	-0.292731404
1	-0.75197041	2.374573231	0.78139323	-0.630886316	0.041791469
0	-2.012566566	0.228962779	-0.141333342	-0.853169799	-0.297370911
1	0.613545299	0.246969968	0.410040826	-0.686029553	0.80990386
