label	ITGB6	GALNT3	BRI3BP	MCM5	DTX3L
0	0.313256174	0.370745689	-0.235621095	-1.474954844	0.462467074
1	2.309001684	2.123975754	0.015274372	0.302719653	1.666729689
0	0.471060693	0.923698843	-0.195445418	-1.102025747	0.565215349
1	0.004713334	2.03708148	0.543339968	-0.614257813	1.724406958
0	0.41974619	0.677503586	-0.371394038	-1.29430306	0.360195488
1	0.776700377	1.342601061	0.464950114	-0.168607533	1.498321772
0	0.371273726	0.680236936	-0.481837153	-1.299015999	0.811957717
1	2.267266512	2.740335703	0.489353508	-0.508117437	2.081010818
0	0.536282778	1.063242674	-0.37647	-1.068718553	1.010343552
1	0.630331159	1.895680189	0.462444127	0.084857643	1.724770784
0	1.026159883	0.619907081	-1.430465937	-0.578517139	0.524522603
1	4.458573341	2.031590223	0.17353934	0.294613302	2.692616463
0	0.912743092	0.595815897	-1.372219801	-0.431583166	1.105986357
1	1.194307089	0.925543606	-0.143261611	-0.37244457	1.751673341
0	1.289145947	0.480927855	-0.627830207	-0.562096894	0.713970184
1	2.534357786	1.427618861	0.440558553	0.068842009	1.765798688
0	1.387251973	0.849915564	-0.820967793	-0.546379447	1.036262989
1	2.190149307	1.889098525	0.519503534	0.328876942	1.789129496
0	1.642127275	0.86277312	-0.827096879	-0.485118687	0.891756833
1	4.864751339	1.411408424	-0.122925863	-0.21812658	0.845739424
0	-0.598425508	1.632374406	-0.504627228	-1.233136535	0.677837253
1	1.640172243	2.354735374	0.320651621	0.12728703	1.789987445
0	-0.270446539	1.166478992	-0.783097446	-1.206076384	0.869705677
1	0.742696524	3.07014966	1.339546084	0.254188001	1.840376973
0	-0.46422419	0.377648711	-0.65904057	-1.308116674	0.525262713
1	2.000328064	1.343900681	-0.523910403	0.175902262	2.064773321
0	-0.409324229	0.254026175	-0.703101695	-1.275574923	0.940486729
1	2.44214797	1.058960795	0.467015892	-0.389627576	1.769390821
0	-0.393788815	0.234924555	-0.683115363	-1.298243165	0.574569643
1	1.502621889	1.903020144	0.741181135	0.060184389	1.430922508
0	1.05906558	0.135807872	-0.61601305	-1.15044117	1.096585274
1	3.308627129	1.893200874	1.536605835	0.106463924	2.102397919
0	1.243191957	0.583588183	-0.510350049	-1.161240816	1.359298706
1	3.956021786	1.502245307	0.328060389	0.367860645	2.243407249
0	0.760169625	0.530915737	-0.92298162	-1.6181885	0.97987479
1	2.623964787	1.103942871	0.155942455	-0.617724955	2.02685833
0	0.905714512	0.322266698	-0.455829978	-1.243870854	1.349777818
1	2.079640388	1.445514083	0.658993959	0.547472477	2.448174
0	1.018586397	0.01579994	-0.737073898	-1.497206926	0.690112114
1	0.006626505	2.269436836	0.262508541	-1.752451539	1.295906901
0	0.787583053	-0.379068851	-0.667892575	-1.16179955	0.243237793
1	2.265797853	1.035376191	0.073557049	-0.219762146	2.006075859
0	1.306454539	0.0161587	-0.515180171	-1.035991907	0.495112091
1	3.966039419	1.614144444	0.613389671	0.1228652	2.327829838
0	1.231639981	-0.232197106	-0.641736686	-1.161910295	0.420841098
1	4.369801521	1.404757142	0.678164124	0.198854282	0.929441392
0	1.470744848	0.618354321	-0.364675879	-0.224870086	1.444922924
1	1.449676514	-0.010747256	0.278053701	-0.285055876	1.022480965
0	1.115424991	0.370483756	-0.624852896	-0.965094686	0.531666219
1	4.003685474	1.035995126	0.837502062	-0.571128905	1.263315082
0	0.442005247	0.401942194	-1.89505434	-0.966122687	0.644233465
1	2.658004761	1.082657576	0.259681135	0.21603407	2.253533363
0	0.413988054	0.623245955	-1.278110504	-0.851183414	1.107959986
1	0.514256477	1.336273313	0.134613633	-1.670086384	1.59279716
0	0.228860319	0.452313751	-1.328728437	-1.045222282	0.807080448
1	0.996250749	3.597538471	2.063899279	0.291041434	0.788036942
0	0.489236683	0.486900002	-1.477745056	-0.903721154	1.020098329
1	2.874352455	0.696260035	-0.070045412	0.162666738	2.497994661
0	0.220656335	0.393262863	-0.488236964	-0.819533885	1.258968353
1	1.354855537	1.029180527	0.333823889	0.32157132	1.926936984
0	0.838611662	0.691247821	-0.739682794	-1.192272186	0.865483284
1	3.77302289	1.929472208	0.555720091	-0.054268152	2.007889986
0	1.468236208	0.949982166	-0.254310191	-1.028423429	0.607928336
1	1.919324398	2.04309845	0.048163846	-0.071812272	2.369068623
0	1.166551948	0.774466038	-0.643934369	-0.957961798	0.761635005
1	3.39774704	1.703666568	0.041265011	0.434472859	2.0050807
0	1.349768162	0.709147513	-0.625897288	-1.030931115	1.088836193
1	2.259754419	2.013532877	0.896395206	0.492331386	1.033014774
0	1.165034175	0.69171679	-0.479235411	-0.951472461	1.011683583
1	1.826550722	1.041061401	0.670699954	-0.322245926	1.99517858
