label	ITGB6	MCM2	TNC	TAP2	TMEM164
0	0.313256174	-1.65205121	2.219102383	0.84112674	-1.754061937
1	2.309001684	-0.09538091	3.12766695	2.433768272	-0.038927346
0	0.471060693	-1.229517221	1.377407074	0.897188365	-1.349037409
1	0.004713334	-0.722047031	1.754014492	2.192864656	0.591594636
0	0.41974619	-1.496409535	1.88615346	1.018987894	-1.179061651
1	0.776700377	-0.467606425	2.043893814	1.680191159	0.375839293
0	0.371273726	-1.215014458	1.363446116	1.236768603	-0.82939899
1	2.267266512	-0.692616343	2.398157358	2.283615112	0.226023018
0	0.536282778	-1.228425622	1.297099233	1.380226016	-0.743433356
1	0.630331159	-0.181729108	3.286874056	1.931826591	0.042924333
0	1.026159883	-1.276878357	1.776999474	0.677586854	-0.045131445
1	4.458573341	0.198702648	3.281508446	1.936249852	0.783154726
0	0.912743092	-1.188289642	2.078603745	0.891405761	0.398793936
1	1.194307089	-0.788410425	2.804315567	2.19474864	0.720241606
0	1.289145947	-1.241638422	2.059020281	0.943247378	0.669635773
1	2.534357786	0.002295762	2.543996811	1.821562767	1.030178308
0	1.387251973	-1.251323462	1.465186357	1.096037149	0.183371574
1	2.190149307	0.17858471	1.806759477	1.286272168	0.624047637
0	1.642127275	-1.102717161	0.991661549	0.892223358	0.1132465
1	4.864751339	-0.52354604	3.53293252	0.99930352	-0.388580799
0	-0.598425508	-0.91078949	1.16239059	0.565815628	-1.894329548
1	1.640172243	0.05342029	1.980042934	2.220622301	-0.231018126
0	-0.270446539	-0.821658194	1.561054587	0.924261808	-1.510135889
1	0.742696524	0.158691823	1.301140428	0.969711006	0.152053848
0	-0.46422419	-0.890841603	1.468547821	0.406269491	-1.702886701
1	2.000328064	0.052144311	3.345842361	2.209697008	-0.819009662
0	-0.409324229	-0.455595434	2.297178507	0.980633795	-1.565252304
1	2.44214797	-0.300229996	2.581629276	2.385231733	-0.845387876
0	-0.393788815	-1.069245696	1.915791631	0.701118529	-1.781422734
1	1.502621889	-0.080282278	2.304773569	1.788859129	0.381122619
0	1.05906558	-0.997457504	2.150855541	0.721051574	-1.46224606
1	3.308627129	0.1467994	2.573683977	1.736495018	0.461987793
0	1.243191957	-0.96568042	1.997610331	0.846191347	-1.083419561
1	3.956021786	0.321228594	3.567525625	1.109830141	1.166185498
0	0.760169625	-1.377399087	1.332455158	0.379903436	-0.414395571
