label	ITGB6	MCM6	HIST1H2BL	PARP9
0	0.313256174	-1.209465146	-0.273287237	0.371230334
1	2.309001684	0.216328114	0.416630834	2.295344114
0	0.471060693	-0.841658711	0.322065115	0.725461304
1	0.004713334	-0.422576815	0.476556957	1.97429359
0	0.41974619	-1.072680593	-0.091512024	0.404896289
1	0.776700377	-0.326920271	1.151044369	1.846786022
0	0.371273726	-0.943890929	-0.254222512	1.077204227
1	2.267266512	-0.311317593	-0.407959372	2.303710699
0	0.536282778	-0.97657299	-0.348376781	1.35367012
1	0.630331159	0.165917516	0.3568995	2.225012541
0	1.026159883	-1.150102139	-0.416960776	-0.084830046
1	4.458573341	0.277530253	0.07231272	1.250296116
0	0.912743092	-1.341035128	0.31501478	0.399873495
1	1.194307089	-0.657647431	0.399106085	0.970332205
0	1.289145947	-1.210594416	-0.425304592	0.021058679
1	2.534357786	0.05488997	0.382120937	0.987070143
0	1.387251973	-1.097978354	-0.350860149	0.564588189
1	2.190149307	0.258766353	0.827733815	0.946874976
0	1.642127275	-1.065346241	0.406017363	0.444253892
1	4.864751339	-0.472477436	0.042393193	0.53614068
0	-0.598425508	-1.315065026	-2.072767496	0.854972661
1	1.640172243	0.221329331	-0.828882217	2.529837608
0	-0.270446539	-1.249441624	-1.110349178	1.260317087
1	0.742696524	0.259086996	-0.65785557	2.71620369
0	-0.46422419	-1.3563025	-0.786138535	0.644534945
1	2.000328064	-0.056100897	-2.233522415	2.913050413
0	-0.409324229	-1.259716034	-2.342217684	1.096656561
1	2.44214797	-0.478859484	-1.44624579	2.334459543
0	-0.393788815	-1.385263324	-1.525907159	0.602496624
1	1.502621889	0.087094709	-0.937959731	2.213443279
0	1.05906558	-0.376661271	-1.743377805	0.992398262
1	3.308627129	0.329365969	-0.392364025	2.181180954
0	1.243191957	-0.631676733	-1.949000835	1.133324623
1	3.956021786	0.27903685	-1.731468201	1.99627912
0	0.760169625	-0.689326644	-1.508683801	1.207142472
1	2.623964787	-0.530996442	0.794178188	1.826789498
0	0.905714512	-0.528147399	-1.658738136	1.303695083
1	2.079640388	0.366850793	-0.865605295	2.150974512
0	1.018586397	-0.755354166	-0.75263238	0.917874396
1	0.006626505	-1.538635731	-0.765260041	1.194555998
0	0.787583053	-0.76104331	-2.103392363	0.689424515
1	2.265797853	-0.102676898	-1.415622234	2.467408657
0	1.306454539	-0.807893455	-2.170265436	0.912768364
1	3.966039419	0.140846148	-0.7722646	2.780088902
0	1.231639981	-0.984266937	-2.129774094	0.903266966
1	4.369801521	0.237192899	-0.214369178	1.282796502
0	1.470744848	-0.101531684	-1.173010111	1.761286259
1	1.449676514	-0.219654799	0.217009783	1.338348866
0	1.115424991	-0.548948169	-1.320427299	1.165652156
1	4.003685474	-0.569201112	-0.593737245	1.802457333
0	0.442005247	-1.199482203	-1.525044918	0.640692592
1	2.658004761	0.190117359	-0.111441404	2.433363199
0	0.413988054	-0.853048086	-1.4660604	0.745912552
1	0.514256477	-1.979196191	0.224045157	0.852697849
0	0.228860319	-1.090747595	-1.060543299	0.712621212
1	0.996250749	0.204390332	-0.068387374	0.9713732
0	0.489236683	-1.062567472	-1.459171772	0.708705902
