label	ITGB6	TAPBP	SLC1A5	DSG2	PCNA
0	0.313256174	0.807850361	-1.36263299	-0.305529237	-1.526701689
1	2.309001684	2.718449354	1.003654957	1.325640321	-0.45225814
0	0.471060693	0.983186901	-0.55396235	0.234257817	-1.342477322
1	0.004713334	2.20689702	0.214685783	1.119364381	-0.581233263
0	0.41974619	0.88426882	-1.434107661	-0.270558715	-1.304601073
1	0.776700377	2.153261185	-0.110114634	-0.308179438	-0.523021877
0	0.371273726	1.171175838	-0.731638908	-0.209790826	-1.280190468
1	2.267266512	2.41665864	-0.224607348	1.765385509	-0.269186229
0	0.536282778	1.435940385	-0.329224497	0.009177953	-1.451393843
1	0.630331159	2.224543333	0.295734674	1.350577712	0.223326772
0	1.026159883	0.529396713	-0.846599281	-0.150830805	-1.127516985
1	4.458573341	1.613634825	0.395445406	1.016896605	0.010396279
0	0.912743092	0.667426109	-0.708351374	-0.152759194	-1.162680864
1	1.194307089	2.151438236	0.42202121	-0.432926536	-0.048939317
0	1.289145947	0.843546748	-0.472448885	-0.198784769	-1.364229202
1	2.534357786	1.931340933	1.219447494	1.273464918	-0.231530935
0	1.387251973	0.972361922	-0.681707025	-0.046463281	-1.058426619
1	2.190149307	1.441282988	0.692743838	1.613749743	-0.368432015
0	1.642127275	0.772709012	-0.717670619	-0.079323351	-1.103184462
1	4.864751339	1.214252949	0.204083294	2.130873919	-0.798343539
0	-0.598425508	0.676548541	-0.666052818	-0.640863538	-1.356753111
1	1.640172243	2.005042315	0.639981031	0.369033128	0.323846787
0	-0.270446539	1.039679646	-0.67033428	-0.737461388	-1.281761646
1	0.742696524	1.306990981	0.509231031	1.34218967	-0.372528672
0	-0.46422419	0.762999535	-1.468774676	-1.04348278	-1.241255522
1	2.000328064	1.832586288	1.00528872	0.355653048	-0.019209258
0	-0.409324229	0.971723735	-1.171497822	-0.966256559	-1.503525019
1	2.44214797	2.749274015	-0.252125233	-0.234403104	-0.711405694
0	-0.393788815	1.057682872	-1.551015496	-1.24414885	-1.336546183
1	1.502621889	2.080290794	0.379817903	0.514907062	-0.037699394
0	1.05906558	1.352128029	-0.137483567	0.418278217	-0.887356281
1	3.308627129	3.013264179	-0.460629523	1.422097087	0.083298676
0	1.243191957	1.62987566	-0.275674701	0.601849675	-1.1985116
1	3.956021786	2.493025064	0.349574447	1.551748753	0.019172218
0	0.760169625	0.690085471	-0.774101138	0.199233055	-1.484787345
1	2.623964787	2.172764063	0.082588464	0.068382233	-0.267725229
0	0.905714512	1.910974979	-0.710547447	-0.082721666	-0.948931456
1	2.079640388	2.790539026	0.766144633	1.045116544	0.12910521
0	1.018586397	0.584893465	-0.569479465	-0.017306983	-1.45447588
1	0.006626505	1.962877631	1.650708675	1.043718815	-1.621362448
0	0.787583053	0.960651219	-1.680831909	-0.529073477	-1.321949005
1	2.265797853	2.376552582	0.304424912	0.464214623	0.077734232
0	1.306454539	1.140609264	-1.08185792	-0.275734127	-1.334819317
1	3.966039419	2.762585878	0.614338934	0.795284748	0.181347251
0	1.231639981	0.839582384	-1.091038227	-0.305426538	-1.427562237
1	4.369801521	1.311061263	0.236850381	0.833160818	0.069775283
0	1.470744848	1.825005293	0.316378444	-0.388647318	-0.466059923
1	1.449676514	1.138261557	0.06339287	-0.123971686	0.024242844
0	1.115424991	1.120631695	-0.789969087	-0.133400291	-1.104138136
1	4.003685474	2.828764677	-1.745210052	2.060972452	-0.295150191
0	0.442005247	0.824085116	-0.409575999	-0.399764359	-1.248027802
1	2.658004761	4.103230953	-0.149703741	0.487232149	0.237529963
0	0.413988054	1.143833995	-0.780823588	-0.351320148	-1.267101288
1	0.514256477	1.922247767	1.152009368	1.25303936	-1.546094775
0	0.228860319	1.086618185	-0.779560983	-0.316078365	-1.163786411
1	0.996250749	2.918932915	0.827616572	1.798892736	0.371217102
0	0.489236683	1.688920617	-0.316489995	-0.432751358	-1.050370216
1	2.874352455	3.337193489	0.57496208	0.55396378	-0.126566589
