label	KRT222	TAPBP	STAT1	DSG2	PCNA
0	0.303857595	0.807850361	0.097767651	-0.305529237	-1.526701689
1	2.892757416	2.718449354	1.773054719	1.325640321	-0.45225814
0	1.206400037	0.983186901	0.297798812	0.234257817	-1.342477322
1	1.079678774	2.20689702	1.050207019	1.119364381	-0.581233263
0	0.82231313	0.88426882	-0.09841311	-0.270558715	-1.304601073
1	0.903857112	2.153261185	1.090641737	-0.308179438	-0.523021877
0	0.645805895	1.171175838	0.106029809	-0.209790826	-1.280190468
1	1.387335062	2.41665864	1.801517844	1.765385509	-0.269186229
0	0.867430151	1.435940385	0.490628242	0.009177953	-1.451393843
1	3.651762009	2.224543333	1.176905155	1.350577712	0.223326772
0	0.580275357	0.529396713	0.02584213	-0.150830805	-1.127516985
1	1.899082422	1.613634825	1.622996449	1.016896605	0.010396279
0	0.519782364	0.667426109	0.371633708	-0.152759194	-1.162680864
1	1.524213791	2.151438236	1.757753372	-0.432926536	-0.048939317
0	0.456872046	0.843546748	0.070108116	-0.198784769	-1.364229202
1	2.625249863	1.931340933	1.350774765	1.273464918	-0.231530935
0	0.491817713	0.972361922	0.485020518	-0.046463281	-1.058426619
1	2.644108295	1.441282988	0.34365648	1.613749743	-0.368432015
0	1.505544186	0.772709012	0.364710301	-0.079323351	-1.103184462
1	3.033227205	1.214252949	0.227240548	2.130873919	-0.798343539
0	1.492314816	0.676548541	0.123364091	-0.640863538	-1.356753111
1	1.268610954	2.005042315	1.91262579	0.369033128	0.323846787
0	0.758735299	1.039679646	0.388488412	-0.737461388	-1.281761646
1	3.347707987	1.306990981	0.539048135	1.34218967	-0.372528672
0	0.247330338	0.762999535	0.167286456	-1.04348278	-1.241255522
1	0.702491701	1.832586288	1.211644411	0.355653048	-0.019209258
0	0.078859389	0.971723735	0.609559953	-0.966256559	-1.503525019
1	1.85224998	2.749274015	2.222038984	-0.234403104	-0.711405694
0	-0.54851222	1.057682872	0.260511041	-1.24414885	-1.336546183
1	1.372642756	2.080290794	1.659455657	0.514907062	-0.037699394
0	-0.250914842	1.352128029	0.333365113	0.418278217	-0.887356281
1	3.640089035	3.013264179	1.203464746	1.422097087	0.083298676
0	0.590571284	1.62987566	0.296621442	0.601849675	-1.1985116
1	0.983941495	2.493025064	0.905656159	1.551748753	0.019172218
0	0.330456257	0.690085471	0.026038945	0.199233055	-1.484787345
1	0.63539958	2.172764063	0.551323414	0.068382233	-0.267725229
0	-0.172670141	1.910974979	0.466833681	-0.082721666	-0.948931456
1	1.43783474	2.790539026	1.066351056	1.045116544	0.12910521
0	-0.213335395	0.584893465	-0.018070817	-0.017306983	-1.45447588
1	2.500722647	1.962877631	0.019843999	1.043718815	-1.621362448
0	0.333234966	0.960651219	0.619589746	-0.529073477	-1.321949005
1	1.89070797	2.376552582	1.541324854	0.464214623	0.077734232
0	0.451509535	1.140609264	0.755884767	-0.275734127	-1.334819317
1	1.97477603	2.762585878	2.249076366	0.795284748	0.181347251
0	0.208285809	0.839582384	0.401887327	-0.305426538	-1.427562237
1	1.522476315	1.311061263	0.258257002	0.833160818	0.069775283
0	0.204606295	1.825005293	1.481085539	-0.388647318	-0.466059923
1	0.676508129	1.138261557	0.552336514	-0.123971686	0.024242844
0	0.530590653	1.120631695	0.726505816	-0.133400291	-1.104138136
1	4.165762901	2.828764677	1.931566477	2.060972452	-0.295150191
0	0.055161893	0.824085116	0.009116054	-0.399764359	-1.248027802
1	2.332766056	4.103230953	1.703987598	0.487232149	0.237529963
0	0.832748115	1.143833995	0.120046258	-0.351320148	-1.267101288
1	1.670528769	1.922247767	-0.187044516	1.25303936	-1.546094775
0	0.027872443	1.086618185	0.130618334	-0.316078365	-1.163786411
1	2.816008806	2.918932915	0.083466381	1.798892736	0.371217102
0	-0.151823163	1.688920617	0.265187323	-0.432751358	-1.050370216
1	0.412874192	3.337193489	2.230764866	0.55396378	-0.126566589
0	-0.159944475	2.216605425	0.653573394	-0.469170868	-1.17149806
1	0.574310243	4.114820957	2.531243563	-0.108358786	0.594874382
0	0.028769791	0.551520586	0.27067095	-0.409205079	-1.695406437
1	2.625308752	2.576301813	1.998877406	1.622325063	0.25343138
0	-0.006681383	0.825503707	0.26216647	-0.074775279	-1.604228735
1	1.367376924	2.822438478	1.761872172	0.69702059	-0.222420812
0	0.03973031	0.626835763	0.262556493	-0.302095532	-1.649631143
1	1.073969841	2.496433496	1.142248273	0.844869137	-0.085452631
0	0.215322822	1.057978392	0.48311922	-0.386292428	-1.577664375
1	0.469780058	1.631106973	1.170747399	0.980456829	0.796514392
0	-0.21538125	1.415796399	0.478350341	-0.618242323	-1.393775105
1	1.692293882	2.953146696	2.025834084	0.758047938	-0.217253834
0	-0.180952877	1.180635929	0.233646125	-1.481980324	-1.10167551
1	0.937626243	2.95720768	2.250475645	-0.012711078	0.207674369
0	-0.402573168	1.282387018	0.272690207	-0.844953239	-0.729652584
1	1.104990482	2.276283979	1.035056114	0.191337287	0.329567015
0	0.006409228	1.156590462	0.39555645	-0.693023622	-0.685486853
1	1.367265463	3.317192316	2.100514889	-0.429692358	-0.305856198
0	-0.162407994	0.726740718	0.057738304	-1.141780615	-1.161834478
1	2.059998035	1.807613134	0.684571564	0.180140704	-0.281357348
0	0.133429676	0.911969662	0.397018641	-0.744514346	-0.788303971
1	0.112616286	1.372439861	0.945644975	0.416164637	-0.358930856
0	-0.963749886	0.705731153	0.202566683	-0.383405685	-1.315433025
1	0.900649846	1.67526269	0.82053262	-0.087901056	-0.729221046
0	-0.826382637	0.795733571	0.176832318	-0.292731404	-1.331436753
1	-0.585870624	2.510072708	2.374573231	0.041791469	0.583407879
0	-0.91287291	0.76336211	0.228962779	-0.297370911	-1.136242747
1	1.45325911	0.914876819	0.246969968	0.80990386	0.224176124
0	-0.368573666	0.916545808	0.58962208	-0.133175611	-1.018575191
1	0.319902152	2.598627806	2.321192741	1.067944407	-0.339104533
0	0.48538515	0.988290548	0.597669005	-0.741659343	-1.094705582
1	1.630411506	2.779621124	2.101021051	0.370285422	0.228859857
0	0.020353675	1.295365453	0.78613472	-0.486379623	-0.891454101
1	3.107398033	1.860164046	1.949337959	1.771869421	0.534398913
0	0.408790946	0.837418854	0.349538982	-0.452958107	-0.749860406
1	0.411591053	1.406944752	0.358081043	-0.059192166	-0.345544636
0	0.475378394	0.924338579	0.771946788	-0.54833436	-0.878305197
1	0.619342864	2.003752947	1.742807865	0.178936675	-0.159120977
0	0.356880128	1.165494919	0.54558301	-0.541176677	-0.920176506
1	1.488674045	2.166648388	2.205784559	0.269873679	-0.127026215
0	-0.057861716	0.605858743	0.134088069	-0.480536133	-2.491471291
1	2.862197399	2.539577484	1.639814138	0.415899873	-0.279529989
0	-0.661641896	0.617028713	0.198959231	-0.713346183	-2.232858181
1	1.03466773	0.718364239	0.345622838	-0.025062591	-0.327097297
0	-0.291868031	0.811311364	0.332328916	-0.653140008	-2.547429323
1	0.945307136	1.278796554	1.20869875	0.722135127	-0.369138986
0	-0.713986576	0.435592175	-0.043890476	-0.615871847	-2.102891207
1	0.062554039	1.42275548	1.051996112	0.57636112	-0.150854558
0	-0.166198522	0.654487908	0.289471358	-0.45189479	-2.591146469
1	0.722096026	0.404759109	0.618515968	1.028375149	-0.422570169
0	-0.959193587	-0.036518812	0.389277548	-0.598972917	-1.122507811
1	1.904569626	1.015223265	1.829363823	1.051846504	-0.352444649
0	1.379742622	-0.30035606	0.293649942	0.696398497	-1.092217207
1	-0.369919181	0.744445145	1.608962059	0.868100166	0.379310369
0	1.560472727	-0.654826522	0.181248605	0.438636333	-1.113160014
1	2.127771139	1.266632557	1.296374917	1.130260706	-0.00929936
0	1.96597147	-0.429276943	0.289457232	0.438337743	-1.032353401
1	1.044059157	1.796957374	2.327685595	0.160891682	-0.462862134
0	-0.573462129	0.36540845	0.466135085	-0.477254122	-1.191961527
1	0.15581812	0.985305429	1.740091681	0.316531062	-0.203677297
0	-0.686597466	0.82384336	0.169929326	-0.337367892	-1.144297957
1	2.281266689	1.761687875	1.327350736	1.285370946	-0.200825796
0	-0.112767488	1.020944953	0.245635957	-0.055053025	-1.18411839
1	1.620202899	1.230705738	0.643706799	1.403747559	-0.072393999
0	-0.220511913	0.848935127	0.304694772	-0.335341573	-1.185073137
1	0.371438146	1.314005852	1.694074035	0.705948472	0.181756049
0	-0.210770309	1.516008377	0.474844754	-0.312020779	-1.15236032
1	2.210078001	1.20326066	0.835220337	1.257554412	-0.796816349
0	-0.301196903	1.450560927	0.436044246	-0.097703904	-1.282087564
1	1.449478626	3.488175154	2.318647623	0.34975633	0.364316344
0	0.482811987	0.929373443	0.488228202	-0.001676202	-1.719447851
1	0.612911522	1.802065849	1.049506307	0.25951311	-0.662763059
0	0.153972119	1.537839532	0.758831143	-0.087524623	-1.428100586
1	2.481805086	2.863441944	2.033777714	0.969539165	-0.674036562
0	0.395699799	1.324238777	0.518492937	-0.071150303	-1.331899762
1	1.162087798	1.805082679	1.332660198	0.929252684	0.149202108
0	0.043332458	1.660576582	1.056998134	-0.176292777	-1.100604653
1	0.653942227	2.262056828	1.498697996	1.462615728	0.143128559
0	0.469875693	1.416597128	0.637693107	0.103275537	-1.207689404
1	1.473373413	2.377917051	1.45830214	-0.815547705	-0.419736534
0	0.23569262	0.629255891	0.004235983	0.472581804	-1.24885726
1	2.458889961	2.067126751	2.213387966	2.625505447	0.325998247
0	0.301262856	0.264720261	0.142399132	0.493129581	-1.013924003
1	0.968461037	2.429265022	1.10284853	1.296031356	-0.25727886
0	0.151544958	0.399310887	0.030898362	0.221424788	-1.160824418
1	0.76199609	0.94244349	0.402306527	0.627634048	-0.552601218
0	0.712834477	0.526521504	0.230997384	0.083018899	-1.399194956
1	1.680097818	2.325900078	1.982606411	1.017131805	0.42051059
0	0.45369491	1.482106209	1.262732148	0.113613367	-1.108994126
1	2.078954935	2.163784027	1.364610553	1.804985285	-0.251684099
0	0.722113967	0.712233126	0.191167861	-0.354961038	-1.153396726
1	1.778328419	1.68808341	0.675278723	0.114536613	-0.353282928
0	2.944037437	1.118844748	0.123972118	-0.655187726	-1.251629829
1	3.963524103	4.026568413	2.328418255	0.378124058	-0.571228087
0	1.697158694	1.301348448	0.365563273	-0.61464721	-1.077323198
1	1.078204751	2.152613878	1.381690741	-0.487177968	0.159968704
0	2.003649712	1.028847098	0.209674239	-0.50349921	-1.077407837
1	1.652644753	1.920557499	0.589299798	-0.13707149	-0.595868945
0	0.613719881	1.816155434	0.626433969	-0.972006679	-1.029685736
1	0.998790622	3.37463069	1.604115725	0.915634453	0.342160314
