label	MCM2	MCM3	BRI3BP	OCIAD2	DCUN1D1
0	-1.65205121	-1.480299711	-0.235621095	-1.235901117	-1.073244929
1	-0.09538091	0.272854954	0.015274372	0.970464885	-1.372361183
0	-1.229517221	-1.157233	-0.195445418	-1.016220808	-0.855153084
1	-0.722047031	-0.593898237	0.543339968	1.48278749	-0.093061186
0	-1.496409535	-1.384581447	-0.371394038	-1.79041183	-1.334696174
1	-0.467606425	-0.328319609	0.464950114	0.500713825	-0.497333288
0	-1.215014458	-1.247452736	-0.481837153	-0.557671785	-1.361776352
1	-0.692616343	-0.485148162	0.489353508	2.258792639	0.16914767
0	-1.228425622	-1.325376034	-0.37647	-0.312721997	-1.24202013
1	-0.181729108	0.160648137	0.462444127	1.675366282	0.27248767
0	-1.276878357	-0.767164886	-1.430465937	0.137041271	-0.625910342
1	0.198702648	0.235517681	0.17353934	-0.11044354	0.343612671
0	-1.188289642	-0.949138999	-1.372219801	-0.30404067	-0.981678486
1	-0.788410425	-0.382871032	-0.143261611	0.366795301	-0.599531293
0	-1.241638422	-1.029073715	-0.627830207	0.000310123	-0.805419862
1	0.002295762	0.0931205	0.440558553	0.381907523	-0.034476399
0	-1.251323462	-0.844292164	-0.820967793	-0.39732185	-1.099717498
1	0.17858471	0.302067339	0.519503534	0.734054446	-0.358729392
0	-1.102717161	-0.850053728	-0.827096879	-0.102546632	-0.841245472
1	-0.52354604	-0.224250808	-0.122925863	1.759076715	0.124573112
0	-0.91078949	-1.192556381	-0.504627228	-0.391295731	-0.567052007
1	0.05342029	0.038115509	0.320651621	0.783035696	0.300935626
0	-0.821658194	-1.14489913	-0.783097446	-0.772269547	-0.710847437
1	0.158691823	0.117468476	1.339546084	0.887089193	0.088984132
0	-0.890841603	-1.194360852	-0.65904057	-0.98111701	-0.907780886
1	0.052144311	0.092469297	-0.523910403	0.795662463	-0.962508678
0	-0.455595434	-1.171896458	-0.703101695	-1.108512402	-0.884455144
1	-0.300229996	-0.455299735	0.467015892	0.013050742	-0.194090188
