	cancer~0	cancer~1	cancer~2	cancer~3	cancer~4	cancer~5	cancer~6	cancer~7	cancer~8	immune~0	immune~1	immune~2	immune~3	immune~4	immune~5	immune~6	immune~7	others~0	others~1	others~10	others~11	others~2	others~3	others~4	others~5	others~6	others~7	others~8	others~9
Set-01-1-N	0.005305081	0.0	0.0	0.025967787000000003	0.04850314	0.119392653	0.0	0.0	0.085962944	0.010721648	0.01348382	0.0	0.086945804	0.09488341300000001	0.0	0.019644382	0.091044674	0.0	0.108655729	0.0	0.10370153300000001	0.07633108799999999	0.0	0.0	0.10945630199999999	0.0	0.0	0.0	0.0
Set-01-2-T	0.095879394	0.0	0.0	0.089819754	0.048078947999999996	0.0	0.0	0.08414500300000001	0.075941853	0.0	0.075144734	0.023237942999999997	0.015381467	0.016550738	0.0	0.050460698	0.08995877599999999	0.0	0.114932134	0.0	0.040640581	0.069849194	0.0	0.031950993	0.065788288	0.0	0.0077115890000000005	0.0	0.004527911
Set-01-3-N	0.098687396	0.0	0.139778379	0.015420958	0.004895167	0.131211416	0.011495098999999998	0.0	0.026862264	0.036878334	0.053553159	0.0	0.04453585	0.06004722	0.010308237	0.010336926	0.053060641	0.014490573	0.079319284	0.014115184	0.07749225	0.087532728	0.0	0.0	0.015825646999999998	0.0	0.0	0.014153289	0.0
Set-01-4-T	0.13535756599999998	0.0	0.0	0.070463355	0.116669967	0.038992542000000005	0.0	0.0	0.09411751199999999	0.033184647000000005	0.038907288	0.0	0.0	0.0	0.019329926	0.021371374	0.037906031	0.0	0.14802127	0.0	0.062656478	0.088597464	0.0	0.058094581	0.034248397	0.0	0.002081602	0.0	0.0
Set-01-5-N	0.028077269	0.0	0.080601668	0.043484431	0.069929945	0.040356714	0.0	0.0	0.094622829	0.0	0.094937075	0.064818769	0.069142423	0.090885425	0.0021637270000000003	0.0	0.026396034	0.0	0.12177574599999999	0.0	0.0	0.08843869	0.0	0.0	0.062633633	0.0	0.021735622000000003	0.0	0.0
Set-01-6-T	0.085610597	0.0	0.094745941	0.04477476	0.089044854	0.122418897	0.0	0.0	0.011558226999999999	0.033004517000000004	0.095298766	0.0	0.06637283599999999	0.0032112079999999997	0.028835128999999998	0.0	0.026746046000000002	0.0	0.09860815	0.0	0.016587815	0.046353362	0.0	0.041725844	0.046105455	0.0	0.038816266	0.0	0.010181331
Set-01-7-N	0.07337515	0.0	0.014563095	0.080854174	0.02143269	0.12065408300000001	0.0	0.0	0.09157002	0.013272353999999998	0.029933666	0.0	0.0	0.074357877	0.0	0.0	0.11856253800000001	0.0	0.08748085900000001	0.0	0.05357213	0.076202971	0.0	0.0	0.070622696	0.0	0.041189721	0.032355976	0.0
Set-01-8-T	0.107728531	0.0	0.081853386	0.088394476	0.033769125	0.10462461699999999	0.0	0.0	0.063937903	0.046893104000000005	0.0	0.0	0.057628667	0.03314708	0.0	0.010533308	0.080755458	0.0	0.119095125	0.0	0.0032049709999999996	0.095632867	0.0	0.045264295999999996	0.027537085	0.0	0.0	0.0	0.0
Set-01-9-N	0.055066486	0.0	0.0	0.06353968900000001	0.0	0.107106618	0.0	0.0	0.031763514	0.073745716	0.07246330299999999	0.0	0.082060968	0.047245477	0.0	0.0	0.088570207	0.0	0.07689135400000001	0.0	0.040172032999999996	0.114930745	0.0	0.057408451	0.08903544	0.0	0.0	0.0	0.0
Set-01-10-T	0.10804759800000001	0.0	0.082120565	0.062340058	0.090209891	0.119926049	0.0	0.0	0.059680577	0.017875476	0.012102187	0.0	0.029229747	0.043246545	0.006036366	0.000567589	0.041158053	0.0	0.145997002	0.0	0.009144078	0.08122536400000001	0.0	0.0	0.091092855	0.0	0.0	0.0	0.0
Set-02-1-N	0.085879112	0.0	0.0	0.052362566	0.050337611	0.08683781	0.0	0.0	0.01408337	0.083640727	0.066015278	0.0	0.097371557	0.033142927999999995	0.031759433999999996	0.03207888	0.08594974400000001	0.0	0.086492758	0.0	0.031605467000000005	0.10382284	0.0	0.022627046	0.009479036	0.0	0.024199756	0.0023140820000000003	0.0
Set-02-2-T	0.12873177	0.0	0.09014639599999999	0.08409131800000001	0.089546976	0.062608752	0.0	0.0	0.024161382999999998	0.0	0.08851733099999999	0.0	0.06201204	0.051747638	0.0	0.0	0.086781155	0.0	0.11238992199999999	0.0	0.0	0.054181283	0.0	0.0	0.065084036	0.0	0.0	0.0	0.0
Set-02-3-N	0.095583566	0.0	0.0	0.043059297	0.069708705	0.061945269000000004	0.0	0.0	0.0	0.073994377	0.026129364	0.056695925999999994	0.0	0.044009432	0.039946374	0.0	0.068418033	0.0	0.076556332	0.0	0.10652299400000001	0.15144918	0.0	0.0	0.071677617	0.0	0.0	0.0	0.014303535
Set-02-4-T	0.112333203	0.0	0.060559282	0.068835513	0.059797290999999995	0.085603101	0.0	0.0	0.049614658	0.0	0.058805773	0.009363098	0.080606599	0.013405617	0.04484424099999999	0.02815497	0.040769199	0.0	0.10496493800000001	0.0	0.026460449	0.065659592	0.0	0.032597298999999996	0.057625178	0.0	0.0	0.0	0.0
Set-02-5-N	0.037155757000000005	0.0	0.074917323	0.085370565	0.033378693	0.092810362	0.0	0.0	0.014536486000000001	0.0	0.037640433	0.007908466	0.006087223	0.08436000699999999	0.031378728	0.06987367900000001	0.094848179	0.0	0.07104350599999999	0.0	0.075197566	0.084878847	0.0	0.018672978	0.079941203	0.0	0.0	0.0	0.0
Set-02-6-T	0.12283277199999999	0.0	0.038459938	0.147776564	0.0	0.07994539099999999	0.0	0.078755959	0.087272484	0.015068855	0.027004182999999998	0.0	0.045011199999999994	0.0019743779999999997	0.0	0.002487226	0.050404135999999995	0.0	0.167008732	0.0	0.0	0.07511	0.0	0.0	0.060888183	0.0	0.0	0.0	0.0
Set-02-7-N	0.049477634000000006	0.0	0.04368861	0.10065846099999999	0.102183644	0.011383482	0.0	0.0	0.019383606	0.022549092000000003	0.08698433800000001	0.0	0.098924401	0.068565373	0.0	0.084826024	0.096374271	0.0	0.084490866	0.0	0.010248172	0.062444427999999996	0.0	0.0	0.044659132000000004	0.0	0.0	0.0	0.013158464
Set-02-8-T	0.140066581	0.0	0.020593861	0.126214283	0.132926448	0.030071143999999998	0.07350541599999999	0.0	0.014039938	0.0	0.076415725	0.010429487	0.021253993	0.031100245	0.0	0.015264972	0.04745497	0.0	0.156465616	0.0	0.0	0.03706092	0.0	0.0	0.067136401	0.0	0.0	0.0	0.0
Set-02-9-N	0.139315057	0.0	0.0	0.074816979	0.07731224	0.096032456	0.0	0.0	0.02138069	0.0	0.044808258	0.061795893	0.03085653	0.02752384	0.012497652	0.038900244	0.069213567	0.0	0.07603118	0.0	0.069787444	0.102778461	0.0	0.0	0.056949507999999996	0.0	0.0	0.0	0.0
Set-02-10-T	0.117392993	0.0	0.09663273900000001	0.10507903	0.08201507	0.062200503	0.0	0.0	0.011583867	0.0	0.033867326	0.043297298	0.041238062	0.0	0.001217872	0.02606453	0.057703215999999995	0.0	0.11036421699999999	0.0	0.063161737	0.043090280999999994	0.0	0.022745694	0.08234556400000001	0.0	0.0	0.0	0.0
Set-03-1-N	0.09796503	0.0	0.0	0.05858779	0.06157612	0.124522124	0.0	0.0	0.009425089000000001	0.0	0.056446757	0.046212367000000004	0.010050065	0.06669035400000001	0.0	0.0	0.125109883	0.0	0.093880146	0.0	0.054562489000000006	0.08956666199999999	0.0	0.0	0.069153114	0.0	0.002276388	0.0	0.033975621
Set-03-2-T	0.08947843400000001	0.0	0.0	0.11547244699999999	0.110905139	0.082332615	0.008587628	0.0	0.0074020940000000006	0.040650225	0.045329725	0.033898207	0.080765292	0.049664023	0.0	0.011370237	0.09933472300000001	0.0	0.054297005	0.0	0.013139349	0.04448603	0.0	0.02539266	0.044718309000000005	0.0	0.042775858	0.0	0.0
Set-03-3-N	0.108494456	0.0	0.0	0.03872574	0.08775002300000001	0.074276145	0.0	0.0	0.013360115	0.027948976	0.072142981	0.0	0.031330237000000004	0.075824585	0.0	0.067907332	0.06287478	0.0	0.050312392000000004	0.0	0.001288076	0.107427621	0.036577475	0.035258325	0.108500742	0.0	0.0	0.0	0.0
Set-03-4-T	0.08419701	0.0	0.0	0.09899194800000001	0.096855993	0.0	0.0	0.081873072	0.039860611000000004	0.017422088999999998	0.021813553	0.010222119	0.037996943	0.005580504	0.017292178000000002	0.056370872	0.064200541	0.0	0.08985971	0.0	0.07694747	0.092151684	0.0	0.016987539	0.076149516	0.0	0.013175736	0.0	0.002050914
Set-03-5-N	0.053858099000000006	0.0	0.0	0.07668496799999999	0.061336426	0.08072707900000001	0.0	0.0	0.0	0.044790625	0.05749173	0.010207288	0.033054598	0.053586802	0.0	0.052842664000000004	0.12884405699999998	0.0	0.09551308300000001	0.0	0.020281931	0.110541254	0.0	0.0	0.087562951	0.0	0.032676447000000004	0.0	0.0
Set-03-6-T	0.11384487	0.0	0.081838457	0.0	0.100658897	0.061864663	0.0	0.0	0.060745392	0.003754008	0.028174067	0.0	0.052121705	0.03765581	0.012932956	0.017786374	0.09383788300000001	0.0	0.077956446	0.0	0.040809767000000004	0.137343691	0.0	0.005933983	0.055838217	0.0	0.016902813	0.0	0.0
Set-03-7-N	0.096226193	0.0	0.054099479000000006	0.049734957	0.025826297	0.06508081	0.0	0.0	0.045876619	0.038579774	0.068154011	0.0	0.045812293	0.04509934	0.0	0.050558164	0.10199053599999999	0.0	0.030696194	0.0	0.044676909	0.119947482	0.031012417	0.0	0.050596573	0.0	0.034556203	0.0014757479999999998	0.0
Set-03-8-T	0.11390320300000001	0.0	0.057776278	0.09248428800000001	0.05428010900000001	0.08845096	0.0	0.0	0.067541636	0.012397001000000001	0.044374199	0.004605585	0.016484553	0.038194747	0.017025448999999998	0.04208735	0.082382772	0.0	0.065724933	0.0	0.029324153999999998	0.049166269000000005	0.0	0.03692907	0.08669582699999999	0.0	0.00017161799999999998	0.0	0.0
Set-03-9-N	0.069803263	0.0	0.0	0.097841082	0.133321911	0.108503009	0.056023986	0.0	0.012959798	0.0	0.008197191999999999	0.0	0.0	0.014729648	0.017281921999999998	0.0	0.127921531	0.0	0.087557365	0.0	0.027365967	0.09838862400000001	0.0	0.0	0.075613659	0.0	0.034539226	0.0	0.029951816000000003
Set-03-10-T	0.11483412300000001	0.0	0.080692853	0.035960425	0.054303088	0.069637692	0.0	0.0	0.012266435	0.050067827999999995	0.054399289	0.0	0.060515756	0.061990903	0.006436069	0.022628987000000003	0.066765032	0.0	0.027850352999999998	0.021276705	0.040316675	0.075369278	0.0	0.074681889	0.064006572	0.0	0.0	0.006000047	0.0
Set-04-1-N	0.091915539	0.0	0.0	0.048881930999999997	0.065129288	0.09524250599999999	0.0	0.0	0.065940508	0.052128184	0.069696964	0.053155425	0.090888046	0.041674465	0.012454827	0.008249332	0.028337346	0.0	0.065573769	0.0	0.051790665	0.155226502	0.0	0.0	0.0	0.0	0.0037147029999999998	0.0	0.0
Set-04-2-T	0.131266689	0.0	0.089360409	0.051496553	0.053181603	0.11123076	0.0	0.0	0.015220092	0.0	0.062852408	0.039504622999999996	0.018622892	0.030404999	0.023952285	0.047004203	0.045014589	0.0	0.09415031900000001	0.0	0.053416255	0.067692455	0.0	0.0	0.042605218	0.0	0.023023647999999997	0.0	0.0
Set-04-3-N	0.112124785	0.0	0.046391048	0.067888363	0.022097499	0.050804225999999994	0.0	0.0	0.0	0.0	0.0065186919999999995	0.066721448	0.069829712	0.032337536	0.039266326000000004	0.065546835	0.076315895	0.0	0.07689449	0.0	0.016511997	0.13480603300000002	0.0	0.055822595999999995	0.06012252	0.0	0.0	0.0	0.0
Set-04-4-T	0.117054777	0.0	0.007092492	0.0	0.07124743900000001	0.111217137	0.0	0.056546247	0.003602829	0.0	0.10621007800000001	0.0	0.013172661	0.06358079999999999	0.047903401	0.003504595	0.10304304199999999	0.0	0.092484426	0.0	0.063136971	0.102534156	0.0	0.0	0.036377675	0.0	0.001291274	0.0	0.0
Set-04-5-N	0.045898543	0.0	0.024133232999999997	0.087401585	0.039241133	0.125879941	0.0	0.0	0.0	0.054669922	0.090714396	0.0	0.040327235	0.066609159	0.0	0.053234434000000004	0.055097832	0.0	0.085449574	0.0	0.09298607099999999	0.07609615	0.0	0.0	0.052415624	0.0	0.0	0.009845168	0.0
Set-04-6-T	0.109151634	0.0	0.09376529900000001	0.061498484000000006	0.10990256699999999	0.082136353	0.0	0.0	0.032976392	0.03012302	0.086754934	0.010007098	0.050111267	0.032388727	0.043935089000000004	0.018734278	0.022302937999999998	0.0	0.060519252	0.0	0.0	0.09098431400000001	0.0	0.0	0.036474615	0.0	0.017616743	0.0	0.010616996
Set-04-7-N	0.058480635	0.0	0.0	0.035007111	0.09948526	0.071771387	0.0	0.0	0.033493806	0.029739589	0.080174234	0.049994557	0.0034280509999999997	0.020771564	0.0	0.07124981400000001	0.10854468699999999	0.0	0.085689189	0.0	0.019794851999999998	0.119277613	0.0	0.033254703	0.053467142	0.0	0.0	0.003762604	0.022613202000000002
Set-04-8-T	0.123426132	0.0	0.11982837699999999	0.052015553	0.074510776	0.074314441	0.0	0.0	0.06352604	0.005054036	0.072241182	0.0	0.025713971000000002	0.050535102	0.01156213	0.009323999	0.06769916	0.0	0.087183706	0.0	0.002177085	0.102188831	0.0	0.0	0.049221885	0.0	0.009477594	0.0	0.0
