	cancer~0	cancer~1	cancer~2	cancer~3	cancer~4	cancer~5	cancer~6	cancer~7	cancer~8	immune~0	immune~1	immune~2	immune~3	immune~4	immune~5	immune~6	immune~7	others~0	others~1	others~10	others~11	others~2	others~3	others~4	others~5	others~6	others~7	others~8	others~9
O43790	1140.391147	199.3046905	1.8371888669999998	135.5910582	6.37082817	0.986328759	69.82937226	1.093234337	5.595384965	14.96641682	33.37566604	14.86267789	17.72044276	0.0	18.21799629	2.230475272	0.039496787	133.1729518	22.89723575	34.36389437	35.05194092	23.4557422	108.95167690000001	49.25834094	35.04371572	18.65460149	18.78038246	0.0	12.49098102
P78386	1269.965585	391.921007	0.0	233.71390359999998	0.0	0.0	117.0133697	0.0	0.0	28.23939659	62.52886535	27.05807623	28.65644082	0.0	31.80059461	0.946460477	0.0	254.73887169999998	20.22993155	66.65071675	65.73991035	7.111598492000001	194.1855069	92.95055668	65.13432564	30.22707947	27.03870841	0.0	27.88002475
Q6PK04	44.2205495	13.62222976	1.288065063	6.833811847000001	1.141279677	6.558206015	18.61985521	0.58647132	0.426100725	0.692389067	4.797759032	0.417427977	0.201346897	1.096876005	2.225978632	1.124393452	0.826827815	19.46946411	12.27436006	5.109899899	2.039977377	5.644539587000001	19.26963072	4.450092289	9.138144933	3.737838558	2.431860114	0.9526327259999999	3.228367272
A0A0C4DH33	18.96923563	0.6170557210000001	13.179782300000001	9.667643493	5.114203801	5.415441179	7.7833052270000005	8.240256173999999	0.732526421	3.470066125	0.054398984000000004	3.1189336689999996	2.725634373	5.440993155	0.48207711200000003	1.8848264330000002	1.241667164	0.618048225	5.145412385	0.260111448	0.44922543	1.427116415	0.195879775	0.7713266190000001	7.349181791	0.860665019	0.922074594	7.695000082999999	2.570318241
Q9NSA3	227.83035550000002	157.00319	177.7198105	169.68477	96.01312144	40.97418272	92.39513225	160.9573454	8.770581987	35.2293674	12.95736323	23.15194991	35.70023246	63.11847323	7.7760826739999995	1.079657991	11.02881829	65.8394756	53.58234911	51.25524442	15.17176003	11.78128701	48.6935547	18.78798512	69.59813725	44.38388364	40.5035997	59.37460501	41.37997794
P82909	29.96978363	18.3137843	12.26303618	26.53602386	12.58046886	5.391646307999999	9.954353486	3.169959193	4.726323275	4.167594171	3.492170168	2.07688724	1.507920215	2.893353463	9.888669576	0.76070247	1.803210285	10.79216383	4.98606364	3.097757405	1.7045050780000002	3.773118319	15.30604507	4.68970024	9.938482716000001	7.081244832	2.804519187	4.29151307	1.0587201259999999
Q9GZP8	68.99620300000001	13.86260418	62.98871568	39.52614928	51.40323329	21.70641585	27.78013154	32.40318739	14.18447738	13.07195491	5.637692147999999	6.384579143	8.501997315	14.72706493	3.58333739	0.227712647	3.340274228	25.2683574	22.30118819	5.8339359779999995	3.103790568	11.18586679	25.59706305	5.916090521	26.23228797	4.25996242	5.326467752	23.01395849	8.000959136
Q8WWA1	197.664572	180.3813258	93.24958485	60.48978086	57.56979825	67.67491388	88.51414261	65.60400535	10.24945695	17.72145138	0.278594464	10.80435162	22.54096976	22.25838948	8.689059432	0.455375397	8.057913085	67.52289697	100.90779859999999	47.71736997	18.09022319	58.64243504	191.7602019	64.93749758	83.41121275	70.22653026	77.23848962	33.19767561	19.11291
O14933	53.73450065	23.99268663	36.6872519	30.25325277	27.05216804	33.73976683	27.591199	15.5806768	8.390832006	6.535951275	7.6116383260000005	3.8125350310000004	5.386539683	6.664448973	5.021794048	0.986475175	2.599530465	22.94969273	10.05288364	6.245217788	3.3849682139999997	9.608195334	23.1535367	5.318212815	18.64974782	4.990608852	4.879594194	9.594021088	3.820050766
Q9Y3E0	43.4152948	20.54165652	31.60003548	34.96144353	28.64125581	23.52937053	22.79981163	19.44523396	8.494304962000001	5.220564131000001	6.792843036	3.368093514	6.050216146	5.619775036	4.934400558	1.166653859	1.644782226	22.56605829	8.748674987000001	6.414929121	3.146379675	12.160941900000001	21.79553115	4.582973192	14.3750829	4.912186353	6.602167061	8.471992685	5.542617197
P49441	24.83633927	14.00153357	24.30960434	17.8985754	22.14755689	13.07238467	12.93804274	15.12061758	4.529280655	3.3603415639999996	3.470927086	2.125236275	4.629522224	3.779238033	3.162694599	1.144894973	1.658183935	13.3738117	6.630289219	4.158406386	1.8556158130000002	8.750060234	15.83893391	3.05774715	9.863667875	3.40523817	4.03083606	4.782650197	2.176530991
Q9UJY1	9.413195252000001	1.49132218	5.79662745	6.115918316	2.879560001	3.0042060139999998	4.235431443	4.079031815	0.971033082	2.339892227	0.262676171	1.0571179990000001	1.322595896	2.062734951	0.943362158	0.284486394	0.85871778	2.255928592	6.917813031000001	1.213423441	0.601897555	4.026250651000001	1.3612933880000002	1.311643823	3.4838355880000003	0.811103703	0.883638843	3.297095089	1.366952439
Q7Z6Z7	35.40408184	34.00074062	27.73426047	26.15430252	23.69869321	7.719270302000001	16.56136883	17.6226796	3.093833252	4.835080361	7.4937523939999995	4.50405956	8.184380381	4.755186318	3.96380878	0.33662258700000003	3.42720889	27.26186418	11.57927911	6.838474125	5.3122972289999995	9.122630702	28.90326356	9.154759639	13.84107075	4.3447382569999995	4.552012255	5.230068585	5.935361597999999
P19387	7.897951353	4.227473079	5.500016829	7.465236236	5.942324348	2.177809484	3.0316591010000002	1.285721939	2.429921905	0.8787623459999999	1.052558655	1.037522593	0.87566998	1.1502958509999999	3.145229755	0.800807968	1.048517097	2.709921402	0.70420556	0.618020027	1.167069729	0.7726508409999999	3.5164488310000004	0.35592135	3.280881499	1.869952963	0.7914071159999999	1.8819973719999998	1.132480463
P00441	397.2888244	275.61859280000004	329.5094337	379.7824357	371.9294102	234.1469435	320.5246991	328.5389347	95.06577397	51.44951661	59.54102305	49.81442727	66.07746230000001	60.37191581	79.30082218	0.6680523620000001	13.24362498	309.66147739999997	231.6178849	104.3963303	51.27323457	316.13194599999997	280.65238039999997	84.39248341	95.34506308	130.5163242	125.8062501	89.45172368	42.20391232
Q9H910	57.15699289	34.80957984	56.28958352	55.34540921	43.5020187	25.79903473	22.91946007	38.66052164	8.484353822000001	4.662160692	12.4622688	4.921745704	10.43808277	11.17806931	11.44681934	1.744679818	5.119804695	36.699518700000006	28.52211804	6.082769674	6.29106087	30.26569257	36.91945689	12.87977932	25.68679128	11.33978434	5.563554439	10.77148854	13.9053736
Q16651	36.32516509	25.528334	28.423498	27.09743226	21.71749597	10.20006122	21.82505398	22.06028198	3.583763457	4.8305259519999995	3.763450681	5.722743652999999	4.194132708	6.392596796	4.420925015	1.297616719	1.704424825	24.82375397	31.42922641	8.820553401	4.234166200000001	23.78129694	23.20868813	5.31434411	11.58325412	6.5934920539999995	9.760899197999999	10.93744431	5.608637732999999
Q6NXG1	24.99530344	16.37517954	23.34817367	17.56517818	18.19302084	9.551565292000001	11.87255359	15.81433945	3.0217820019999997	3.3939908689999996	4.117251748999999	4.098413122	4.76767888	5.513676294	3.858337033	1.33399202	2.353444542	14.80098367	10.78406264	4.429468575	2.2593757709999998	8.731044202	18.23855502	3.7772595289999997	10.05856006	3.575289515	3.844810523	6.266669103	1.79913583
Q14525	29.12121252	28.22253626	15.14689965	26.93400709	14.18161813	7.821367726	14.509445900000001	13.53670642	2.9099919780000003	4.042205295	5.8314919970000005	3.3703225710000004	5.626498385	5.5990044039999995	3.339474973	0.5036713420000001	1.923706132	21.78122862	13.83533999	8.777959606	5.17407716	10.75360076	19.84764706	7.100882163	7.915045285	6.613704343999999	6.55397147	3.7944864000000003	7.1221445779999994
Q9BYD3	8.583394081	4.117233854	8.368119112999999	6.37493858	5.026938575	6.884580689	3.830837657	5.299233339	1.388407345	1.4397574169999998	1.311296797	2.161748535	1.6620882540000002	1.68006258	1.016486529	0.6509975610000001	0.7536987890000001	4.019758187	2.707122576	1.5319003999999998	1.0292858790000001	1.716388482	3.072942265	1.799347016	2.7511026060000003	0.950256219	1.270676008	2.596267515	1.015234924
P63261	156.71660880000002	97.4699682	147.1836812	131.300204	139.77307119999998	96.2589834	100.344356	106.99384440000001	29.39771811	29.32430107	30.93029557	21.38892034	37.95487743	31.77569162	26.61297884	1.071441925	9.996604312999999	137.1197069	115.02249040000001	34.42369444	19.76117271	102.0605466	138.6632326	30.97660324	68.65593299	36.94194621	38.82048882	38.77396751	41.77724221
